onset	duration	stim_filename	verbal_resp	key_resp	event_type
2.638	0	L205	2	2	STIM_LOGO
3.638	5	L205	2	2	RETENTION_LOGO
8.638	0	L205	NaN	NaN	VERBALRESP_LOGO
12.607	0	L205	NaN	NaN	KEYRESP_LOGO
15.655	0	L2	2	2	STIM_LOGO
16.655	5	L2	2	2	RETENTION_LOGO
21.655	0	L2	NaN	NaN	VERBALRESP_LOGO
25.752	0	L2	NaN	NaN	KEYRESP_LOGO
30.671	0	L318	1	2	STIM_LOGO
31.671	5	L318	1	2	RETENTION_LOGO
36.671	0	L318	NaN	NaN	VERBALRESP_LOGO
41.007	0	L318	NaN	NaN	KEYRESP_LOGO
47.671	0	L267	0	1	STIM_LOGO
48.671	5	L267	0	1	RETENTION_LOGO
53.672	0	L267	NaN	NaN	VERBALRESP_LOGO
57.799	0	L267	NaN	NaN	KEYRESP_LOGO
64.672	0	L218	0	1	STIM_LOGO
65.672	5	L218	0	1	RETENTION_LOGO
70.672	0	L218	NaN	NaN	VERBALRESP_LOGO
75.219	0	L218	NaN	NaN	KEYRESP_LOGO
76.672	0	L162	0	1	STIM_LOGO
77.672	5	L162	0	1	RETENTION_LOGO
82.672	0	L162	NaN	NaN	VERBALRESP_LOGO
86.62	0	L162	NaN	NaN	KEYRESP_LOGO
89.688	0	L300	0	1	STIM_LOGO
90.688	5	L300	0	1	RETENTION_LOGO
95.688	0	L300	NaN	NaN	VERBALRESP_LOGO
99.597	0	L300	NaN	NaN	KEYRESP_LOGO
106.705	0	L113	0	1	STIM_LOGO
107.705	5	L113	0	1	RETENTION_LOGO
112.705	0	L113	NaN	NaN	VERBALRESP_LOGO
117.066	0	L113	NaN	NaN	KEYRESP_LOGO
122.705	0	L389	1	2	STIM_LOGO
123.705	5	L389	1	2	RETENTION_LOGO
128.705	0	L389	NaN	NaN	VERBALRESP_LOGO
133.006	0	L389	NaN	NaN	KEYRESP_LOGO
138.705	0	L252	0	1	STIM_LOGO
139.705	5	L252	0	1	RETENTION_LOGO
144.705	0	L252	NaN	NaN	VERBALRESP_LOGO
149.365	0	L252	NaN	NaN	KEYRESP_LOGO
150.705	0	L144	0	1	STIM_LOGO
151.705	5	L144	0	1	RETENTION_LOGO
156.705	0	L144	NaN	NaN	VERBALRESP_LOGO
161.453	0	L144	NaN	NaN	KEYRESP_LOGO
168.706	0	L264	1	2	STIM_LOGO
169.706	5	L264	1	2	RETENTION_LOGO
174.706	0	L264	NaN	NaN	VERBALRESP_LOGO
178.568	0	L264	NaN	NaN	KEYRESP_LOGO
183.706	0	L88	0	1	STIM_LOGO
