onset	duration	sample	value
0.0000000000	n/a	0	boundary
44.2220000000	1.0000000000	22111	S  1
44.7000000000	1.0000000000	22350	S  2
46.2540000000	1.0000000000	23127	S  1
46.8760000000	1.0000000000	23438	S  2
48.4380000000	1.0000000000	24219	S  1
48.7960000000	1.0000000000	24398	S  2
50.3540000000	1.0000000000	25177	S  1
50.8200000000	1.0000000000	25410	S  2
52.3700000000	1.0000000000	26185	S  1
52.7720000000	1.0000000000	26386	S  2
54.3200000000	1.0000000000	27160	S  1
54.8280000000	1.0000000000	27414	S  2
56.3860000000	1.0000000000	28193	S  1
56.9160000000	1.0000000000	28458	S  2
58.4680000000	1.0000000000	29234	S  1
58.9640000000	1.0000000000	29482	S  2
60.5340000000	1.0000000000	30267	S  1
60.9400000000	1.0000000000	30470	S  2
62.5000000000	1.0000000000	31250	S  1
62.8280000000	1.0000000000	31414	S  2
64.3820000000	1.0000000000	32191	S  1
64.8520000000	1.0000000000	32426	S  2
66.3980000000	1.0000000000	33199	S  1
66.8520000000	1.0000000000	33426	S  2
68.3980000000	1.0000000000	34199	S  1
68.7400000000	1.0000000000	34370	S  2
70.2980000000	1.0000000000	35149	S  1
70.5240000000	1.0000000000	35262	S  2
72.0800000000	1.0000000000	36040	S  1
72.6360000000	1.0000000000	36318	S  2
74.1960000000	1.0000000000	37098	S  1
74.6840000000	1.0000000000	37342	S  2
76.2460000000	1.0000000000	38123	S  1
76.7240000000	1.0000000000	38362	S  2
78.2780000000	1.0000000000	39139	S  1
78.6920000000	1.0000000000	39346	S  2
80.2440000000	1.0000000000	40122	S  1
80.7320000000	1.0000000000	40366	S  2
82.2940000000	1.0000000000	41147	S  1
82.8120000000	1.0000000000	41406	S  2
84.3760000000	1.0000000000	42188	S  1
85.2120000000	1.0000000000	42606	S  2
86.7760000000	1.0000000000	43388	S  1
87.3400000000	1.0000000000	43670	S  2
88.8920000000	1.0000000000	44446	S  1
89.2440000000	1.0000000000	44622	S  2
