onset	duration	cueid	targetid
8	4	42	64516
16	4	43	77159
24	4	45	305732
32	4	53	15759
40	4	48	364158
52	4	59	53642
64	4	55	19739
76	4	50	11552
88	4	57	24554
100	4	41	10084
108	4	54	17717
116	4	60	72354
124	4	47	332273
132	4	44	298219
140	4	51	15374
148	4	49	570307
156	4	56	23729
164	4	52	15596
172	4	46	331350
180	4	58	27704
188	4	45	305732
196	4	57	24554
208	4	46	331350
216	4	56	23729
228	4	60	72354
236	4	49	570307
248	4	47	332273
256	4	51	15374
264	4	59	53642
272	4	52	15596
280	4	58	27704
288	4	48	364158
296	4	44	298219
304	4	54	17717
316	4	53	15759
328	4	42	64516
336	4	55	19739
344	4	50	11552
352	4	41	10084
360	4	43	77159
