onset	duration	imageid
8	4	2902
12	4	241667
16	4	209906
24	4	229658
28	4	262197
36	4	54605
40	4	196255
44	4	267708
48	4	284583
52	4	178112
56	4	265611
64	4	322325
68	4	221803
72	4	330676
76	4	541730
84	4	294667
88	4	310185
92	4	354444
96	4	556485
100	4	351149
104	4	193640
108	4	144242
112	4	342476
116	4	428391
120	4	373284
124	4	236698
128	4	517967
132	4	82003
136	4	577028
140	4	466671
144	4	373218
148	4	460460
152	4	527059
156	4	578792
160	4	337682
164	4	371359
168	4	459912
172	4	505552
180	4	255003
184	4	484007
188	4	306363
192	4	333555
196	4	334109
200	4	544044
204	4	208815
208	4	373266
212	4	325173
216	4	15272
220	4	369207
224	4	334810
228	4	370711
232	4	242169
236	4	292118
240	4	498555
244	4	236312
248	4	204256
252	4	326035
256	4	328812
260	4	242506
264	4	200324
268	4	559171
272	4	528541
276	4	519027
280	4	299353
284	4	491492
288	4	450686
292	4	558457
296	4	273198
300	4	413459
304	4	172617
308	4	297895
316	4	258288
320	4	196948
324	4	528269
328	4	393159
332	4	147963
336	4	457508
340	4	192834
344	4	98261
348	4	75393
352	4	142466
356	4	35907
360	4	253944
364	4	203511
368	4	233434
