onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 1.995	instruction	0	0	 0.000
 1.995	 1.995	filler	0	0	 0.000
 3.990	 0.531	fixation_cross	0	0	 0.000
 4.521	 0.799	pres	1	0	 2147483.647
 5.320	 1.529	resp	0	0	 0.000
 6.849	 0.731	jitter	0	0	 0.000
 7.580	 0.532	fixation_cross	0	0	 0.000
 8.112	 0.798	pres	1	0	 2147483.647
 8.910	 1.530	resp	0	0	 0.000
 10.440	 0.731	jitter	0	0	 0.000
 11.171	 0.533	fixation_cross	0	0	 0.000
 11.704	 0.797	pres	1	0	 2147483.647
 12.501	 1.530	resp	0	0	 0.000
 14.031	 0.865	jitter	0	0	 0.000
 14.896	 0.532	fixation_cross	0	0	 0.000
 15.428	 0.797	pres	1	0	 2147483.647
 16.225	 1.530	resp	0	0	 0.000
 17.755	 0.665	jitter	0	0	 0.000
 18.420	 0.532	fixation_cross	0	0	 0.000
 18.952	 0.797	pres	1	0	 2147483.647
 19.749	 1.531	resp	0	0	 0.000
 21.280	 0.930	jitter	0	0	 0.000
 22.210	 0.532	fixation_cross	0	0	 0.000
 22.742	 0.798	pres	1	0	 2147483.647
 23.540	 1.530	resp	0	0	 0.000
 25.070	 0.931	jitter	0	0	 0.000
 26.001	 0.531	fixation_cross	0	0	 0.000
 26.532	 0.800	pres	1	0	 2147483.647
 27.332	 1.528	resp	0	0	 0.000
 28.860	 0.732	jitter	0	0	 0.000
 29.592	 0.532	fixation_cross	0	0	 0.000
 30.124	 0.798	pres	1	0	 2147483.647
 30.922	 1.529	resp	0	0	 0.000
 32.451	 0.665	jitter	0	0	 0.000
 33.116	 0.533	fixation_cross	0	0	 0.000
 33.649	 0.797	pres	1	0	 2147483.647
 34.446	 1.530	resp	0	0	 0.000
 35.976	 0.864	jitter	0	0	 0.000
 36.840	 0.533	fixation_cross	0	0	 0.000
 37.373	 0.797	pres	1	0	 2147483.647
 38.170	 1.530	resp	0	0	 0.000
 39.700	 0.864	jitter	0	0	 0.000
 40.564	 0.532	fixation_cross	0	0	 0.000
 41.096	 0.798	pres	1	0	 2147483.647
 41.894	 1.530	resp	0	0	 0.000
 43.424	 0.532	jitter	0	0	 0.000
 43.956	 0.532	fixation_cross	0	0	 0.000
 44.488	 0.798	pres	1	0	 2147483.647
 45.286	 1.530	resp	0	0	 0.000
 46.816	 1.064	jitter	0	0	 0.000
 47.880	 0.531	fixation_cross	0	0	 0.000
 48.411	 0.798	pres	1	0	 2147483.647
 49.209	 1.530	resp	0	0	 0.000
 50.739	 1.063	jitter	0	0	 0.000
 51.802	 0.533	fixation_cross	0	0	 0.000
 52.335	 0.798	pres	1	0	 2147483.647
 53.133	 1.530	resp	0	0	 0.000
 54.663	 0.531	jitter	0	0	 0.000
 55.194	 0.532	fixation_cross	0	0	 0.000
 55.726	 0.799	pres	1	0	 2147483.647
 56.525	 1.529	resp	0	0	 0.000
 58.054	 0.931	jitter	0	0	 0.000
 58.985	 0.532	fixation_cross	0	0	 0.000
 59.517	 0.798	pres	1	0	 2147483.647
 60.315	 1.529	resp	0	0	 0.000
 61.844	 0.532	jitter	0	0	 0.000
 62.376	 0.532	fixation_cross	0	0	 0.000
 62.908	 0.799	pres	1	0	 2147483.647
 63.707	 1.529	resp	0	0	 0.000
 65.236	 1.064	jitter	0	0	 0.000
 66.300	 0.532	fixation_cross	0	0	 0.000
 66.832	 0.798	pres	1	0	 2147483.647
 67.630	 1.529	resp	0	0	 0.000
 69.159	 0.665	jitter	0	0	 0.000
 69.824	 9.976	jitter	0	0	 0.000
 79.800	 1.994	instruction	0	0	 0.000
 81.794	 1.995	filler	0	0	 0.000
 83.789	 0.533	fixation_cross	0	0	 0.000
 84.322	 0.797	pres	1	0	 2147483.647
 85.119	 1.530	resp	0	0	 0.000
 86.649	 0.532	jitter	0	0	 0.000
 87.181	 0.532	fixation_cross	0	0	 0.000
 87.713	 0.798	pres	1	0	 2147483.647
 88.511	 1.529	resp	0	0	 0.000
 90.040	 0.732	jitter	0	0	 0.000
 90.772	 0.532	fixation_cross	0	0	 0.000
 91.304	 0.797	pres	1	0	 2147483.647
 92.101	 1.530	resp	0	0	 0.000
 93.631	 0.931	jitter	0	0	 0.000
 94.562	 0.533	fixation_cross	0	0	 0.000
 95.095	 0.797	pres	1	0	 2147483.647
 95.892	 1.529	resp	0	0	 0.000
 97.421	 0.866	jitter	0	0	 0.000
 98.287	 0.531	fixation_cross	0	0	 0.000
