onset	duration	trial_type
0	15	right
15	10	rest
25	15	left
40	11	rest
51	15	left
66	6	rest
72	15	right
87	5	rest
92	15	right
107	11	rest
118	15	left
133	7	rest
140	15	right
155	6	rest
161	15	left
176	14	rest
190	15	right
205	8	rest
213	15	left
228	5	rest
233	15	right
248	10	rest
258	15	right
273	14	rest
287	15	left
302	15	rest
317	15	right
332	8	rest
340	15	left
355	15	rest
370	15	right
385	12	rest
397	15	left
412	7	rest
419	15	right
434	13	rest
447	15	left
462	13	rest
475	15	left
490	9	rest
499	15	right
514	9	rest
523	15	left
538	10	rest
548	15	right
563	12	rest
575	15	left
590	10	rest
