onset	duration	event_type	trial_type
14.714	n/a	S  5	stimulus
15.451	n/a	S  1	response
16.747	n/a	S  5	stimulus
17.099	n/a	S  1	response
18.58	n/a	S  5	stimulus
18.859	n/a	S  1	response
20.614	n/a	S  5	stimulus
20.867	n/a	S  1	response
22.147	n/a	S  5	stimulus
22.451	n/a	S  1	response
23.88	n/a	S  5	stimulus
24.179	n/a	S  1	response
24.914	n/a	S  5	stimulus
25.491	n/a	S  1	response
26.747	n/a	S  5	stimulus
27.067	n/a	S  1	response
28.38	n/a	S  5	stimulus
28.691	n/a	S  1	response
30.113	n/a	S  5	stimulus
30.403	n/a	S  1	response
31.847	n/a	S  5	stimulus
32.115	n/a	S  1	response
33.58	n/a	S  5	stimulus
33.899	n/a	S  1	response
35.213	n/a	S  5	stimulus
35.587	n/a	S  1	response
36.746	n/a	S  5	stimulus
37.163	n/a	S  1	response
38.58	n/a	S  5	stimulus
38.843	n/a	S  1	response
40.413	n/a	S  5	stimulus
40.715	n/a	S  1	response
42.246	n/a	S  5	stimulus
42.563	n/a	S  1	response
44.08	n/a	S  5	stimulus
44.411	n/a	S  1	response
45.713	n/a	S  5	stimulus
46.003	n/a	S  1	response
47.246	n/a	S 10	n/a
47.563	n/a	S  1	response
67.262	n/a	S  5	stimulus
67.65	n/a	S  1	response
69.095	n/a	S  5	stimulus
69.394	n/a	S  1	response
70.629	n/a	S  5	stimulus
70.954	n/a	S  1	response
72.562	n/a	S  5	stimulus
72.874	n/a	S  1	response
74.395	n/a	S  5	stimulus
74.666	n/a	S  1	response
76.029	n/a	S  5	stimulus
76.362	n/a	S  1	response
77.062	n/a	S  5	stimulus
77.682	n/a	S  1	response
78.895	n/a	S  5	stimulus
79.17	n/a	S  1	response
80.928	n/a	S  5	stimulus
81.218	n/a	S  1	response
82.662	n/a	S  5	stimulus
82.938	n/a	S  1	response
84.595	n/a	S  5	stimulus
85.026	n/a	S  1	response
86.328	n/a	S  5	stimulus
86.666	n/a	S  1	response
88.361	n/a	S  5	stimulus
88.634	n/a	S  1	response
90.295	n/a	S  5	stimulus
90.65	n/a	S  1	response
92.228	n/a	S  5	stimulus
92.482	n/a	S  1	response
93.761	n/a	S  5	stimulus
94.058	n/a	S  1	response
95.595	n/a	S  5	stimulus
95.874	n/a	S  1	response
97.628	n/a	S  5	stimulus
97.914	n/a	S  1	response
99.461	n/a	S  5	stimulus
99.762	n/a	S  1	response
101.394	n/a	S  5	stimulus
101.722	n/a	S  1	response
103.428	n/a	S  5	stimulus
103.754	n/a	S  1	response
105.361	n/a	S  5	stimulus
105.69	n/a	S  1	response
107.194	n/a	S  5	stimulus
107.594	n/a	S  1	response
109.027	n/a	S 10	n/a
109.362	n/a	S  1	response
129.043	n/a	S  5	stimulus
129.434	n/a	S  1	response
130.877	n/a	S  5	stimulus
131.178	n/a	S  1	response
132.51	n/a	S  5	stimulus
132.866	n/a	S  1	response
134.343	n/a	S  5	stimulus
134.642	n/a	S  1	response
136.077	n/a	S  5	stimulus
136.418	n/a	S  1	response
137.11	n/a	S  5	stimulus
137.746	n/a	S  1	response
138.843	n/a	S  5	stimulus
139.474	n/a	S  1	response
140.876	n/a	S  5	stimulus
141.153	n/a	S  1	response
142.61	n/a	S  5	stimulus
142.985	n/a	S  1	response
144.343	n/a	S  5	stimulus
144.673	n/a	S  1	response
146.276	n/a	S  5	stimulus
146.641	n/a	S  1	response
148.209	n/a	S  5	stimulus
148.521	n/a	S  1	response
149.843	n/a	S  5	stimulus
150.233	n/a	S  1	response
151.376	n/a	S  5	stimulus
151.777	n/a	S  1	response
153.209	n/a	S  5	stimulus
153.601	n/a	S  1	response
155.243	n/a	S  5	stimulus
155.729	n/a	S  1	response
156.876	n/a	S  5	stimulus
157.185	n/a	S  1	response
158.709	n/a	S  5	stimulus
158.993	n/a	S  1	response
160.442	n/a	S  5	stimulus
160.793	n/a	S  1	response
162.276	n/a	S  5	stimulus
162.561	n/a	S  1	response
164.309	n/a	S  5	stimulus
164.697	n/a	S  1	response
166.142	n/a	S  5	stimulus
166.513	n/a	S  1	response
167.875	n/a	S  5	stimulus
169.393	n/a	S  1	response
169.909	n/a	S  5	stimulus
170.313	n/a	S  1	response
171.642	n/a	S 10	n/a
213.753	n/a	S 12	n/a
223.274	n/a	S  5	stimulus
223.761	n/a	S  1	response
225.007	n/a	S  5	stimulus
225.297	n/a	S  1	response
226.84	n/a	S  5	stimulus
227.121	n/a	S  1	response
228.573	n/a	S  5	stimulus
228.864	n/a	S  1	response
230.407	n/a	S  5	stimulus
230.728	n/a	S  1	response
231.44	n/a	S  5	stimulus
231.88	n/a	S  1	response
233.173	n/a	S  5	stimulus
233.416	n/a	S  1	response
235.107	n/a	S  5	stimulus
235.464	n/a	S  1	response
237.04	n/a	S  5	stimulus
237.272	n/a	S  1	response
238.773	n/a	S  5	stimulus
239.016	n/a	S  1	response
240.306	n/a	S  5	stimulus
240.584	n/a	S  1	response
242.04	n/a	S  5	stimulus
242.264	n/a	S  1	response
243.673	n/a	S  5	stimulus
243.952	n/a	S  1	response
245.706	n/a	S  5	stimulus
245.96	n/a	S  1	response
247.24	n/a	S  5	stimulus
247.56	n/a	S  1	response
249.073	n/a	S  5	stimulus
249.376	n/a	S  1	response
251.006	n/a	S  5	stimulus
251.312	n/a	S  1	response
252.539	n/a	S  5	stimulus
253.272	n/a	S  1	response
254.373	n/a	S  5	stimulus
254.76	n/a	S  1	response
256.206	n/a	S  5	stimulus
256.888	n/a	S  1	response
257.739	n/a	S 10	n/a
277.755	n/a	S  5	stimulus
278.104	n/a	S  1	response
279.488	n/a	S  5	stimulus
279.792	n/a	S  1	response
281.522	n/a	S  5	stimulus
281.808	n/a	S  1	response
283.355	n/a	S  5	stimulus
283.624	n/a	S  1	response
284.889	n/a	S  5	stimulus
285.216	n/a	S  1	response
286.622	n/a	S  5	stimulus
286.896	n/a	S  1	response
288.555	n/a	S  5	stimulus
288.784	n/a	S  1	response
290.588	n/a	S  5	stimulus
290.904	n/a	S  1	response
292.521	n/a	S  5	stimulus
292.848	n/a	S  1	response
294.355	n/a	S  5	stimulus
294.664	n/a	S  1	response
296.388	n/a	S  5	stimulus
296.848	n/a	S  1	response
298.321	n/a	S  5	stimulus
298.608	n/a	S  1	response
300.154	n/a	S  5	stimulus
300.568	n/a	S  1	response
301.688	n/a	S  5	stimulus
302	n/a	S  1	response
303.421	n/a	S  5	stimulus
303.704	n/a	S  1	response
305.154	n/a	S  5	stimulus
305.536	n/a	S  1	response
306.988	n/a	S  5	stimulus
307.36	n/a	S  1	response
308.521	n/a	S  5	stimulus
308.88	n/a	S  1	response
310.154	n/a	S  5	stimulus
310.488	n/a	S  1	response
311.987	n/a	S 10	n/a
332.003	n/a	S  5	stimulus
332.391	n/a	S  1	response
333.537	n/a	S  5	stimulus
333.927	n/a	S  1	response
335.57	n/a	S  5	stimulus
336.063	n/a	S  1	response
337.203	n/a	S  5	stimulus
337.535	n/a	S  1	response
338.936	n/a	S  5	stimulus
339.255	n/a	S  1	response
340.67	n/a	S  5	stimulus
340.943	n/a	S  1	response
342.403	n/a	S  5	stimulus
342.703	n/a	S  1	response
343.936	n/a	S  5	stimulus
344.287	n/a	S  1	response
345.67	n/a	S  5	stimulus
345.943	n/a	S  1	response
347.603	n/a	S  5	stimulus
347.879	n/a	S  1	response
349.236	n/a	S  5	stimulus
350.023	n/a	S  1	response
351.069	n/a	S  5	stimulus
351.407	n/a	S  1	response
353.103	n/a	S  5	stimulus
353.359	n/a	S  1	response
354.636	n/a	S  5	stimulus
354.991	n/a	S  1	response
356.369	n/a	S  5	stimulus
356.663	n/a	S  1	response
