onset	duration	sample	value
-0.0010000000	3911401.0000000000	-0.5	boundary
0.1956157315	1.0000000000	97.8079	RTO
0.8716978958	1.0000000000	435.8489	RHS
1.3374433868	1.0000000000	668.7217	LTO
1.8031888778	1.0000000000	901.5944	LHS
2.1086778557	1.0000000000	1054.3389	RTO
2.8021931138	1.0000000000	1401.0966	RHS
3.3508757485	1.0000000000	1675.4379	LTO
3.8297260479	1.0000000000	1914.863	LHS
4.1689116766	1.0000000000	2084.4558	RTO
4.8073787425	1.0000000000	2403.6894	RHS
4.9997500000	0.0000000000	2499.875	TrialStart
5.3710254491	1.0000000000	2685.5127	LTO
5.9546242515	1.0000000000	2977.3121	LHS
6.3985583832	1.0000000000	3199.2792	RTO
7.0170733533	1.0000000000	3508.5367	RHS
7.5878844032	1.0000000000	3793.9422	LTO
8.1593708626	1.0000000000	4079.6854	LHS
8.7007790873	1.0000000000	4350.3895	RTO
9.3324220160	1.0000000000	4666.211	RHS
9.8287128887	1.0000000000	4914.3564	LTO
10.4753949348	1.0000000000	5237.6975	LHS
11.0268292377	1.0000000000	5513.4146	RTO
11.7637459880	1.0000000000	5881.873	RHS
12.4387669492	1.0000000000	6219.3835	LTO
13.0367330508	1.0000000000	6518.3665	LHS
13.4553093220	1.0000000000	6727.6547	RTO
14.0532754237	1.0000000000	7026.6377	RHS
14.5864618644	1.0000000000	7293.2309	LTO
15.2591737288	1.0000000000	7629.5869	LHS
15.7275805085	1.0000000000	7863.7903	RTO
16.3105974576	1.0000000000	8155.2987	RHS
16.8089025424	1.0000000000	8404.4513	LTO
17.4585584253	1.0000000000	8729.2792	LHS
17.8746406720	1.0000000000	8937.3203	RTO
18.5213227182	1.0000000000	9260.6614	RHS
19.0827830993	1.0000000000	9541.3915	LTO
19.7344781846	1.0000000000	9867.2391	LHS
20.2407951354	1.0000000000	10120.3976	RTO
20.8924902207	1.0000000000	10446.2451	RHS
21.4138462889	1.0000000000	10706.9231	LTO
21.9903457874	1.0000000000	10995.1729	LHS
22.4148347458	1.0000000000	11207.4174	RTO
22.4198177966	1.0000000000	11209.9089	RHS
22.4297838983	1.0000000000	11214.8919	RTO
23.0775805085	1.0000000000	11538.7903	RHS
23.5559533898	1.0000000000	11777.9767	LTO
24.2535805085	1.0000000000	12126.7903	LHS
24.6721567797	1.0000000000	12336.0784	RTO
25.3697838983	1.0000000000	12684.8919	RHS
25.9478177966	1.0000000000	12973.9089	LTO
