onset	duration	sample	value
-0.0010000000	5238446.0000000000	-0.5	boundary
0.2562429860	1.0000000000	128.1215	RHS
0.4416137275	1.0000000000	220.8069	LTO
0.8875055110	1.0000000000	443.7528	LHS
1.0378061122	1.0000000000	518.9031	RTO
1.6089483968	1.0000000000	804.4742	RHS
1.7542389780	1.0000000000	877.1195	LTO
2.2151608216	1.0000000000	1107.5804	LHS
2.3754814629	1.0000000000	1187.7407	RTO
2.9816938878	1.0000000000	1490.8469	RHS
3.0919143287	1.0000000000	1545.9572	LTO
3.6329964930	1.0000000000	1816.4982	LHS
3.7582469940	1.0000000000	1879.1235	RTO
4.2542389780	1.0000000000	2127.1195	RHS
4.4295896794	1.0000000000	2214.7948	LTO
4.9997500000	0.0000000000	2499.875	TrialStart
5.0281946660	1.0000000000	2514.0973	LHS
5.1627908774	1.0000000000	2581.3954	RTO
5.6712654536	1.0000000000	2835.6327	RHS
5.8507270688	1.0000000000	2925.3635	LTO
6.3592016451	1.0000000000	3179.6008	LHS
6.5087529910	1.0000000000	3254.3765	RTO
7.0271976570	1.0000000000	3513.5988	RHS
7.2066592722	1.0000000000	3603.3296	LTO
7.7151338485	1.0000000000	3857.5669	LHS
7.8248048355	1.0000000000	3912.4024	RTO
8.3930999501	1.0000000000	4196.55	RHS
8.5077559821	1.0000000000	4253.878	LTO
9.0411557827	1.0000000000	4520.5779	LHS
9.2305874875	1.0000000000	4615.2937	RTO
9.6852765797	1.0000000000	4842.6383	RHS
9.8457580241	1.0000000000	4922.879	LTO
10.4626085757	1.0000000000	5231.3043	LHS
10.5829696590	1.0000000000	5291.4848	RTO
11.1045343531	1.0000000000	5552.2672	RHS
11.3001211133	1.0000000000	5650.0606	LTO
11.7715353561	1.0000000000	5885.7677	LHS
11.9069415747	1.0000000000	5953.4708	RTO
12.4184761785	1.0000000000	6209.2381	RHS
12.6491682548	1.0000000000	6324.5841	LTO
13.1556878134	1.0000000000	6577.8439	LHS
13.3111542126	1.0000000000	6655.5771	RTO
13.8878844032	1.0000000000	6943.9422	RHS
13.9881853059	1.0000000000	6994.0927	LTO
14.5496940559	1.0000000000	7274.847	LHS
14.6645332168	1.0000000000	7332.2666	RTO
15.1887989510	1.0000000000	7594.3995	RHS
15.3385891608	1.0000000000	7669.2946	LTO
15.8628548951	1.0000000000	7931.4274	LHS
16.0376101399	1.0000000000	8018.8051	RTO
16.5119458042	1.0000000000	8255.9729	RHS
16.7116660839	1.0000000000	8355.833	LTO
17.2459178322	1.0000000000	8622.9589	LHS
17.4007010490	1.0000000000	8700.3505	RTO
17.9699038462	1.0000000000	8984.9519	RHS
18.1147010490	1.0000000000	9057.3505	LTO
18.6339737762	1.0000000000	9316.9869	LHS
18.8037360140	1.0000000000	9401.868	RTO
19.3080297203	1.0000000000	9654.0149	RHS
19.4678059441	1.0000000000	9733.903	LTO
20.0432855355	1.0000000000	10021.6428	LHS
20.2184607107	1.0000000000	10109.2304	RTO
20.7189612112	1.0000000000	10359.4806	RHS
20.8741163664	1.0000000000	10437.0582	LTO
21.4296719219	1.0000000000	10714.836	LHS
21.5698120621	1.0000000000	10784.906	RTO
22.0753175676	1.0000000000	11037.6588	RHS
22.2905327828	1.0000000000	11145.2664	LTO
22.7359782282	1.0000000000	11367.9891	LHS
22.9561984484	1.0000000000	11478.0992	RTO
23.5017439940	1.0000000000	11750.872	RHS
23.6418841341	1.0000000000	11820.9421	LTO
24.1724146647	1.0000000000	12086.2073	LHS
24.2925347848	1.0000000000	12146.2674	RTO
24.8885115230	1.0000000000	12444.2558	RHS
25.0237820641	1.0000000000	12511.891	LTO
25.5698742485	1.0000000000	12784.9371	LHS
25.7402149299	1.0000000000	12870.1075	RTO
26.2111568136	1.0000000000	13105.5784	RHS
26.3614574148	1.0000000000	13180.7287	LTO
26.9125596192	1.0000000000	13456.2798	LHS
27.0277900802	1.0000000000	13513.895	RTO
27.5338021042	1.0000000000	13766.9011	RHS
27.7191728457	1.0000000000	13859.5864	LTO
28.2251848697	1.0000000000	14112.5924	LHS
28.3905155311	1.0000000000	14195.2578	RTO
28.9115576152	1.0000000000	14455.7788	RHS
29.1119584168	1.0000000000	14555.9792	LTO
29.6424266467	1.0000000000	14821.2133	LHS
29.7970553892	1.0000000000	14898.5277	RTO
30.4155703593	1.0000000000	15207.7852	RHS
30.5602230539	1.0000000000	15280.1115	LTO
31.0839655689	1.0000000000	15541.9828	LHS
31.1937020958	1.0000000000	15596.851	RTO
31.7324086826	1.0000000000	15866.2043	RHS
31.8571092814	1.0000000000	15928.5546	LTO
32.4008038922	1.0000000000	16200.4019	LHS
32.5554326347	1.0000000000	16277.7163	RTO
33.1041152695	1.0000000000	16552.0576	RHS
33.2737080838	1.0000000000	16636.854	LTO
33.7475703593	1.0000000000	16873.7852	LHS
33.9371152695	1.0000000000	16968.5576	RTO
34.3960134731	1.0000000000	17198.0067	RHS
34.5659305416	1.0000000000	17282.9653	LTO
35.1426607322	1.0000000000	17571.3304	LHS
35.2780669509	1.0000000000	17639.0335	RTO
35.8096617352	1.0000000000	17904.8309	RHS
35.9952184052	1.0000000000	17997.6092	LTO
36.5920087763	1.0000000000	18296.0044	LHS
36.7073548144	1.0000000000	18353.6774	RTO
37.2539947342	1.0000000000	18626.9974	RHS
37.4144761785	1.0000000000	18707.2381	LTO
37.9510860080	1.0000000000	18975.543	LHS
38.0965223170	1.0000000000	19048.2612	RTO
38.6281171013	1.0000000000	19314.0586	RHS
38.8337339519	1.0000000000	19416.867	LTO
39.3302234203	1.0000000000	19665.1117	LHS
39.4455694584	1.0000000000	19722.7847	RTO
39.9544040379	1.0000000000	19977.202	RHS
40.1538058325	1.0000000000	20076.9029	LTO
40.6772355434	1.0000000000	20338.6178	LHS
40.8417420239	1.0000000000	20420.871	RTO
41.3851119143	1.0000000000	20692.556	RHS
41.5097380359	1.0000000000	20754.869	LTO
42.0132275673	1.0000000000	21006.6138	LHS
42.1777340479	1.0000000000	21088.867	RTO
42.7260889831	1.0000000000	21363.0445	RHS
42.8507151047	1.0000000000	21425.3576	LTO
43.3641747258	1.0000000000	21682.0874	LHS
43.5286812064	1.0000000000	21764.3406	RTO
44.0521109172	1.0000000000	22026.0555	RHS
44.1966772183	1.0000000000	22098.3386	LTO
44.7213106820	1.0000000000	22360.6553	LHS
44.8817279338	1.0000000000	22440.864	RTO
45.3780188064	1.0000000000	22689.0094	RHS
45.6186446841	1.0000000000	22809.3223	LTO
46.1049094784	1.0000000000	23052.4547	LHS
46.2703397693	1.0000000000	23135.1699	RTO
46.7515915246	1.0000000000	23375.7958	RHS
46.9320609328	1.0000000000	23466.0305	LTO
47.4584300401	1.0000000000	23729.215	LHS
47.5987951354	1.0000000000	23799.3976	RTO
48.1101251254	1.0000000000	24055.0626	RHS
48.2855814945	1.0000000000	24142.7907	LTO
48.8370157974	1.0000000000	24418.5079	LHS
48.9823939318	1.0000000000	24491.197	RTO
49.5137200897	1.0000000000	24756.86	RHS
49.6732415254	1.0000000000	24836.6208	LTO
50.1916861914	1.0000000000	25095.8431	LHS
50.2963721336	1.0000000000	25148.1861	RTO
50.8546971585	1.0000000000	25427.3486	RHS
51.0391438185	1.0000000000	25519.5719	LTO
51.5725436191	1.0000000000	25786.2718	LHS
51.6971697408	1.0000000000	25848.5849	RTO
52.2305695414	1.0000000000	26115.2848	RHS
52.4449264706	1.0000000000	26222.4632	LTO
53.0481168993	1.0000000000	26524.0584	LHS
53.1926832004	1.0000000000	26596.3416	RTO
53.6961727318	1.0000000000	26848.0864	RHS
53.8556941675	1.0000000000	26927.8471	LTO
54.4389444168	1.0000000000	27219.4722	LHS
54.5689455868	1.0000000000	27284.4728	RTO
55.0102695587	1.0000000000	27505.1348	RHS
55.1757660481	1.0000000000	27587.883	LTO
55.7474811936	1.0000000000	27873.7406	LHS
55.8979325476	1.0000000000	27948.9663	RTO
56.4044521063	1.0000000000	28202.2261	RHS
56.5799786861	1.0000000000	28289.9893	LTO
57.1115734704	1.0000000000	28555.7867	LHS
57.2570097793	1.0000000000	28628.5049	RTO
57.7886045637	1.0000000000	28894.3023	RHS
57.9340408726	1.0000000000	28967.0204	LTO
58.4505905216	1.0000000000	29225.2953	LHS
58.5859967402	1.0000000000	29292.9984	RTO
59.1326366600	1.0000000000	29566.3183	RHS
59.3131782849	1.0000000000	29656.5891	LTO
59.8924279661	1.0000000000	29946.214	LHS
60.0070381356	1.0000000000	30003.5191	RTO
60.5103262712	1.0000000000	30255.1631	RHS
60.6747669492	1.0000000000	30337.3835	LTO
61.2229025424	1.0000000000	30611.4513	LHS
61.3424957627	1.0000000000	30671.2479	RTO
61.9005974576	1.0000000000	30950.2987	RHS
62.0451059322	1.0000000000	31022.553	LTO
62.5334449153	1.0000000000	31266.7225	LHS
62.7178177966	1.0000000000	31358.9089	RTO
63.2011737288	1.0000000000	31600.5869	RHS
63.3755805085	1.0000000000	31687.7903	LTO
63.9237161017	1.0000000000	31961.8581	LHS
64.0732076271	1.0000000000	32036.6038	RTO
64.5217820641	1.0000000000	32260.891	RHS
64.7471427856	1.0000000000	32373.5714	LTO
65.2229043086	1.0000000000	32611.4522	LHS
65.3581207415	1.0000000000	32679.0604	RTO
65.9039944890	1.0000000000	32951.9972	RHS
66.0592429860	1.0000000000	33029.6215	LTO
66.6151327655	1.0000000000	33307.5664	LHS
66.7854053106	1.0000000000	33392.7027	RTO
67.3162550100	1.0000000000	33658.1275	RHS
67.4865275551	1.0000000000	33743.2638	LTO
68.0474253507	1.0000000000	34023.7127	LHS
68.1926578156	1.0000000000	34096.3289	RTO
68.7335235471	1.0000000000	34366.7618	RHS
68.8837640281	1.0000000000	34441.882	LTO
69.4596858717	1.0000000000	34729.8429	LHS
69.5945224551	1.0000000000	34797.2612	RTO
70.1132769461	1.0000000000	35056.6385	RHS
70.2679056886	1.0000000000	35133.9528	LTO
70.8614805389	1.0000000000	35430.7403	LHS
70.9911691617	1.0000000000	35495.5846	RTO
71.5198997006	1.0000000000	35759.9499	RHS
71.6645523952	1.0000000000	35832.2762	LTO
72.2631152695	1.0000000000	36131.5576	LHS
72.3778398204	1.0000000000	36188.9199	RTO
72.9315104790	1.0000000000	36465.7552	RHS
73.1260434132	1.0000000000	36563.0217	LTO
73.6348218563	1.0000000000	36817.4109	LHS
73.7844625749	1.0000000000	36892.2313	RTO
74.3880134731	1.0000000000	37194.0067	RHS
74.5228252257	1.0000000000	37261.4126	LTO
75.0744801906	1.0000000000	37537.2401	LHS
75.2149014544	1.0000000000	37607.4507	RTO
75.7314511033	1.0000000000	37865.7256	RHS
75.9220228185	1.0000000000	37961.0114	LTO
76.4937379639	1.0000000000	38246.869	LHS
76.6241291374	1.0000000000	38312.0646	RTO
77.1256336510	1.0000000000	38562.8168	RHS
77.3212204112	1.0000000000	38660.6102	LTO
77.8778904213	1.0000000000	38938.9452	LHS
78.0584320461	1.0000000000	39029.216	RTO
78.6401772818	1.0000000000	39320.0886	RHS
78.7655534102	1.0000000000	39382.7767	LTO
79.3021632397	1.0000000000	39651.0816	LHS
79.4827048646	1.0000000000	39741.3524	RTO
80.0085676353	1.0000000000	40004.2838	RHS
80.1638161323	1.0000000000	40081.9081	LTO
80.7297219439	1.0000000000	40364.861	LHS
80.8599303607	1.0000000000	40429.9652	RTO
81.3707479960	1.0000000000	40685.374	RHS
81.5710686373	1.0000000000	40785.5343	LTO
82.0969103206	1.0000000000	41048.4552	LHS
82.2822069138	1.0000000000	41141.1035	RTO
82.8931848697	1.0000000000	41446.5924	RHS
83.0284013026	1.0000000000	41514.2007	LTO
83.5592510020	1.0000000000	41779.6255	LHS
83.7094914830	1.0000000000	41854.7457	RTO
84.2804053106	1.0000000000	42140.2027	RHS
84.4106137275	1.0000000000	42205.3069	LTO
84.9795883234	1.0000000000	42489.7942	LHS
85.1092769461	1.0000000000	42554.6385	RTO
85.6579595808	1.0000000000	42828.9798	RHS
85.8325404192	1.0000000000	42916.2702	LTO
86.4311032934	1.0000000000	43215.5516	LHS
86.6206482036	1.0000000000	43310.3241	RTO
87.1892829341	1.0000000000	43594.6415	RHS
87.3488997006	1.0000000000	43674.4499	LTO
87.8127859281	1.0000000000	43906.393	LHS
88.0023308383	1.0000000000	44001.1654	RTO
88.5061212575	1.0000000000	44253.0606	RHS
88.6607500000	1.0000000000	44330.375	LTO
89.2194086826	1.0000000000	44609.7043	LHS
89.3490973054	1.0000000000	44674.5487	RTO
89.9148452859	1.0000000000	44957.4226	RHS
90.0501973420	1.0000000000	45025.0987	LTO
90.6016316449	1.0000000000	45300.8158	LHS
90.8071662487	1.0000000000	45403.5831	RTO
91.3034571214	1.0000000000	45651.7286	RHS
91.4789134905	1.0000000000	45739.4567	LTO
92.0253347543	1.0000000000	46012.6674	LHS
92.1957780843	1.0000000000	46097.889	RTO
92.7522254263	1.0000000000	46376.1127	RHS
92.9176557172	1.0000000000	46458.8279	LTO
93.4891421765	1.0000000000	46744.5711	LHS
93.6345203109	1.0000000000	46817.2602	RTO
94.1909676530	1.0000000000	47095.4838	RHS
94.3664240221	1.0000000000	47183.212	LTO
94.8357180957	1.0000000000	47417.859	LHS
95.0301348455	1.0000000000	47515.0674	RTO
95.5834748255	1.0000000000	47791.7374	RHS
95.7081009472	1.0000000000	47854.0505	LTO
96.2763960618	1.0000000000	48138.198	LHS
96.4060072283	1.0000000000	48203.0036	RTO
96.8895565803	1.0000000000	48444.7783	RHS
97.0889583749	1.0000000000	48544.4792	LTO
97.6622385344	1.0000000000	48831.1193	LHS
97.7868646560	1.0000000000	48893.4323	RTO
98.2953392323	1.0000000000	49147.6696	RHS
98.4897559821	1.0000000000	49244.878	LTO
98.9683202891	1.0000000000	49484.1601	LHS
99.1477819043	1.0000000000	49573.891	RTO
99.7474149950	1.0000000000	49873.7075	RHS
99.8627148947	1.0000000000	49931.3574	LTO
100.4141491976	1.0000000000	50207.0746	LHS
100.5294490973	1.0000000000	50264.7245	RTO
101.0558182046	1.0000000000	50527.9091	RHS
101.2362876128	1.0000000000	50618.1438	LTO
101.8378523069	1.0000000000	50918.9262	LHS
101.9732043631	1.0000000000	50986.6022	RTO
102.5296517051	1.0000000000	51264.8259	RHS
102.6850559178	1.0000000000	51342.528	LTO
103.2314771815	1.0000000000	51615.7386	LHS
103.3818683551	1.0000000000	51690.9342	RTO
103.9633808927	1.0000000000	51981.6904	RHS
104.0786807924	1.0000000000	52039.3404	LTO
104.5844279661	1.0000000000	52292.214	LHS
104.7737838983	1.0000000000	52386.8919	RTO
105.3169364407	1.0000000000	52658.4682	RHS
105.4714110169	1.0000000000	52735.7055	LTO
106.0594110169	1.0000000000	53029.7055	LHS
106.1740211864	1.0000000000	53087.0106	RTO
106.6424279661	1.0000000000	53321.214	RHS
106.8467330508	1.0000000000	53423.3665	LTO
107.3400550847	1.0000000000	53670.0275	LHS
107.4895466102	1.0000000000	53744.7733	RTO
108.0277161017	1.0000000000	54013.8581	RHS
108.1722245763	1.0000000000	54086.1123	LTO
108.6356483051	1.0000000000	54317.8242	LHS
108.8200211864	1.0000000000	54410.0106	RTO
109.3631737288	1.0000000000	54681.5869	RHS
109.5078303213	1.0000000000	54753.9152	LTO
110.0750993976	1.0000000000	55037.5497	LHS
110.2307218875	1.0000000000	55115.3609	RTO
110.7728905622	1.0000000000	55386.4453	RHS
110.9034126506	1.0000000000	55451.7063	LTO
111.4807218875	1.0000000000	55740.3609	LHS
111.5961837349	1.0000000000	55798.0919	RTO
112.1283122490	1.0000000000	56064.1561	RHS
112.2839347390	1.0000000000	56141.9674	LTO
112.8361435743	1.0000000000	56418.0718	LHS
112.9817259036	1.0000000000	56490.863	RTO
113.5690753012	1.0000000000	56784.5377	RHS
113.7347379518	1.0000000000	56867.369	LTO
114.3120471888	1.0000000000	57156.0236	LHS
114.4224889558	1.0000000000	57211.2445	RTO
114.9507121514	1.0000000000	57475.3561	RHS
115.0950766932	1.0000000000	57547.5383	LTO
115.6576005976	1.0000000000	57828.8003	LHS
115.7920089641	1.0000000000	57896.0045	RTO
116.2947958167	1.0000000000	58147.3979	RHS
116.4292041833	1.0000000000	58214.6021	LTO
116.9369691235	1.0000000000	58468.4846	LHS
117.1161802789	1.0000000000	58558.0901	RTO
117.6637699203	1.0000000000	58831.885	RHS
117.7832440239	1.0000000000	58891.622	LTO
118.2910089641	1.0000000000	59145.5045	LHS
118.5150229084	1.0000000000	59257.5115	RTO
119.0178097610	1.0000000000	59508.9049	RHS
119.1223496016	1.0000000000	59561.1748	LTO
119.6862715647	1.0000000000	59843.1358	LHS
119.8166105817	1.0000000000	59908.3053	RTO
120.4031361585	1.0000000000	60201.5681	RHS
120.5485142929	1.0000000000	60274.2571	LTO
121.0798964393	1.0000000000	60539.9482	LHS
121.2703919258	1.0000000000	60635.196	RTO
121.7666827984	1.0000000000	60883.3414	RHS
121.9371261284	1.0000000000	60968.5631	LTO
122.4785343531	1.0000000000	61239.2672	LHS
122.6740428786	1.0000000000	61337.0214	RTO
123.2004119860	1.0000000000	61600.206	RHS
123.3207249248	1.0000000000	61660.3625	LTO
123.8470940321	1.0000000000	61923.547	LHS
124.0526286359	1.0000000000	62026.3143	RTO
124.5787120000	1.0000000000	62289.356	RHS
124.7286520000	1.0000000000	62364.326	LTO
125.2784320000	1.0000000000	62639.216	LHS
125.4533620000	1.0000000000	62726.681	RTO
126.0031420000	1.0000000000	63001.571	RHS
126.1480840000	1.0000000000	63074.042	LTO
126.6578800000	1.0000000000	63328.94	LHS
126.8727940000	1.0000000000	63436.397	RTO
127.4475640000	1.0000000000	63723.782	RHS
127.5675160000	1.0000000000	63783.758	LTO
128.1422860000	1.0000000000	64071.143	LHS
128.2872280000	1.0000000000	64143.614	RTO
128.8570000000	1.0000000000	64428.5	RHS
129.0319300000	1.0000000000	64515.965	LTO
129.5217340000	1.0000000000	64760.867	LHS
129.6966640000	1.0000000000	64848.332	RTO
130.3264120000	1.0000000000	65163.206	RHS
130.4663560000	1.0000000000	65233.178	LTO
130.9761520000	1.0000000000	65488.076	LHS
