onset	duration	trial_type
4.5	0.5	Image_22
7.5	0.5	Image_10
10.5	0.5	Image_56
13.5	0.5	Catch
16.5	0.5	Image_33
19.5	0.5	Image_52
22.5	0.5	Image_28
25.5	0.5	Image_27
28.5	0.5	Image_7
31.5	0.5	Catch
34.5	0.5	Image_12
37.5	0.5	Image_4
40.5	0.5	Image_25
43.5	0.5	Image_20
46.5	0.5	Catch
49.5	0.5	Image_32
52.5	0.5	Image_21
55.5	0.5	Image_39
58.5	0.5	Catch
61.5	0.5	Image_44
64.5	0.5	Image_24
67.5	0.5	Image_43
70.5	0.5	Catch
73.5	0.5	Image_16
76.5	0.5	Image_11
79.5	0.5	Image_59
82.5	0.5	Catch
85.5	0.5	Image_29
88.5	0.5	Image_48
91.5	0.5	Image_6
94.5	0.5	Image_8
97.5	0.5	Image_13
100.5	0.5	Catch
103.5	0.5	Image_38
106.5	0.5	Image_17
109.5	0.5	Image_50
112.5	0.5	Image_53
115.5	0.5	Catch
118.5	0.5	Image_34
121.5	0.5	Image_35
124.5	0.5	Image_36
127.5	0.5	Catch
130.5	0.5	Image_30
133.5	0.5	Image_57
136.5	0.5	Image_45
139.5	0.5	Image_47
142.5	0.5	Catch
145.5	0.5	Image_41
148.5	0.5	Image_55
151.5	0.5	Image_23
154.5	0.5	Catch
157.5	0.5	Image_14
160.5	0.5	Image_2
163.5	0.5	Image_51
166.5	0.5	Catch
169.5	0.5	Image_60
172.5	0.5	Image_58
175.5	0.5	Image_49
178.5	0.5	Catch
181.5	0.5	Image_18
184.5	0.5	Image_19
187.5	0.5	Image_40
190.5	0.5	Image_15
193.5	0.5	Image_26
196.5	0.5	Catch
199.5	0.5	Image_31
202.5	0.5	Image_3
205.5	0.5	Image_5
208.5	0.5	Image_1
211.5	0.5	Image_9
214.5	0.5	Catch
217.5	0.5	Image_54
220.5	0.5	Image_42
223.5	0.5	Image_46
226.5	0.5	Image_37
229.5	0.5	Image_13
232.5	0.5	Catch
235.5	0.5	Image_59
238.5	0.5	Image_36
241.5	0.5	Image_60
244.5	0.5	Image_31
247.5	0.5	Image_41
250.5	0.5	Catch
253.5	0.5	Image_32
256.5	0.5	Image_53
259.5	0.5	Image_39
262.5	0.5	Image_58
265.5	0.5	Catch
268.5	0.5	Image_46
271.5	0.5	Image_57
274.5	0.5	Image_43
277.5	0.5	Image_45
280.5	0.5	Catch
283.5	0.5	Image_44
286.5	0.5	Image_51
289.5	0.5	Image_56
292.5	0.5	Image_27
295.5	0.5	Catch
298.5	0.5	Image_37
301.5	0.5	Image_7
304.5	0.5	Image_19
307.5	0.5	Image_1
310.5	0.5	Catch
313.5	0.5	Image_5
316.5	0.5	Image_48
319.5	0.5	Image_38
322.5	0.5	Catch
325.5	0.5	Image_8
328.5	0.5	Image_18
331.5	0.5	Image_28
334.5	0.5	Image_4
337.5	0.5	Catch
340.5	0.5	Image_52
343.5	0.5	Image_3
346.5	0.5	Image_35
349.5	0.5	Image_54
352.5	0.5	Catch
355.5	0.5	Image_26
358.5	0.5	Image_25
361.5	0.5	Image_42
364.5	0.5	Image_30
367.5	0.5	Image_12
370.5	0.5	Catch
373.5	0.5	Image_49
376.5	0.5	Image_34
379.5	0.5	Image_16
382.5	0.5	Catch
385.5	0.5	Image_11
388.5	0.5	Image_55
391.5	0.5	Image_15
394.5	0.5	Image_6
397.5	0.5	Catch
400.5	0.5	Image_2
403.5	0.5	Image_22
406.5	0.5	Image_17
409.5	0.5	Image_21
412.5	0.5	Image_23
415.5	0.5	Catch
418.5	0.5	Image_20
421.5	0.5	Image_14
424.5	0.5	Image_29
427.5	0.5	Image_40
430.5	0.5	Image_10
433.5	0.5	Catch
436.5	0.5	Image_9
439.5	0.5	Image_33
442.5	0.5	Image_50
445.5	0.5	Image_47
448.5	0.5	Image_24
451.5	0.5	Catch
