onset	duration	balloon_number	balloon_idx	response	pumps	pumps_demean_all	pumps_demean_type	balloon_type	balloon_outcome	balloon_maxpumps	balloon_colour	balloon_payoff_cumulative	balloon_payoff_total	onset_explosion	duration_explosion
4.045	1.293	1	1	pump	8	-4.75	-7.7	control	control	8	grey	0	0	NA	NA
7.278	1.619	1	2	pump	8	-3.75	-6.7	control	control	8	grey	0	0	NA	NA
10.043	0.874	1	3	pump	8	-2.75	-5.7	control	control	8	grey	0	0	NA	NA
12.926	0.637	1	4	pump	8	-1.75	-4.7	control	control	8	grey	0	0	NA	NA
14.626	1.513	1	5	pump	8	-0.75	-3.7	control	control	8	grey	0	0	NA	NA
17.909	0.573	1	6	pump	8	0.25	-2.7	control	control	8	grey	0	0	NA	NA
20.076	0.808	1	7	pump	8	1.25	-1.7	control	control	8	grey	0	0	NA	NA
22.893	0.674	1	8	pump	8	2.25	-0.699999999999999	control	control	8	grey	0	0	NA	NA
27.626	0.792	2	1	pump	4	-4.75	-3.18181818181818	linear	cashout	14	red	0.1	0.4	NA	NA
29.543	0.659	2	2	pump	4	-3.75	-2.18181818181818	linear	cashout	14	red	0.2	0.4	NA	NA
31.726	0.507	2	3	pump	4	-2.75	-1.18181818181818	linear	cashout	14	red	0.3	0.4	NA	NA
34.01	0.232	2	4	pump	4	-1.75	-0.181818181818182	linear	cashout	14	red	0.4	0.4	NA	NA
36.243	0.827	2	5	cashout	4	NA	NA	linear	cashout	14	red	0.5	0.4	NA	NA
42.71	0.67	3	1	pump	5	-4.75	-3.63636363636364	exponential	cashout	11	blue	0.01	0.29	NA	NA
45.015	0.325	3	2	pump	5	-3.75	-2.63636363636364	exponential	cashout	11	blue	0.0428709385014517	0.29	NA	NA
46.631	0.912	3	3	pump	5	-2.75	-1.63636363636364	exponential	cashout	11	blue	0.100451085663051	0.29	NA	NA
48.73	0.53	3	4	pump	5	-1.75	-0.636363636363637	exponential	cashout	11	blue	0.183791736799526	0.29	NA	NA
51.196	0.058	3	5	pump	5	-0.75	0.363636363636363	exponential	cashout	11	blue	0.293654735772005	0.29	NA	NA
53.045	0.243	3	6	cashout	5	NA	NA	exponential	cashout	11	blue	0.430643231586474	0.29	NA	NA
58.01	0.229	4	1	pump	5	-4.75	-3.63636363636364	exponential	cashout	12	blue	0.01	0.29	NA	NA
60.193	0.01	4	2	pump	5	-3.75	-2.63636363636364	exponential	cashout	12	blue	0.0428709385014517	0.29	NA	NA
61.26	0.863	4	3	pump	5	-2.75	-1.63636363636364	exponential	cashout	12	blue	0.100451085663051	0.29	NA	NA
63.376	0.835	4	4	pump	5	-1.75	-0.636363636363637	exponential	cashout	12	blue	0.183791736799526	0.29	NA	NA
65.976	0.286	4	5	pump	5	-0.75	0.363636363636363	exponential	cashout	12	blue	0.293654735772005	0.29	NA	NA
67.46	0.332	4	6	cashout	5	NA	NA	exponential	cashout	12	blue	0.430643231586474	0.29	NA	NA
77.377	0.507	5	1	pump	5	-4.75	-7.7	control	control	5	grey	0	0	NA	NA
79.777	0.532	5	2	pump	5	-3.75	-6.7	control	control	5	grey	0	0	NA	NA
82.177	1.83	5	3	pump	5	-2.75	-5.7	control	control	5	grey	0	0	NA	NA
85.36	1.034	5	4	pump	5	-1.75	-4.7	control	control	5	grey	0	0	NA	NA
87.527	0.56	5	5	pump	5	-0.75	-3.7	control	control	5	grey	0	0	NA	NA
92.893	0.721	6	1	pump	5	-4.75	-3.18181818181818	linear	cashout	16	red	0.1	0.5	NA	NA
95.643	0.479	6	2	pump	5	-3.75	-2.18181818181818	linear	cashout	16	red	0.2	0.5	NA	NA
98.127	0.292	6	3	pump	5	-2.75	-1.18181818181818	linear	cashout	16	red	0.3	0.5	NA	NA
99.563	1.012	6	4	pump	5	-1.75	-0.181818181818182	linear	cashout	16	red	0.4	0.5	NA	NA
102.612	1.46	6	5	pump	5	-0.75	0.818181818181818	linear	cashout	16	red	0.5	0.5	NA	NA
105.494	0.644	6	6	cashout	5	NA	NA	linear	cashout	16	red	0.6	0.5	NA	NA
113.56	0.686	7	1	pump	3	-4.75	-3.18181818181818	linear	explosion	3	red	0.1	0	NA	NA
116.06	0.528	7	2	pump	3	-3.75	-2.18181818181818	linear	explosion	3	red	0.2	0	NA	NA
118.16	0.522	7	3	pump	3	NA	NA	linear	explosion	3	red	0.3	0	120.577	2
125.477	0.564	8	1	pump	1	NA	NA	exponential	explosion	1	blue	0.01	0	127.877	2.00000000000001
137.794	0.979	9	1	pump	2	-4.75	-7.7	control	control	2	grey	0	0	NA	NA
139.994	2.024	9	2	pump	2	-3.75	-6.7	control	control	2	grey	0	0	NA	NA
147.33	0.71	10	1	pump	3	-4.75	-3.18181818181818	linear	explosion	3	red	0.1	0	NA	NA
149.296	0.866	10	2	pump	3	-3.75	-2.18181818181818	linear	explosion	3	red	0.2	0	NA	NA
151.479	0.544	10	3	pump	3	NA	NA	linear	explosion	3	red	0.3	0	153.862	2
