onset	duration	trial_type	response_time	correct	left_number	right_number	verification
6.467	4.5	LargeProblem	1839	0	4	9	13
12.483	4.5	LargeProblem	2055	0	8	4	13
18.283	4.5	LargeProblem	2295	1	3	8	11
24.483	4.5	LargeProblem	1839	0	6	8	15
29.983	4.5	LargeProblem	3122	1	6	5	11
36.483	4.5	LargeProblem	2486	1	9	3	12
48.483	4.5	Plus1	1815	1	6	1	8
53.983	4.5	Plus1	1299	1	7	1	8
59.983	4.5	Plus1	1571	1	8	1	11
66.483	4.5	Plus1	1518	1	5	1	6
71.983	4.5	Plus1	1283	1	3	1	4
77.983	4.5	Plus1	1579	1	4	1	7
90.483	4.5	Plus1	1670	1	2	1	4
95.983	4.5	Plus1	1299	1	6	1	7
101.983	4.5	Plus1	0	0	2	1	3
108.483	4.5	Plus1	1159	1	9	1	10
114.483	4.5	Plus1	2119	1	5	1	7
120.983	4.5	Plus1	2114	1	9	1	12
138.483	4.5	SmallProblem	0	0	5	4	9
144.483	4.5	SmallProblem	2783	1	3	5	10
150.983	4.5	SmallProblem	1459	1	3	2	7
156.483	4.5	SmallProblem	1415	1	4	6	11
162.484	4.5	SmallProblem	2014	1	5	2	7
168.984	4.5	SmallProblem	2889	1	7	2	10
186.484	4.5	LargeProblem	2358	1	5	7	14
192.484	4.5	LargeProblem	4485	0	5	9	14
197.967	4.5	LargeProblem	3515	1	8	5	15
204.484	4.5	LargeProblem	1526	1	7	6	13
210.484	4.5	LargeProblem	2070	1	9	2	13
216.984	4.5	LargeProblem	1778	1	4	7	12
234.484	4.5	SmallProblem	4206	1	2	4	6
240.484	4.5	SmallProblem	1270	1	6	3	11
246.984	4.5	SmallProblem	2866	1	2	6	9
252.484	4.5	SmallProblem	3390	1	4	3	7
258.984	4.5	SmallProblem	3410	1	3	7	10
264.484	4.5	SmallProblem	4286	0	2	8	10
