onset	duration	trial_type	response_time	correct	left_stim	right_stim	correct_response
8.967	2	NumberMatching	1015	0	N9	D7_2	b
11.984	2	NumberMatching	1286	1	N5	D1_2	b
15.484	2	NumberMatching	1586	0	N1	D4_2	b
19.484	2	NumberMatching	1698	0	D8_2	N8	c
22.484	2	NumberMatching	1483	1	N7	D4_2	b
26.484	2	NumberMatching	1106	1	D6_1	N3	b
41.467	2	FaceMatching	2027	1	Stim8_LargeDistance	Stim8_Base	b
44.467	2	FaceMatching	1795	1	Stim3_Base	Stim3_Base	c
48.0	2	FaceMatching	1198	1	Stim3_Base	Stim3_SmallDistance	b
52.0	2	FaceMatching	1190	0	Stim7_LargeDistance	Stim7_Base	b
55.5	2	FaceMatching	1418	0	Stim9_Base	Stim9_Base	c
58.5	2	FaceMatching	1346	0	Stim8_Base	Stim8_Base	c
70.967	2	NumberMatching	1231	1	N1	D1_1	c
73.984	2	NumberMatching	1238	0	N5	D5_1	c
77.484	2	NumberMatching	1338	1	D2_2	N2	c
81.484	2	NumberMatching	1531	1	D4_2	N4	c
84.484	2	NumberMatching	1834	0	N7	D7_1	c
88.484	2	NumberMatching	1298	1	D8_1	N5	b
100.467	2	FaceMatching	2099	0	Stim5_Base	Stim5_SmallDistance	b
103.467	2	FaceMatching	2379	1	Stim1_Base	Stim1_SmallDistance	b
106.967	2	FaceMatching	1591	1	Stim7_Base	Stim7_Base	c
111.001	2	FaceMatching	1325	1	Stim5_Base	Stim5_Base	c
114.001	2	FaceMatching	1725	1	Stim1_Base	Stim1_Base	c
117.501	2	FaceMatching	1849	1	Stim2_Base	Stim2_SmallDistance	b
135.967	2	FaceMatching	1375	1	Stim2_Base	Stim2_Base	c
139.001	2	FaceMatching	1205	0	Stim9_LargeDistance	Stim9_Base	b
142.501	2	FaceMatching	1665	1	Stim6_LargeDistance	Stim6_Base	b
146.501	2	FaceMatching	2161	1	Stim6_Base	Stim6_Base	c
149.467	2	FaceMatching	1627	0	Stim4_Base	Stim4_Base	c
153.001	2	FaceMatching	2197	0	Stim4_Base	Stim4_SmallDistance	b
168.467	2	ShapeMatching	1907	1	S4	S4	c
171.484	2	ShapeMatching	1074	1	S9	S1	b
175.484	2	ShapeMatching	1170	1	S3	S4	b
178.984	2	ShapeMatching	1966	1	S7	S8	b
182.984	2	ShapeMatching	846	1	S5	S5	c
186.484	2	ShapeMatching	1226	1	S6	S7	b
200.967	2	ShapeMatching	1775	1	S3	S3	c
204.484	2	ShapeMatching	1666	1	S9	S9	c
207.484	2	ShapeMatching	1298	1	S8	S8	c
211.484	2	ShapeMatching	1298	1	S2	S2	c
214.484	2	ShapeMatching	858	1	S7	S7	c
218.484	2	ShapeMatching	1314	1	S5	S6	b
230.467	2	NumberMatching	0	0	D6_2	N6	c
233.484	2	NumberMatching	1706	1	N3	D5_2	b
236.984	2	NumberMatching	1390	1	D2_1	N5	b
240.984	2	NumberMatching	1358	1	N3	D3_1	c
243.984	2	NumberMatching	1366	1	D4_1	N8	b
247.984	2	NumberMatching	1798	0	N9	D9_1	c
265.967	2	ShapeMatching	1575	1	S1	S2	b
269.984	2	ShapeMatching	1030	1	S1	S1	c
272.984	2	ShapeMatching	1406	1	S8	S9	b
276.484	2	ShapeMatching	1186	1	S4	S5	b
279.484	2	ShapeMatching	1250	1	S2	S3	b
282.984	2	ShapeMatching	1102	1	S6	S6	c
