onset	duration	event_type	trial_type
31.513	n/a	S  4	stimulus
32.618	n/a	S  2	response
33.579	n/a	S  4	stimulus
34.53	n/a	S  3	response
35.896	n/a	S  4	stimulus
37.09	n/a	S  1	response
39.179	n/a	S  5	stimulus
40.41	n/a	S  1	response
41.629	n/a	S  5	stimulus
42.666	n/a	S  3	response
44.396	n/a	S  5	stimulus
45.106	n/a	S  1	response
46.662	n/a	S  5	stimulus
47.65	n/a	S  2	response
49.246	n/a	S  4	stimulus
50.258	n/a	S  1	response
54.745	n/a	S  4	stimulus
56.138	n/a	S  3	response
56.962	n/a	S  4	stimulus
57.826	n/a	S  1	response
59.862	n/a	S  5	stimulus
60.666	n/a	S  1	response
62.162	n/a	S  5	stimulus
65.062	n/a	S  4	stimulus
66.306	n/a	S  2	response
67.512	n/a	S  4	stimulus
68.362	n/a	S  2	response
70.162	n/a	S  4	stimulus
71.018	n/a	S  1	response
72.312	n/a	S  4	stimulus
73.338	n/a	S  3	response
74.395	n/a	S  5	stimulus
75.202	n/a	S  2	response
76.562	n/a	S  4	stimulus
77.81	n/a	S  3	response
78.761	n/a	S  4	stimulus
79.522	n/a	S  1	response
83.695	n/a	S  5	stimulus
84.666	n/a	S  1	response
85.911	n/a	S  5	stimulus
86.602	n/a	S  3	response
88.628	n/a	S  5	stimulus
89.274	n/a	S  1	response
91.028	n/a	S  5	stimulus
91.602	n/a	S  2	response
93.261	n/a	S  4	stimulus
94.361	n/a	S  3	response
95.411	n/a	S  5	stimulus
95.985	n/a	S  3	response
97.661	n/a	S  5	stimulus
98.249	n/a	S  2	response
99.711	n/a	S  5	stimulus
100.193	n/a	S  1	response
101.961	n/a	S  5	stimulus
102.641	n/a	S  2	response
107.261	n/a	S  4	stimulus
108.177	n/a	S  1	response
109.744	n/a	S  4	stimulus
110.873	n/a	S  2	response
111.794	n/a	S  4	stimulus
112.961	n/a	S  3	response
113.961	n/a	S  5	stimulus
114.545	n/a	S  3	response
116.627	n/a	S  4	stimulus
117.313	n/a	S  1	response
119.394	n/a	S  4	stimulus
120.569	n/a	S  3	response
121.444	n/a	S  4	stimulus
122.169	n/a	S  1	response
123.51	n/a	S  4	stimulus
124.185	n/a	S  1	response
126.027	n/a	S  5	stimulus
126.681	n/a	S  1	response
128.577	n/a	S  5	stimulus
129.409	n/a	S  3	response
130.927	n/a	S  5	stimulus
131.513	n/a	S  1	response
133.26	n/a	S  5	stimulus
133.897	n/a	S  2	response
135.627	n/a	S  4	stimulus
136.849	n/a	S  3	response
138.177	n/a	S 10	n/a
148.193	n/a	S  5	stimulus
148.889	n/a	S  3	response
153.493	n/a	S  4	stimulus
154.329	n/a	S  2	response
155.826	n/a	S  4	stimulus
156.641	n/a	S  1	response
158.176	n/a	S  4	stimulus
159.065	n/a	S  2	response
160.326	n/a	S  5	stimulus
161.001	n/a	S  1	response
162.993	n/a	S  4	stimulus
163.937	n/a	S  1	response
165.326	n/a	S  4	stimulus
166.081	n/a	S  2	response
167.809	n/a	S  4	stimulus
168.505	n/a	S  2	response
175.909	n/a	S  5	stimulus
176.568	n/a	S  3	response
178.759	n/a	S  5	stimulus
179.416	n/a	S  1	response
180.892	n/a	S  5	stimulus
181.52	n/a	S  2	response
183.959	n/a	S  5	stimulus
184.496	n/a	S  3	response
186.209	n/a	S  4	stimulus
187.088	n/a	S  1	response
189.025	n/a	S  4	stimulus
189.728	n/a	S  2	response
192.009	n/a	S  4	stimulus
192.68	n/a	S  1	response
197.625	n/a	S  5	stimulus
198.232	n/a	S  3	response
200.392	n/a	S  4	stimulus
201.192	n/a	S  2	response
205.692	n/a	S  5	stimulus
206.352	n/a	S  2	response
207.758	n/a	S  5	stimulus
208.368	n/a	S  1	response
209.925	n/a	S  5	stimulus
210.384	n/a	S  3	response
212.108	n/a	S  5	stimulus
212.712	n/a	S  2	response
215.391	n/a	S  4	stimulus
216.504	n/a	S  2	response
218.058	n/a	S  4	stimulus
219.08	n/a	S  3	response
220.241	n/a	S  4	stimulus
220.936	n/a	S  1	response
222.374	n/a	S  4	stimulus
223.472	n/a	S  3	response
230.991	n/a	S  5	stimulus
231.784	n/a	S  3	response
233.041	n/a	S  5	stimulus
233.488	n/a	S  3	response
235.274	n/a	S  5	stimulus
235.856	n/a	S  2	response
237.357	n/a	S  4	stimulus
238.248	n/a	S  3	response
240.074	n/a	S  5	stimulus
240.648	n/a	S  1	response
242.974	n/a	S  5	stimulus
243.608	n/a	S  2	response
245.624	n/a	S  4	stimulus
246.488	n/a	S  2	response
247.841	n/a	S  4	stimulus
248.776	n/a	S  3	response
252.274	n/a	S  5	stimulus
253.12	n/a	S  3	response
255.49	n/a	S  5	stimulus
256.112	n/a	S  1	response
257.624	n/a	S  5	stimulus
258.248	n/a	S  2	response
259.79	n/a	S  4	stimulus
260.391	n/a	S  3	response
265.273	n/a	S  5	stimulus
266.047	n/a	S  1	response
267.39	n/a	S  5	stimulus
267.903	n/a	S  3	response
269.457	n/a	S  5	stimulus
270.039	n/a	S  2	response
271.89	n/a	S  4	stimulus
272.807	n/a	S  2	response
274.69	n/a	S  4	stimulus
275.447	n/a	S  2	response
277.573	n/a	S 10	n/a
328.172	n/a	S  4	stimulus
329.031	n/a	S  2	response
330.255	n/a	S  4	stimulus
331.007	n/a	S  1	response
332.472	n/a	S  4	stimulus
333.335	n/a	S  2	response
335.805	n/a	S  4	stimulus
336.679	n/a	S  1	response
338.555	n/a	S  5	stimulus
339.111	n/a	S  3	response
340.871	n/a	S  5	stimulus
341.374	n/a	S  3	response
343.538	n/a	S  5	stimulus
344.126	n/a	S  2	response
345.788	n/a	S  5	stimulus
346.31	n/a	S  2	response
350.738	n/a	S  4	stimulus
351.454	n/a	S  1	response
353.354	n/a	S  4	stimulus
354.566	n/a	S  3	response
355.721	n/a	S  5	stimulus
356.326	n/a	S  1	response
358.154	n/a	S  5	stimulus
358.734	n/a	S  1	response
360.838	n/a	S  5	stimulus
361.462	n/a	S  2	response
364.088	n/a	S  4	stimulus
365.406	n/a	S  2	response
366.171	n/a	S  4	stimulus
366.926	n/a	S  1	response
368.237	n/a	S  5	stimulus
368.878	n/a	S  3	response
371.087	n/a	S  5	stimulus
371.83	n/a	S  3	response
373.354	n/a	S  5	stimulus
374.014	n/a	S  1	response
375.771	n/a	S  5	stimulus
376.35	n/a	S  2	response
382.537	n/a	S  4	stimulus
384.318	n/a	S  3	response
384.937	n/a	S  5	stimulus
385.518	n/a	S  3	response
387.604	n/a	S  5	stimulus
388.262	n/a	S  1	response
389.737	n/a	S  5	stimulus
390.342	n/a	S  3	response
391.87	n/a	S  5	stimulus
392.43	n/a	S  3	response
394.203	n/a	S  4	stimulus
395.142	n/a	S  2	response
396.637	n/a	S  4	stimulus
397.558	n/a	S  3	response
398.703	n/a	S  4	stimulus
399.43	n/a	S  3	response
401.453	n/a	S  4	stimulus
402.398	n/a	S  2	response
406.153	n/a	S  5	stimulus
406.942	n/a	S  1	response
408.386	n/a	S  5	stimulus
408.998	n/a	S  2	response
410.503	n/a	S  5	stimulus
410.958	n/a	S  2	response
412.67	n/a	S  4	stimulus
413.286	n/a	S  3	response
415.17	n/a	S  4	stimulus
416.422	n/a	S  3	response
417.353	n/a	S  4	stimulus
418.03	n/a	S  1	response
419.503	n/a	S  4	stimulus
420.614	n/a	S  2	response
422.103	n/a	S  5	stimulus
422.782	n/a	S  1	response
425.403	n/a	S  5	stimulus
426.013	n/a	S  2	response
428.003	n/a	S  4	stimulus
428.821	n/a	S  2	response
430.686	n/a	S  4	stimulus
431.605	n/a	S  3	response
432.736	n/a	S  4	stimulus
433.421	n/a	S  1	response
434.802	n/a	S  5	stimulus
435.453	n/a	S  1	response
436.919	n/a	S 10	n/a
446.952	n/a	S  5	stimulus
447.717	n/a	S  3	response
451.519	n/a	S  5	stimulus
452.093	n/a	S  1	response
454.369	n/a	S  4	stimulus
455.005	n/a	S  1	response
457.535	n/a	S  5	stimulus
458.125	n/a	S  2	response
460.218	n/a	S  4	stimulus
461.277	n/a	S  3	response
462.368	n/a	S  5	stimulus
463.013	n/a	S  3	response
464.435	n/a	S  5	stimulus
464.973	n/a	S  3	response
466.935	n/a	S  5	stimulus
467.453	n/a	S  1	response
475.185	n/a	S  4	stimulus
476.285	n/a	S  1	response
477.501	n/a	S  4	stimulus
478.037	n/a	S  1	response
479.868	n/a	S  4	stimulus
480.813	n/a	S  2	response
482.635	n/a	S  4	stimulus
483.805	n/a	S  3	response
485.568	n/a	S  5	stimulus
486.197	n/a	S  2	response
487.684	n/a	S  5	stimulus
488.437	n/a	S  3	response
489.868	n/a	S  5	stimulus
490.445	n/a	S  1	response
495.068	n/a	S  5	stimulus
495.757	n/a	S  2	response
497.234	n/a	S  4	stimulus
498.141	n/a	S  3	response
501.951	n/a	S  4	stimulus
502.685	n/a	S  1	response
504.067	n/a	S  4	stimulus
