onset	duration	event_type	trial_type
0	n/a	start_pulse	stimulus
0.0179	1.0175	S  4	stimulus
1.315	n/a	S  1	response
2.4532	1.0175	S  4	stimulus
3.4599	n/a	S  2	response
4.8385	1.0175	S  4	stimulus
5.6786	n/a	S  1	response
8.1412	1.0175	S  5	stimulus
8.8673	n/a	S  2	response
11.1937	1.0175	S  5	stimulus
11.8335	n/a	S  1	response
13.262	1.0175	S  5	stimulus
13.7847	n/a	S  3	response
15.6306	1.0175	S  5	stimulus
16.2834	n/a	S  2	response
17.9659	1.0175	S  5	stimulus
18.5771	n/a	S  3	response
22.5696	1.0175	S  4	stimulus
23.6007	n/a	S  3	response
25.0717	1.0175	S  4	stimulus
25.8031	n/a	S  1	response
27.2735	1.0175	S  5	stimulus
27.9656	n/a	S  2	response
30.1091	1.0175	S  5	stimulus
30.9105	n/a	S  3	response
32.8947	1.0175	S  4	stimulus
34.4441	n/a	S  3	response
35.3634	1.0175	S  4	stimulus
36.6266	n/a	S  3	response
38.4326	1.0175	S  4	stimulus
39.2153	n/a	S  1	response
40.8512	1.0175	S  4	stimulus
41.6214	n/a	S  1	response
42.9863	1.0175	S  4	stimulus
44.5576	n/a	S  2	response
45.922	1.0175	S  4	stimulus
46.7126	n/a	S  2	response
48.2904	1.0177	S  4	stimulus
49.2638	n/a	S  3	response
53.9786	1.0175	S  5	stimulus
54.6549	n/a	S  3	response
56.1804	1.0175	S  5	stimulus
56.976	n/a	S  2	response
59.1662	1.0175	S  5	stimulus
60.4435	n/a	S  1	response
61.4347	1.0175	S  5	stimulus
62.4472	n/a	S  3	response
63.82	1.0175	S  5	stimulus
64.7159	n/a	S  1	response
66.222	1.0175	S  5	stimulus
67.0184	n/a	S  2	response
68.4905	1.0175	S  5	stimulus
69.2136	n/a	S  1	response
71.1426	1.0175	S  5	stimulus
72.0932	n/a	S  3	response
73.3611	1.0175	S  5	stimulus
74.1681	n/a	S  1	response
78.7322	1.0175	S  4	stimulus
79.5742	n/a	S  2	response
81.2009	1.0175	S  4	stimulus
82.1404	n/a	S  1	response
83.5027	1.0175	S  4	stimulus
84.3729	n/a	S  1	response
85.6879	1.0175	S  4	stimulus
86.8666	n/a	S  3	response
87.7229	1.0175	S  4	stimulus
88.7615	n/a	S  2	response
89.7745	1.0175	S  4	stimulus
90.6265	n/a	S  1	response
91.8429	1.0175	S  4	stimulus
92.9314	n/a	S  3	response
93.978	1.0175	S  4	stimulus
94.7739	n/a	S  3	response
96.1798	1.0175	S  4	stimulus
97.225	n/a	S  2	response
98.9987	1.0175	S  5	stimulus
99.685	n/a	S  2	response
101.384	1.0175	S  5	stimulus
102.0237	n/a	S  1	response
103.5691	1.0175	S  5	stimulus
104.2036	n/a	S  2	response
105.6041	1.0175	S  5	stimulus
106.2599	n/a	S  1	response
108.0061	n/a	S 10	stimulus
118.0143	1.0175	S  5	stimulus
118.9458	n/a	S  3	response
122.9349	1.0175	S  4	stimulus
123.8744	n/a	S  3	response
125.1368	1.0175	S  4	stimulus
125.8768	n/a	S  1	response
127.9891	1.0175	S  4	stimulus
129.0755	n/a	S  2	response
130.1742	1.0175	S  4	stimulus
130.9217	n/a	S  2	response
132.8097	1.0175	S  4	stimulus
133.6466	n/a	S  1	response
135.4618	1.0175	S  4	stimulus
136.1766	n/a	S  1	response
138.2641	1.0175	S  4	stimulus
139.334	n/a	S  2	response
145.5534	1.0175	S  5	stimulus
146.2538	n/a	S  1	response
148.3057	1.0175	S  5	stimulus
149.2488	n/a	S  3	response
150.3574	1.0175	S  5	stimulus
151.08	n/a	S  2	response
152.9094	1.0175	S  5	stimulus
153.6236	n/a	S  2	response
156.8627	1.0175	S  4	stimulus
157.7535	n/a	S  2	response
159.1979	1.0175	S  4	stimulus
160.226	n/a	S  3	response
161.4331	1.0175	S  4	stimulus
162.7584	n/a	S  2	response
166.704	1.0175	S  5	stimulus
167.5895	n/a	S  3	response
170.1068	1.0175	S  4	stimulus
171.3994	n/a	S  3	response
175.6947	1.0175	S  5	stimulus
176.4168	n/a	S  2	response
178.08	1.0175	S  5	stimulus
178.8156	n/a	S  1	response
180.3151	1.0175	S  5	stimulus
181.1054	n/a	S  3	response
183.1174	1.0175	S  5	stimulus
183.7929	n/a	S  1	response
185.2025	1.0175	S  4	stimulus
186.3903	n/a	S  1	response
187.7212	1.0175	S  4	stimulus
188.7765	n/a	S  2	response
189.8896	1.0175	S  4	stimulus
190.5564	n/a	S  2	response
191.958	1.0175	S  4	stimulus
193.1589	n/a	S  3	response
199.4808	1.0175	S  5	stimulus
200.3162	n/a	S  3	response
201.8494	1.0175	S  5	stimulus
202.4937	n/a	S  1	response
204.1346	1.0175	S  5	stimulus
204.9548	n/a	S  3	response
206.4198	1.0175	S  5	stimulus
207.1372	n/a	S  2	response
208.5382	1.0175	S  5	stimulus
209.2522	n/a	S  1	response
211.8242	1.0175	S  5	stimulus
212.4146	n/a	S  2	response
214.3429	1.0175	S  4	stimulus
215.4546	n/a	S  3	response
217.4288	1.0175	S  4	stimulus
218.5332	n/a	S  2	response
222.2327	1.0175	S  5	stimulus
222.9681	n/a	S  2	response
224.2844	1.0175	S  5	stimulus
225.0268	n/a	S  3	response
226.9199	1.0175	S  5	stimulus
227.5018	n/a	S  1	response
229.5887	1.0175	S  4	stimulus
230.3829	n/a	S  1	response
234.3426	1.0175	S  5	stimulus
235.0753	n/a	S  2	response
237.0949	1.0175	S  5	stimulus
237.6965	n/a	S  1	response
239.4801	1.0175	S  5	stimulus
240.1777	n/a	S  3	response
241.8821	1.0175	S  4	stimulus
242.5489	n/a	S  1	response
243.9171	1.0175	S  4	stimulus
245.8125	n/a	S  3	response
246.1523	n/a	S 10	stimulus
