onset	duration	event_type	trial_type
0	n/a	start_pulse	stimulus
0.004	3.0191	S  3	stimulus
3.0231	2.0183	S 11	stimulus
5.0414	1.8181	S 12	stimulus
6.6326	n/a	S  1	response
8.4775	1.8182	S 12	stimulus
9.4412	n/a	S  1	response
11.7135	1.8182	S 12	stimulus
12.6949	n/a	S  2	response
16.0671	3.0191	S  4	stimulus
19.0862	2.0183	S 11	stimulus
21.1045	1.8181	S 12	stimulus
22.1847	n/a	S  1	response
23.9402	1.8182	S 12	stimulus
24.9433	n/a	S  2	response
27.5765	1.8182	S 12	stimulus
29.4257	n/a	S  1	response
31.6298	3.0191	S  4	stimulus
34.6489	2.0183	S 11	stimulus
36.6672	1.8182	S 12	stimulus
37.6668	n/a	S  1	response
40.3035	1.8182	S 12	stimulus
41.1667	n/a	S  1	response
43.3394	1.8182	S 12	stimulus
44.4378	n/a	S  2	response
46.8923	3.0191	S  3	stimulus
49.9114	2.0183	S 11	stimulus
51.9297	1.8181	S 12	stimulus
52.9438	n/a	S  1	response
55.566	1.8182	S 12	stimulus
57.395	n/a	S  2	response
59.0022	1.8182	S 12	stimulus
59.8624	n/a	S  1	response
63.0555	3.0191	S  3	stimulus
66.0746	2.0183	S 11	stimulus
68.0929	1.8181	S 12	stimulus
69.231	n/a	S  1	response
71.3289	1.8182	S 12	stimulus
72.4159	n/a	S  1	response
74.9652	1.8181	S 12	stimulus
75.9445	n/a	S  1	response
79.0185	3.0191	S  4	stimulus
82.0376	2.0183	S 11	stimulus
84.0559	1.8182	S 12	stimulus
85.3718	n/a	S  2	response
86.6914	1.8182	S 12	stimulus
88.1517	n/a	S  2	response
89.3269	1.8181	S 12	stimulus
91.3816	n/a	S  2	response
93.1801	3.0191	S  3	stimulus
96.1992	2.0183	S 11	stimulus
98.2175	1.8182	S 12	stimulus
99.3652	n/a	S  2	response
101.6703	1.8181	S 12	stimulus
102.5538	n/a	S  1	response
105.1065	1.8182	S 12	stimulus
105.9613	n/a	S  1	response
108.9596	3.0025	S  4	stimulus
111.9788	2.0183	S 11	stimulus
113.9971	1.8182	S 12	stimulus
115.416	n/a	S  1	response
117.0329	1.8181	S 12	stimulus
118.7735	n/a	S  1	response
120.2689	1.8182	S 12	stimulus
121.2359	n/a	S  2	response
124.122	3.0191	S  3	stimulus
127.1411	2.0183	S 11	stimulus
129.1594	1.8182	S 12	stimulus
130.1981	n/a	S  1	response
132.5956	1.8015	S 12	stimulus
133.5456	n/a	S  1	response
135.6147	1.8182	S 12	stimulus
136.4267	n/a	S  1	response
139.8682	3.0191	S  3	stimulus
142.8873	2.0183	S 11	stimulus
144.9056	1.8182	S 12	stimulus
146.054	n/a	S  2	response
148.5419	1.8182	S 12	stimulus
149.6126	n/a	S  2	response
151.9781	1.8182	S 12	stimulus
153.3726	n/a	S  2	response
155.9313	3.0191	S  4	stimulus
158.9504	2.0183	S 11	stimulus
160.9688	1.8182	S 12	stimulus
162.2711	n/a	S  1	response
164.6051	1.8182	S 12	stimulus
165.996	n/a	S  2	response
167.6409	1.8182	S 12	stimulus
168.7472	n/a	S  2	response
170.9936	3.0191	S  3	stimulus
174.0128	2.0183	S 11	stimulus
176.0311	1.8182	S 12	stimulus
177.5507	n/a	S  2	response
179.0669	1.8182	S 12	stimulus
179.9281	n/a	S  2	response
182.1027	1.8182	S 12	stimulus
183.373	n/a	S  2	response
185.5555	10.0082	S 10	stimulus
195.5637	3.0191	S  4	stimulus
198.5828	2.0183	S 11	stimulus
200.6011	1.8181	S 12	stimulus
201.8801	n/a	S  2	response
204.0373	1.8182	S 12	stimulus
204.87	n/a	S  2	response
207.4734	1.8182	S 12	stimulus
209.0599	n/a	S  2	response
211.3266	3.0191	S  3	stimulus
214.3457	2.0183	S 11	stimulus
216.364	1.8181	S 12	stimulus
217.3497	n/a	S  2	response
219.1997	1.8182	S 12	stimulus
220.1496	n/a	S  1	response
222.6358	1.8182	S 12	stimulus
223.487	n/a	S  2	response
226.2888	3.0191	S  4	stimulus
229.3079	2.0183	S 11	stimulus
231.3262	1.8182	S 12	stimulus
232.4393	n/a	S  1	response
234.5622	1.8182	S 12	stimulus
235.8805	n/a	S  2	response
237.1977	1.8182	S 12	stimulus
238.1304	n/a	S  1	response
241.1509	3.0025	S  4	stimulus
244.1701	2.0183	S 11	stimulus
246.1884	1.8182	S 12	stimulus
247.2064	n/a	S  1	response
249.8247	1.8182	S 12	stimulus
250.5401	n/a	S  1	response
252.4602	1.8182	S 12	stimulus
253.8863	n/a	S  1	response
256.2132	3.0191	S  3	stimulus
259.2324	2.0183	S 11	stimulus
261.2507	1.8182	S 12	stimulus
262.186	n/a	S  1	response
264.887	1.8182	S 12	stimulus
265.6485	n/a	S  1	response
267.7226	1.8182	S 12	stimulus
268.9146	n/a	S  2	response
271.6759	3.0191	S  4	stimulus
274.695	2.0183	S 11	stimulus
276.7133	1.8182	S 12	stimulus
278.4281	n/a	S  2	response
279.3488	1.8182	S 12	stimulus
280.4006	n/a	S  2	response
282.9851	1.8182	S 12	stimulus
283.9355	n/a	S  2	response
286.1377	3.0191	S  4	stimulus
289.1568	2.0183	S 11	stimulus
291.1751	1.8181	S 12	stimulus
292.3266	n/a	S  1	response
294.8114	1.8181	S 12	stimulus
295.6976	n/a	S  2	response
297.8472	1.8181	S 12	stimulus
298.7702	n/a	S  1	response
301.3001	3.0191	S  4	stimulus
304.3192	2.0183	S 11	stimulus
306.3375	1.8182	S 12	stimulus
307.5437	n/a	S  2	response
309.5735	1.8182	S 12	stimulus
310.7136	n/a	S  1	response
312.4091	1.8182	S 12	stimulus
313.2673	n/a	S  2	response
316.4624	3.0191	S  4	stimulus
319.4816	2.0183	S 11	stimulus
321.4999	1.8182	S 12	stimulus
322.6008	n/a	S  1	response
324.3355	1.8182	S 12	stimulus
325.6732	n/a	S  2	response
327.5715	1.8182	S 12	stimulus
328.7306	n/a	S  2	response
331.3246	3.0191	S  3	stimulus
334.3437	2.0183	S 11	stimulus
336.362	1.8181	S 12	stimulus
337.3892	n/a	S  2	response
339.7982	1.8182	S 12	stimulus
340.6091	n/a	S  1	response
342.4503	1.8015	S 12	stimulus
343.6853	n/a	S  2	response
345.6029	3.0191	S  3	stimulus
348.622	2.0183	S 11	stimulus
350.6404	1.8182	S 12	stimulus
351.6513	n/a	S  1	response
353.893	1.8182	S 12	stimulus
354.6912	n/a	S  2	response
356.5285	1.8181	S 12	stimulus
357.9949	n/a	S  1	response
361.0822	3.0191	S  3	stimulus
364.1014	2.0183	S 11	stimulus
366.1197	1.8181	S 12	stimulus
367.8534	n/a	S  2	response
368.9553	1.8182	S 12	stimulus
369.7933	n/a	S  2	response
371.5908	1.8182	S 12	stimulus
372.327	n/a	S  1	response
375.1437	10.0082	S 10	stimulus
