onset	duration	stim_file
6.81	1	voice_22_ramp10_FILT.wav
18.83	1	speech_24_ramp10_FILT.wav
26.83	1	tools_19_ramp10_FILT.wav
32.84	1	speech_21_ramp10_FILT.wav
40.85	1	music_20_ramp10_FILT.wav
44.86	1	voice_23_ramp10_FILT.wav
50.86	1	nature_23_ramp10_FILT.wav
58.87	1	music_19_ramp10_FILT.wav
66.87	1	tools_21_ramp10_FILT.wav
70.89	1	speech_20_ramp10_FILT.wav
76.89	1	animal_20_ramp10_FILT.wav
84.9	1	tools_24_ramp10_FILT.wav
92.91	1	music_21_ramp10_FILT.wav
96.92	1	tools_20_ramp10_FILT.wav
100.92	1	music_24_ramp10_FILT.wav
104.93	1	music_24_ramp10_FILT.wav
114.94	1	voice_21_ramp10_FILT.wav
120.94	1	animal_23_ramp10_FILT.wav
128.95	1	voice_24_ramp10_FILT.wav
134.96	1	animal_24_ramp10_FILT.wav
142.96	1	nature_21_ramp10_FILT.wav
146.98	1	tools_22_ramp10_FILT.wav
156.99	1	speech_23_ramp10_FILT.wav
165	1	speech_19_ramp10_FILT.wav
171	1	voice_20_ramp10_FILT.wav
179.01	1	music_22_ramp10_FILT.wav
183.01	1	voice_19_ramp10_FILT.wav
187.02	1	voice_19_ramp10_FILT.wav
193.03	1	nature_24_ramp10_FILT.wav
201.03	1	nature_19_ramp10_FILT.wav
207.05	1	nature_22_ramp10_FILT.wav
211.04	1	music_23_ramp10_FILT.wav
219.06	1	nature_20_ramp10_FILT.wav
227.07	1	animal_21_ramp10_FILT.wav
233.07	1	tools_23_ramp10_FILT.wav
237.08	1	speech_22_ramp10_FILT.wav
241.08	1	animal_19_ramp10_FILT.wav
249.09	1	animal_22_ramp10_FILT.wav
