onset	duration	eventnumber	sequencenumber	condition	streamnumber	stimnumber	objectstimnumber	letterstimnumber	objecttarget	lettertarget	is2back	objectstim	letterstim	response	rt	correct	time_stimon	time_stimoff
13.128	0.2	0	0	1	9	0	1	12	0	0	0	stim002_stimuli_original_animals_birds_2.png	T	0	0	0	59.4045118486683	59.6045113122964
13.528	0.2	1	0	1	9	1	8	7	0	0	0	stim009_stimuli_original_vehicles_boats_1.png	J	0	0	0	59.8045215035381	60.005365280871
13.928	0.2	2	0	1	9	2	5	5	0	0	0	stim006_stimuli_original_animals_fish_2.png	F	0	0	0	60.2045616346586	60.4045535401674
14.328	0.2	3	0	1	9	3	14	14	0	0	0	stim015_stimuli_original_vehicles_planes_3.png	V	0	0	0	60.6045739714173	60.8045758731605
14.728	0.2	4	0	1	9	4	4	6	1	0	0	stim005_stimuli_original_animals_fish_1.png	G	0	0	0	61.0045611957903	61.2045616346586
15.128	0.2	5	0	1	9	5	11	13	0	0	0	stim012_stimuli_original_vehicles_boats_4.png	U	0	0	0	61.4045759706642	61.6045976209862
15.528	0.2	6	0	1	9	6	4	15	1	1	0	stim005_stimuli_original_animals_fish_1.png	Y	0	0	0	61.804607812257	62.0046258054208
15.928	0.2	7	0	1	9	7	2	4	0	0	0	stim003_stimuli_original_animals_birds_3.png	E	0	0	0	62.2046225871309	62.4046261955227
16.328	0.2	8	0	1	9	8	3	15	0	1	1	stim004_stimuli_original_animals_birds_4.png	Y	0	0	0	62.6046295600827	62.8046307303885
16.728	0.2	9	0	1	9	9	13	3	0	0	0	stim014_stimuli_original_vehicles_planes_2.png	D	0	0	0	63.0046392149525	63.2046452614595
17.128	0.2	10	0	1	9	10	7	1	0	0	0	stim008_stimuli_original_animals_fish_4.png	B	NaN	63.3974859784939	1	63.4046556965041	63.6046585734584
17.528	0.2	11	0	1	9	11	9	15	0	0	0	stim010_stimuli_original_vehicles_boats_2.png	Y	0	0	0	63.8046692523349	64.0046638397616
17.928	0.2	12	0	1	9	12	10	9	0	0	0	stim011_stimuli_original_vehicles_boats_3.png	L	0	0	0	64.2046728119603	64.4046800775104
18.328	0.2	13	0	1	9	13	0	0	0	0	0	stim001_stimuli_original_animals_birds_1.png	A	0	0	0	64.6046849049453	64.8046843685443
18.728	0.2	14	0	1	9	14	15	11	0	0	0	stim016_stimuli_original_vehicles_planes_4.png	R	0	0	0	65.0047001674247	65.2047062139318
19.128	0.2	15	0	1	9	15	4	8	0	0	0	stim005_stimuli_original_animals_fish_1.png	K	0	0	0	65.4047129918472	65.6047017278324
19.528	0.2	16	0	1	9	16	6	10	0	0	0	stim007_stimuli_original_animals_fish_3.png	Q	0	0	0	65.8047224029142	66.0046923655318
19.928	0.2	17	0	1	9	17	12	2	0	0	0	stim013_stimuli_original_vehicles_planes_1.png	C	0	0	0	66.2047379092255	66.4047371290217
20.328	0.2	18	0	1	9	18	2	12	0	0	0	stim003_stimuli_original_animals_birds_3.png	T	0	0	0	66.6047280592902	66.8047360562487
20.728	0.2	19	0	1	9	19	10	6	0	0	0	stim011_stimuli_original_vehicles_boats_3.png	G	0	0	0	67.0047574627679	67.2047654597263
21.128	0.2	20	0	1	9	20	8	4	0	0	0	stim009_stimuli_original_vehicles_boats_1.png	E	0	0	0	67.4047676052724	67.6047704822267
21.528	0.2	21	0	1	9	21	11	15	0	0	0	stim012_stimuli_original_vehicles_boats_4.png	Y	0	0	0	67.804789206828	68.0047850132978
21.928	0.2	22	0	1	9	22	0	0	0	0	0	stim001_stimuli_original_animals_birds_1.png	A	0	0	0	68.2047925226216	68.4047795519582
22.328	0.2	23	0	1	9	23	9	10	0	0	0	stim010_stimuli_original_vehicles_boats_2.png	Q	0	0	0	68.6047992517997	68.8047884753905
22.728	0.2	24	0	1	9	24	15	9	0	0	0	stim016_stimuli_original_vehicles_planes_4.png	L	0	0	0	69.0048137828708	69.2048195855459
23.128	0.2	25	0	1	9	25	1	7	0	0	0	stim002_stimuli_original_animals_birds_2.png	J	0	0	0	69.4048090529395	69.6048129051342
23.528	0.2	26	0	1	9	26	3	13	0	0	0	stim004_stimuli_original_animals_birds_4.png	U	0	0	0	69.8048162697232	70.004808175232
23.928	0.2	27	0	1	9	27	15	3	1	0	0	stim016_stimuli_original_vehicles_planes_4.png	D	0	0	0	70.2048590827326	70.4048300205905
