onset	duration	sample	value
17.9257812500	n/a	4589	2220001
20.9843750000	n/a	5372	2110000
21.3242187500	n/a	5459	2311111
21.3242187500	n/a	5459	2210001
23.7070312500	n/a	6069	4310000
23.7070312500	n/a	6069	4100001
24.7070312500	n/a	6325	4301000
25.1054687500	n/a	6427	4300100
25.7070312500	n/a	6581	4300010
26.2070312500	n/a	6709	4320000
26.2070312500	n/a	6709	4131112
27.0468750000	n/a	6924	2210002
30.3281250000	n/a	7764	4210001
32.4179687500	n/a	8299	1110002
32.7851562500	n/a	8393	1110001
39.9882812500	n/a	10237	2120000
47.0781250000	n/a	12052	2220002
58.3984375000	n/a	14950	1110002
58.4570312500	n/a	14965	4210002
58.4765625000	n/a	14970	1110001
63.1367187500	n/a	16163	2110000
66.5195312500	n/a	17029	2314321
66.5195312500	n/a	17029	2210001
66.5195312500	n/a	17029	2210001
66.5195312500	n/a	17029	2210001
67.3281250000	n/a	17236	2210002
67.5468750000	n/a	17292	4310000
67.5468750000	n/a	17292	4100001
67.6093750000	n/a	17308	2210001
67.6093750000	n/a	17308	2210002
67.8593750000	n/a	17372	2210001
68.3906250000	n/a	17508	2210002
68.6679687500	n/a	17579	2210001
68.6679687500	n/a	17579	2210002
68.9492187500	n/a	17651	2210001
69.1093750000	n/a	17692	4304000
69.4179687500	n/a	17771	4300300
69.4882812500	n/a	17789	2210002
69.4882812500	n/a	17789	2210002
69.7695312500	n/a	17861	2210002
69.8593750000	n/a	17884	4300020
70.1679687500	n/a	17963	4320000
70.1679687500	n/a	17963	4134322
101.3593750000	n/a	25948	2110000
101.4218750000	n/a	25964	2312111
101.4218750000	n/a	25964	2210001
103.5781250000	n/a	26516	4310000
103.5781250000	n/a	26516	4100001
104.6093750000	n/a	26780	4302000
104.9218750000	n/a	26860	4300100
105.4492187500	n/a	26995	4300010
105.8906250000	n/a	27108	4320000
105.8906250000	n/a	27108	4132112
106.2695312500	n/a	27205	2210002
116.6718750000	n/a	29868	2110000
118.7031250000	n/a	30388	2314321
118.7031250000	n/a	30388	2210001
118.9804687500	n/a	30459	2210001
118.9804687500	n/a	30459	2210001
119.2695312500	n/a	30533	2210002
119.5507812500	n/a	30605	2210001
121.0507812500	n/a	30989	4310000
121.0507812500	n/a	30989	4100001
122.8632812500	n/a	31453	4300300
125.5820312500	n/a	32149	4304000
126.0507812500	n/a	32269	2210002
126.0507812500	n/a	32269	2210002
126.3632812500	n/a	32349	2210002
126.8007812500	n/a	32461	4300010
127.2304687500	n/a	32571	4320000
127.2304687500	n/a	32571	4144312
132.7031250000	n/a	33972	2220001
152.8007812500	n/a	39117	2220002
157.1445312500	n/a	40229	2110000
157.8320312500	n/a	40405	2311221
157.8320312500	n/a	40405	2210001
158.3632812500	n/a	40541	2210001
160.3632812500	n/a	41053	4310000
160.3632812500	n/a	41053	4100001
162.4218750000	n/a	41580	4301000
163.2031250000	n/a	41780	4300400
163.5820312500	n/a	41877	4300020
163.9218750000	n/a	41964	4320000
163.9218750000	n/a	41964	4141422
163.9843750000	n/a	41980	2210002
164.2656250000	n/a	42052	2210002
177.9531250000	n/a	45556	2312321
177.9531250000	n/a	45556	2210001
177.9531250000	n/a	45556	2210001
177.9843750000	n/a	45564	2110000
180.5546875000	n/a	46222	4310000
180.5546875000	n/a	46222	4100001
180.7343750000	n/a	46268	2210001
181.6757812500	n/a	46509	4302000
