onset	duration	sample	value
0.9843750000	n/a	252	4310000
0.9843750000	n/a	252	4100001
1.9843750000	n/a	508	4300200
3.1757812500	n/a	813	4303000
3.5859375000	n/a	918	4300010
3.5859375000	n/a	918	2210002
3.5859375000	n/a	918	2210002
3.8945312500	n/a	997	4320000
3.8945312500	n/a	997	4133212
9.0429687500	n/a	2315	2230001
13.7734375000	n/a	3526	4210001
15.7929687500	n/a	4043	1110002
16.1132812500	n/a	4125	1110001
19.7929687500	n/a	5067	2120000
22.7929687500	n/a	5835	2230002
26.5312500000	n/a	6792	4210002
28.4023437500	n/a	7271	1110002
28.5117187500	n/a	7299	1110001
34.2929687500	n/a	8779	2110000
38.3945312500	n/a	9829	2312221
38.3945312500	n/a	9829	2210001
38.7031250000	n/a	9908	2210001
39.6132812500	n/a	10141	4310000
39.6132812500	n/a	10141	4100001
41.1718750000	n/a	10540	4300200
41.4218750000	n/a	10604	4302000
41.4531250000	n/a	10612	2220001
42.2031250000	n/a	10804	4300020
42.3632812500	n/a	10845	2210002
42.3632812500	n/a	10845	2210002
42.6132812500	n/a	10909	4320000
42.6132812500	n/a	10909	4132222
43.5429687500	n/a	11147	2220002
44.3906250000	n/a	11364	2220001
45.5703125000	n/a	11666	2220002
46.1406250000	n/a	11812	2220001
49.6406250000	n/a	12708	2220002
49.9218750000	n/a	12780	2220001
50.2031250000	n/a	12852	2220002
52.4531250000	n/a	13428	2220001
53.9023437500	n/a	13799	4210001
55.7812500000	n/a	14280	1110002
56.2695312500	n/a	14405	1110001
64.1015625000	n/a	16410	2220002
65.9804687500	n/a	16891	2120000
69.7500000000	n/a	17856	4210002
71.6992187500	n/a	18355	1110002
71.8203125000	n/a	18386	1110001
80.7578125000	n/a	20674	2110000
82.6015625000	n/a	21146	2311121
82.6015625000	n/a	21146	2210001
83.8203125000	n/a	21458	4310000
83.8203125000	n/a	21458	4100001
84.7617187500	n/a	21699	4300100
85.1406250000	n/a	21796	4301000
85.7617187500	n/a	21955	4300020
87.4804687500	n/a	22395	2210002
87.5703125000	n/a	22418	4320000
87.5703125000	n/a	22418	4131122
99.0078125000	n/a	25346	2110000
104.0390625000	n/a	26634	2312121
104.0390625000	n/a	26634	2210001
106.2578125000	n/a	27202	4310000
106.2578125000	n/a	27202	4100001
106.8789062500	n/a	27361	4300020
108.4765625000	n/a	27770	4300100
109.5390625000	n/a	28042	4302000
110.7890625000	n/a	28362	4320000
110.7890625000	n/a	28362	4132122
111.5976562500	n/a	28569	2210002
122.9492187500	n/a	31475	2110000
126.3789062500	n/a	32353	2311411
126.3789062500	n/a	32353	2210001
126.6679687500	n/a	32427	2210001
126.6679687500	n/a	32427	2210001
126.6679687500	n/a	32427	2210002
126.9765625000	n/a	32506	2210001
127.2890625000	n/a	32586	2210002
127.5664062500	n/a	32657	2210001
127.8789062500	n/a	32737	2210002
128.2265625000	n/a	32826	2210002
128.5390625000	n/a	32906	2210001
128.8789062500	n/a	32993	2210001
136.4765625000	n/a	34938	2210002
136.7890625000	n/a	35018	2210002
137.4453125000	n/a	35186	2210002
139.9453125000	n/a	35826	2210001
139.9453125000	n/a	35826	2210001
140.5664062500	n/a	35985	2210001
140.5664062500	n/a	35985	2210002
140.8476562500	n/a	36057	2210001
141.4765625000	n/a	36218	2210001
141.4765625000	n/a	36218	2210001
141.4765625000	n/a	36218	2210002
141.7851562500	n/a	36297	2210001
141.7851562500	n/a	36297	2210002
141.7851562500	n/a	36297	2210002
142.0664062500	n/a	36369	2210001
142.3750000000	n/a	36448	2210001
142.9765625000	n/a	36602	2210002
143.5664062500	n/a	36753	2210001
143.8476562500	n/a	36825	2210002
144.1640625000	n/a	36906	2210002
144.1640625000	n/a	36906	2210002
144.4453125000	n/a	36978	2210001
144.4453125000	n/a	36978	2210001
144.4453125000	n/a	36978	2210001
146.1640625000	n/a	37418	2210002
146.7578125000	n/a	37570	2210001
146.7851562500	n/a	37577	4310000
146.7851562500	n/a	37577	4100001
147.0351562500	n/a	37641	2210002
147.0351562500	n/a	37641	2210002
147.3164062500	n/a	37713	2210001
147.3164062500	n/a	37713	2210002
147.5976562500	n/a	37785	2210001
147.9765625000	n/a	37882	4300400
148.4140625000	n/a	37994	4304000
148.7578125000	n/a	38082	2210002
148.7578125000	n/a	38082	2210002
148.9062500000	n/a	38120	4300020
149.0351562500	n/a	38153	2210002
149.2851562500	n/a	38217	4300010
