onset	duration	sample	value
0.2187500000	n/a	56	4304000
0.4179687500	n/a	107	2210002
0.5703125000	n/a	146	4300300
0.6796875000	n/a	174	2210002
0.6796875000	n/a	174	2210002
1.2304687500	n/a	315	4300010
1.5781250000	n/a	404	4320000
1.5781250000	n/a	404	4134312
9.5234375000	n/a	2438	2220001
13.3632812500	n/a	3421	4210001
14.2460937500	n/a	3647	2120000
15.4062500000	n/a	3944	1110002
16.0468750000	n/a	4108	1110001
21.1054687500	n/a	5403	2220002
23.4179687500	n/a	5995	2110000
23.4179687500	n/a	5995	2210001
25.1796875000	n/a	6446	4210002
27.1406250000	n/a	6948	1110002
27.2578125000	n/a	6978	1110001
27.3789062500	n/a	7009	1110002
27.4492187500	n/a	7027	1110001
32.5625000000	n/a	8336	2313211
32.5625000000	n/a	8336	2210001
36.2304687500	n/a	9275	2210002
36.5429687500	n/a	9355	4310000
36.5429687500	n/a	9355	4100001
37.1406250000	n/a	9508	4303000
37.5820312500	n/a	9621	4300100
37.9921875000	n/a	9726	4300010
38.3125000000	n/a	9808	4320000
38.3125000000	n/a	9808	4143112
63.2929687500	n/a	16203	2312121
63.2929687500	n/a	16203	2210001
63.6132812500	n/a	16285	2110000
68.7031250000	n/a	17588	4310000
68.7031250000	n/a	17588	4100001
69.7539062500	n/a	17857	4300020
70.8242187500	n/a	18131	4300100
71.0429687500	n/a	18187	4302000
72.0742187500	n/a	18451	4320000
72.0742187500	n/a	18451	4132122
72.8554687500	n/a	18651	2210002
94.6953125000	n/a	24242	2110000
96.6835937500	n/a	24751	2312111
96.6835937500	n/a	24751	2210001
102.0546875000	n/a	26126	4310000
102.0546875000	n/a	26126	4100001
102.3359375000	n/a	26198	4302000
102.6562500000	n/a	26280	4300100
104.0390625000	n/a	26634	4300010
104.3671875000	n/a	26718	4320000
104.3671875000	n/a	26718	4132112
106.8671875000	n/a	27358	2210002
120.0937500000	n/a	30744	1110002
124.7031250000	n/a	31924	1110001
127.4453125000	n/a	32626	2313121
127.4453125000	n/a	32626	2210001
130.4960937500	n/a	33407	2110000
131.3945312500	n/a	33637	4310000
131.3945312500	n/a	33637	4100001
131.6757812500	n/a	33709	4303000
132.1679687500	n/a	33835	4300100
132.8671875000	n/a	34014	4300010
134.6289062500	n/a	34465	4320000
134.6289062500	n/a	34465	4143112
137.6992187500	n/a	35251	2210002
163.2265625000	n/a	41786	2311421
163.2265625000	n/a	41786	2210001
163.2265625000	n/a	41786	2210001
163.4882812500	n/a	41853	2210001
164.8085937500	n/a	42191	2110000
167.1406250000	n/a	42788	2210002
168.0078125000	n/a	43010	2210001
168.4609375000	n/a	43126	4310000
168.4609375000	n/a	43126	4100001
169.1796875000	n/a	43310	2210002
170.0390625000	n/a	43530	4300020
170.0390625000	n/a	43530	2210001
170.0390625000	n/a	43530	2210001
170.0390625000	n/a	43530	2210002
172.1796875000	n/a	44078	4300300
173.2617187500	n/a	44355	2210002
173.8437500000	n/a	44504	2210001
174.1328125000	n/a	44578	4301000
174.4296875000	n/a	44654	2210001
175.0117187500	n/a	44803	2210002
175.3125000000	n/a	44880	2210001
175.3125000000	n/a	44880	2210002
175.8945312500	n/a	45029	2210001
178.5117187500	n/a	45699	4300400
179.0937500000	n/a	45848	2210002
179.3945312500	n/a	45925	2210002
179.4648437500	n/a	45943	4320000
179.4648437500	n/a	45943	4131422
179.9453125000	n/a	46066	2210002
180.4921875000	n/a	46206	2210002
195.0976562500	n/a	49945	2313321
195.0976562500	n/a	49945	2210001
195.0976562500	n/a	49945	2210001
195.9492187500	n/a	50163	2110000
197.8007812500	n/a	50637	2210001
198.0703125000	n/a	50706	2210002
199.1484375000	n/a	50982	2210002
201.6210937500	n/a	51615	2210001
202.4414062500	n/a	51825	2210001
202.7421875000	n/a	51902	4310000
202.7421875000	n/a	51902	4100001
204.3046875000	n/a	52302	4300300
204.3242187500	n/a	52307	2210002
204.3242187500	n/a	52307	2210002
204.5742187500	n/a	52371	2210002
204.7734375000	n/a	52422	4300010
205.1015625000	n/a	52506	4303000
205.5546875000	n/a	52622	4320000
205.5546875000	n/a	52622	4143312
222.5585937500	n/a	56975	2312221
222.5585937500	n/a	56975	2210001
222.8281250000	n/a	57044	2210001
222.8281250000	n/a	57044	2210002
223.2187500000	n/a	57144	2110000
223.8593750000	n/a	57308	2210001
224.3984375000	n/a	57446	2210002
224.6484375000	n/a	57510	2210001
225.3593750000	n/a	57692	4310000
225.3593750000	n/a	57692	4100001
225.6796875000	n/a	57774	4302000
225.9492187500	n/a	57843	4300200
226.6523437500	n/a	58023	4300020
227.6289062500	n/a	58273	4320000
227.6289062500	n/a	58273	4132222
227.8515625000	n/a	58330	2210002
227.8515625000	n/a	58330	2210002
251.0390625000	n/a	64266	2311121
251.0390625000	n/a	64266	2210001
252.4179687500	n/a	64619	2110000
254.0585937500	n/a	65039	4310000
254.0585937500	n/a	65039	4100001
254.7187500000	n/a	65208	4301000
254.9414062500	n/a	65265	4300100
255.7109375000	n/a	65462	4300020
256.8398437500	n/a	65751	4320000
256.8398437500	n/a	65751	4131122
258.3437500000	n/a	66136	2210002
279.2773437500	n/a	71495	1110002
283.9804687500	n/a	72699	1110001
286.1015625000	n/a	73242	2313111
286.1015625000	n/a	73242	2210001
290.6210937500	n/a	74399	2110000
295.3046875000	n/a	75598	4310000
295.3046875000	n/a	75598	4100001
297.6835937500	n/a	76207	4300020
298.1835937500	n/a	76335	4300100
299.8281250000	n/a	76756	2210002
299.9062500000	n/a	76776	4303000
300.9375000000	n/a	77040	4320000
300.9375000000	n/a	77040	4143122
314.2421875000	n/a	80446	2311311
314.2421875000	n/a	80446	2210001
316.1406250000	n/a	80932	2210002
318.5820312500	n/a	81557	2210001
318.9726562500	n/a	81657	2110000
319.1328125000	n/a	81698	2210001
319.9335937500	n/a	81903	4310000
319.9335937500	n/a	81903	4100001
320.2148437500	n/a	81975	2210002
320.6132812500	n/a	82077	4300010
321.8359375000	n/a	82390	2210001
321.8359375000	n/a	82390	2210002
322.0937500000	n/a	82456	2210002
323.1953125000	n/a	82738	4300200
325.0351562500	n/a	83209	4301000
326.1953125000	n/a	83506	4320000
326.1953125000	n/a	83506	4141212
343.1523437500	n/a	87847	2312111
343.1523437500	n/a	87847	2210001
344.5039062500	n/a	88193	2210002
344.7734375000	n/a	88262	2210001
345.2031250000	n/a	88372	4310000
345.2031250000	n/a	88372	4100001
345.9218750000	n/a	88556	4300010
347.0937500000	n/a	88856	4300100
347.7226562500	n/a	89017	2110000
347.8945312500	n/a	89061	4302000
353.3945312500	n/a	90469	2210002
353.7031250000	n/a	90548	4303000
354.1250000000	n/a	90656	4320000
354.1250000000	n/a	90656	4143112
363.0585937500	n/a	92943	2312121
363.0585937500	n/a	92943	2210001
363.3085937500	n/a	93007	2230001
363.8476562500	n/a	93145	2210002
366.2500000000	n/a	93760	2210001
370.3632812500	n/a	94813	4310000
370.3632812500	n/a	94813	4100001
371.2500000000	n/a	95040	4300100
371.5000000000	n/a	95104	4302000
371.8203125000	n/a	95186	2110000
372.1640625000	n/a	95274	4300020
374.5312500000	n/a	95880	4320000
374.5312500000	n/a	95880	4132122
375.4335937500	n/a	96111	2210002
381.3046875000	n/a	97614	2313421
381.3046875000	n/a	97614	2210001
382.1562500000	n/a	97832	2210002
383.1445312500	n/a	98085	4210001
383.6562500000	n/a	98216	2120000
385.2382812500	n/a	98621	1110002
385.7656250000	n/a	98756	1110001
390.1875000000	n/a	99888	2230002
394.5898437500	n/a	101015	4210002
396.6601562500	n/a	101545	1110002
396.8515625000	n/a	101594	1110001
406.9960937500	n/a	104191	2210001
407.5429687500	n/a	104331	2210001
408.1132812500	n/a	104477	2210001
409.6953125000	n/a	104882	2110000
410.0273437500	n/a	104967	2210001
410.0273437500	n/a	104967	2210001
410.3046875000	n/a	105038	2210002
410.3046875000	n/a	105038	2210002
410.5976562500	n/a	105113	2210001
410.5976562500	n/a	105113	2210002
