onset	duration	sample	value
31.8847656250	n/a	32650	2121001
31.8847656250	n/a	32650	1111001
31.8847656250	n/a	32650	1211001
31.8847656250	n/a	32650	2412211
31.8847656250	n/a	32650	3110001
31.8847656250	n/a	32650	3210001
31.8847656250	n/a	32650	2812001
31.9023437500	n/a	32668	1520001
31.9023437500	n/a	32668	2724411
34.0488281250	n/a	34866	2812002
34.0673828125	n/a	34885	2562001
34.0673828125	n/a	34885	2744421
34.8251953125	n/a	35661	2744422
36.2500000000	n/a	37120	2562001
36.2500000000	n/a	37120	2744421
37.0078125000	n/a	37896	2744422
37.8642578125	n/a	38773	2310001
38.4326171875	n/a	39355	2562001
38.4326171875	n/a	39355	2744421
38.6396484375	n/a	39567	2310002
38.6396484375	n/a	39567	4111101
39.1894531250	n/a	40130	2744422
40.5693359375	n/a	41543	1320001
40.6152343750	n/a	41590	2562001
40.6152343750	n/a	41590	2744421
41.3720703125	n/a	42365	2744422
42.7978515625	n/a	43825	2562001
42.7978515625	n/a	43825	2744421
43.5546875000	n/a	44600	2744422
43.9609375000	n/a	45016	2310001
44.5742187500	n/a	45644	2310002
44.5742187500	n/a	45644	4111101
44.9794921875	n/a	46059	2562001
44.9794921875	n/a	46059	2744421
45.7373046875	n/a	46835	2744422
47.1621093750	n/a	48294	2562001
47.1621093750	n/a	48294	2744421
47.9199218750	n/a	49070	2744422
48.2812500000	n/a	49440	1520002
48.2812500000	n/a	49440	2724412
50.7431640625	n/a	51961	2310001
51.2656250000	n/a	52496	2310002
51.2656250000	n/a	52496	4111101
52.4384765625	n/a	53697	1320002
57.1464843750	n/a	58518	2310001
57.7597656250	n/a	59146	2310002
57.7597656250	n/a	59146	4111101
61.1328125000	n/a	62600	1330001
62.2421875000	n/a	63736	2572001
62.2421875000	n/a	63736	3110002
62.2421875000	n/a	63736	3210002
62.2421875000	n/a	63736	3110001
62.2421875000	n/a	63736	3221001
62.2421875000	n/a	63736	2812001
64.2890625000	n/a	65832	2310001
64.4062500000	n/a	65952	2812002
64.8125000000	n/a	66368	2310002
64.8125000000	n/a	66368	4111101
65.6513671875	n/a	67227	1520001
65.6513671875	n/a	67227	2724411
67.8154296875	n/a	69443	2562001
67.8154296875	n/a	69443	2744421
68.5732421875	n/a	70219	2744422
69.9980468750	n/a	71678	2562001
69.9980468750	n/a	71678	2744421
70.2773437500	n/a	71964	2310001
70.7558593750	n/a	72454	2744422
70.8007812500	n/a	72500	2310002
70.8007812500	n/a	72500	4111101
71.9912109375	n/a	73719	1330002
72.1806640625	n/a	73913	2562001
72.1806640625	n/a	73913	2744421
72.9384765625	n/a	74689	2744422
74.3632812500	n/a	76148	2562001
74.3632812500	n/a	76148	2744421
75.1210937500	n/a	76924	2744422
75.7246093750	n/a	77542	2310001
76.2841796875	n/a	78115	2310002
76.2841796875	n/a	78115	4111101
76.5458984375	n/a	78383	2562001
76.5458984375	n/a	78383	2744421
77.3037109375	n/a	79159	2744422
78.4394531250	n/a	80322	2572001
78.4394531250	n/a	80322	3110002
78.4394531250	n/a	80322	3221002
78.4394531250	n/a	80322	3110001
78.4394531250	n/a	80322	3222001
78.4394531250	n/a	80322	2812001
78.7285156250	n/a	80618	2562001
78.7285156250	n/a	80618	2744421
79.4863281250	n/a	81394	2744422
80.6044921875	n/a	82539	2812002
80.6855468750	n/a	82622	1320001
80.9111328125	n/a	82853	2562001
80.9111328125	n/a	82853	2744421
81.6679687500	n/a	83628	2744422
81.9843750000	n/a	83952	2320001
82.0019531250	n/a	83970	1410001
82.0019531250	n/a	83970	2714111
82.5068359375	n/a	84487	4111201
82.5068359375	n/a	84487	2783031
82.5166015625	n/a	84497	2542001
82.7958984375	n/a	84783	2320002
82.7958984375	n/a	84783	4122101
83.0937500000	n/a	85088	2562001
83.0937500000	n/a	85088	2744421
83.8505859375	n/a	85863	2744422
84.4462890625	n/a	86473	2552001
84.4462890625	n/a	86473	2734121
84.9150390625	n/a	86953	1520002
84.9150390625	n/a	86953	2724412
84.9599609375	n/a	86999	1410002
84.9599609375	n/a	86999	2714112
84.9599609375	n/a	86999	2734122
85.7539062500	n/a	87812	2783032
86.6015625000	n/a	88680	1420001
86.6015625000	n/a	88680	2714211
86.8906250000	n/a	88976	1420002
86.8906250000	n/a	88976	2714212
87.7197265625	n/a	89825	2310001
88.2431640625	n/a	90361	2310002
88.2431640625	n/a	90361	4111101
89.0185546875	n/a	91155	1410001
89.0185546875	n/a	91155	2714111
91.4628906250	n/a	93658	2552001
91.4628906250	n/a	93658	2734121
92.2207031250	n/a	94434	2734122
92.5810546875	n/a	94803	2572001
92.5810546875	n/a	94803	3110002
92.5810546875	n/a	94803	3222002
92.5810546875	n/a	94803	3110001
92.5810546875	n/a	94803	3221001
92.5810546875	n/a	94803	2812001
93.6455078125	n/a	95893	2552001
93.6455078125	n/a	95893	2734121
94.2138671875	n/a	96475	1320002
94.4033203125	n/a	96669	2734122
94.7187500000	n/a	96992	2320001
94.7460937500	n/a	97020	2812002
95.3134765625	n/a	97601	4111201
95.3134765625	n/a	97601	2783031
95.3232421875	n/a	97611	2542001
95.7470703125	n/a	98045	2320002
95.7470703125	n/a	98045	4122101
95.7832031250	n/a	98082	1410002
95.7832031250	n/a	98082	2714112
98.5605468750	n/a	100926	2783032
100.9599609375	n/a	103383	1410001
100.9599609375	n/a	103383	2714111
101.5908203125	n/a	104029	2310001
102.3847656250	n/a	104842	2310002
