onset	duration	Tears	PleasantOther	Predictable	Stop	Anxiety	trial
30	6	0.0	0.0	7.5	15.5	10.0	clip_1
50	7	0.0	83.5	69.5	21.5	0.0	clip_2
71	5	0.0	80.0	27.0	11.0	0.5	clip_3
98	10	0.0	100.0	48.0	0.0	0.0	clip_4
128	5	0.0	92.5	68.0	0.0	0.0	clip_5
152	7	0.0	0.0	22.0	97.0	87.5	clip_6
195	8	54.5	0.0	56.5	100.0	91.5	clip_7
221	9	61.5	0.0	12.0	100.0	85.5	clip_8
255	5	0.0	23.0	52.5	57.0	26.0	clip_9
298	10	2.0	50.5	37.0	18.5	8.5	clip_10
336	4	0.0	73.5	35.5	22.0	13.0	clip_11
350	9	0.0	67.0	27.0	15.0	8.0	clip_12
376	9	20.5	10.0	18.0	94.5	86.0	clip_13
428	10	0.0	89.5	94.0	62.5	61.0	clip_14
455	4	12.0	68.5	82.5	32.5	23.0	clip_15
484	8	0.0	82.0	85.5	32.0	70.0	clip_16
510	10	8.5	77.0	90.0	50.5	39.5	clip_17
532	8	1.5	99.0	100.0	39.0	39.0	clip_18
553	7	10.0	0.0	7.0	7.0	68.0	clip_19
582	8	0.0	77.0	71.0	34.5	34.5	clip_20
