onset	duration	Tears	PleasantOther	Predictable	Stop	Anxiety	trial
3	7	56.5	0.0	0.0	100.0	86.0	clip_1
44	7	0.0	51.5	43.5	43.5	34.0	clip_2
76	5	0.0	16.0	16.0	54.0	50.5	clip_3
95	8	0.0	25.5	21.0	35.5	35.5	clip_4
139	8	0.5	51.0	47.5	44.0	43.5	clip_5
193	9	0.0	41.0	49.0	32.5	32.5	clip_6
230	7	0.0	0.0	7.5	33.0	33.0	clip_7
270	10	15.5	0.0	0.0	84.5	84.5	clip_8
316	9	0.0	0.0	9.0	49.5	49.5	clip_9
360	8	1.0	23.0	11.5	68.5	57.0	clip_10
420	10	0.0	0.0	6.5	30.0	58.0	clip_11
466	8	0.0	50.0	50.0	44.0	21.5	clip_12
493	8	0.0	47.5	43.5	36.0	36.0	clip_13
525	9	0.0	49.5	33.0	33.0	25.0	clip_14
559	5	0.0	55.5	48.5	35.5	26.0	clip_15
576	8	0.0	18.0	3.0	15.0	57.5	clip_16
590	4	0.0	12.0	12.0	61.5	58.0	clip_17
628	8	0.0	0.0	0.0	64.5	64.5	clip_18
653	5	0.0	41.5	41.5	37.0	29.0	clip_19
670	6	0.0	0.0	0.0	50.0	52.0	clip_20
689	3	0.0	5.5	1.5	43.0	54.5	clip_21
721	6	59.0	0.0	81.5	81.5	68.0	clip_22
737	5	30.5	4.0	67.5	67.5	65.5	clip_23
766	8	62.5	0.0	93.0	93.0	68.0	clip_24
