onset	duration	trial_type	response_time	button
3	1.6	Condition_1	n/a	n/a
11	1.6	Condition_2	n/a	n/a
22	1.6	Condition_4	n/a	n/a
32	1.6	Condition_3	n/a	n/a
42	1.6	Condition_5	n/a	n/a
51	1.6	Condition_1	n/a	n/a
59	1.6	Condition_5	n/a	n/a
67	1.6	Condition_1	n/a	n/a
75	1.6	Condition_6	n/a	n/a
83	1.6	Condition_1	n/a	n/a
93	1.6	Condition_5	n/a	n/a
101	1.6	Condition_2	n/a	n/a
110	1.6	Condition_6	n/a	n/a
122	1.6	Condition_1	n/a	n/a
131	1.6	Condition_6	n/a	n/a
142	1.6	Condition_2	n/a	n/a
152	1.6	Condition_3	n/a	n/a
160	1.6	Condition_2	n/a	n/a
170	1.6	Condition_4	n/a	n/a
181	1.6	Condition_1	n/a	n/a
190	1.6	Condition_2	n/a	n/a
200	1.6	Condition_2	n/a	n/a
208	1.6	Condition_4	n/a	n/a
219	1.6	Condition_1	n/a	n/a
227	1.6	Condition_3	n/a	n/a
235	1.6	Condition_1	n/a	n/a
246	1.6	Condition_2	n/a	n/a
258	1.6	Condition_3	n/a	n/a
269	1.6	Condition_2	n/a	n/a
278	1.6	Condition_1	n/a	n/a
290	1.6	Condition_5	n/a	n/a
301	1.6	Condition_6	n/a	n/a
310	1.6	Condition_4	n/a	n/a
320	1.6	Condition_2	n/a	n/a
330	1.6	Condition_1	n/a	n/a
339	1.6	Condition_2	n/a	n/a
