onset	duration	trial_type	response_time	experimentName	correct	stim_path
0.0	26	rest	n/a	DotsSocPhys	n/a	n/a
234.092	26	rest	n/a	DotsSocPhys	n/a	n/a
468.156	26	rest	n/a	DotsSocPhys	n/a	n/a
26.014000000000003	10	physics_incorrect	11.093	DotsSocPhys	0.0	stimuli/DOTS/physics.barriers.i.6.mp4
39.025000000000006	10	physics_correct	10.598	DotsSocPhys	1.0	stimuli/DOTS/physics.barriers.c.7.mp4
52.029	10	social_correct	10.58	DotsSocPhys	1.0	stimuli/DOTS/social.nobarriers.c.10.mp4
65.032	10	social_correct	10.576	DotsSocPhys	1.0	stimuli/DOTS/social.nobarriers.c.8.mp4
78.034	10	physics_incorrect	10.82	DotsSocPhys	0.0	stimuli/DOTS/physics.nobarriers.i.5.mp4
91.04	10	physics_incorrect	10.697	DotsSocPhys	1.0	stimuli/DOTS/physics.nobarriers.i.1.mp4
104.045	10	physics_incorrect	10.725	DotsSocPhys	1.0	stimuli/DOTS/physics.barriers.i.4.mp4
117.056	10	physics_correct	11.047	DotsSocPhys	1.0	stimuli/DOTS/physics.nobarriers.c.8.mp4
130.058	10	social_incorrect	11.219	DotsSocPhys	1.0	stimuli/DOTS/social.nobarriers.i.5.mp4
143.062	10	social_incorrect	10.766	DotsSocPhys	1.0	stimuli/DOTS/social.nobarriers.i.7.mp4
156.06400000000002	10	social_incorrect	10.776	DotsSocPhys	1.0	stimuli/DOTS/social.barriers.i.8.mp4
169.07299999999998	10	social_correct	10.855	DotsSocPhys	1.0	stimuli/DOTS/social.barriers.c.7.mp4
182.075	10	physics_correct	10.609	DotsSocPhys	1.0	stimuli/DOTS/physics.barriers.c.9.mp4
195.078	10	physics_incorrect	10.913	DotsSocPhys	1.0	stimuli/DOTS/physics.nobarriers.i.7.mp4
208.081	10	social_incorrect	10.742	DotsSocPhys	1.0	stimuli/DOTS/social.barriers.i.4.mp4
221.087	10	social_correct	10.9	DotsSocPhys	1.0	stimuli/DOTS/social.nobarriers.c.6.mp4
260.094	10	social_incorrect	10.758	DotsSocPhys	1.0	stimuli/DOTS/social.barriers.i.6.mp4
273.096	10	social_correct	10.745	DotsSocPhys	1.0	stimuli/DOTS/social.barriers.c.9.mp4
286.101	10	physics_correct	10.729	DotsSocPhys	1.0	stimuli/DOTS/physics.nobarriers.c.6.mp4
299.103	10	physics_correct	10.595	DotsSocPhys	1.0	stimuli/DOTS/physics.barriers.c.1.mp4
312.106	10	social_incorrect	10.857	DotsSocPhys	1.0	stimuli/DOTS/social.barriers.i.2.mp4
325.108	10	social_correct	10.745	DotsSocPhys	1.0	stimuli/DOTS/social.nobarriers.c.2.mp4
338.111	10	social_incorrect	10.876	DotsSocPhys	1.0	stimuli/DOTS/social.nobarriers.i.1.mp4
351.116	10	social_correct	10.623	DotsSocPhys	1.0	stimuli/DOTS/social.barriers.c.1.mp4
364.12	10	physics_incorrect	10.859	DotsSocPhys	0.0	stimuli/DOTS/physics.nobarriers.i.3.mp4
377.124	10	physics_correct	10.718	DotsSocPhys	1.0	stimuli/DOTS/physics.barriers.c.5.mp4
390.131	10	physics_incorrect	10.951	DotsSocPhys	1.0	stimuli/DOTS/physics.barriers.i.8.mp4
403.136	10	physics_incorrect	10.911	DotsSocPhys	0.0	stimuli/DOTS/physics.barriers.i.2.mp4
416.138	10	social_incorrect	11.181	DotsSocPhys	1.0	stimuli/DOTS/social.nobarriers.i.3.mp4
429.144	10	social_correct	10.674	DotsSocPhys	1.0	stimuli/DOTS/social.barriers.c.5.mp4
442.149	10	physics_correct	10.794	DotsSocPhys	1.0	stimuli/DOTS/physics.nobarriers.c.10.mp4
455.152	10	physics_correct	10.617	DotsSocPhys	1.0	stimuli/DOTS/physics.nobarriers.c.2.mp4
