onset	duration	trial_type
31.2449	1.0150999999999968	stim 1s
54.6912	1.0	stim 1s
79.6722	11.999099999999999	stim 12s
122.6183	0.9998999999999967	stim 1s
145.2662	23.997900000000016	stim 24s
209.2779	24.013600000000025	stim 24s
276.4542	3.9996999999999616	stim 4s
306.9014	3.9996999999999616	stim 4s
337.3329	2.0156000000000063	stim 2s
362.3139	4.015500000000031	stim 4s
392.7936	3.9995999999999867	stim 4s
424.024	1.999900000000025	stim 2s
451.3549	1.9997999999999934	stim 2s
480.2522	23.99789999999996	stim 24s
548.9626	0.9999000000000251	stim 1s
571.5781	12.014700000000062	stim 12s
616.1064	11.999000000000024	stim 12s
661.4023	11.998900000000049	stim 12s
706.6815	1.999900000000025	stim 2s
731.6792	23.997799999999984	stim 24s
