onset	duration	trial_type	value	sample
0.0	0.001	New Segment/	1	0
21.26	0.001	Stimulus/S100	18	21260
21.262	0.001	Stimulus/S101	19	21262
21.544	0.001	Stimulus/S222	21	21544
21.546	0.001	Stimulus/S  3	4	21546
22.264	0.001	Stimulus/S101	19	22264
22.598	0.001	Stimulus/S222	21	22598
22.6	0.001	Stimulus/S  8	9	22600
23.267	0.001	Stimulus/S101	19	23267
23.575	0.001	Stimulus/S222	21	23575
23.577	0.001	Stimulus/S 15	16	23577
24.269	0.001	Stimulus/S101	19	24269
24.577	0.001	Stimulus/S222	21	24577
24.58	0.001	Stimulus/S  6	7	24580
25.272	0.001	Stimulus/S101	19	25272
25.547	0.001	Stimulus/S222	21	25547
25.549	0.001	Stimulus/S  1	2	25549
26.274	0.001	Stimulus/S101	19	26274
26.528	0.001	Stimulus/S222	21	26528
26.53	0.001	Stimulus/S200	20	26530
27.158	0.001	Stimulus/S253	22	27158
27.877	0.001	Stimulus/S101	19	27877
28.209	0.001	Stimulus/S222	21	28209
28.211	0.001	Stimulus/S 14	15	28211
28.88	0.001	Stimulus/S101	19	28880
29.142	0.001	Stimulus/S222	21	29142
29.145	0.001	Stimulus/S  2	3	29145
29.883	0.001	Stimulus/S101	19	29883
30.145	0.001	Stimulus/S222	21	30145
30.147	0.001	Stimulus/S 10	11	30147
30.885	0.001	Stimulus/S101	19	30885
31.182	0.001	Stimulus/S222	21	31182
31.185	0.001	Stimulus/S 16	17	31185
31.888	0.001	Stimulus/S101	19	31888
32.194	0.001	Stimulus/S222	21	32194
32.196	0.001	Stimulus/S  7	8	32196
32.891	0.001	Stimulus/S101	19	32891
33.153	0.001	Stimulus/S222	21	33153
33.155	0.001	Stimulus/S200	20	33155
33.758	0.001	Stimulus/S253	22	33758
34.494	0.001	Stimulus/S101	19	34494
34.766	0.001	Stimulus/S222	21	34766
34.768	0.001	Stimulus/S 11	12	34768
35.496	0.001	Stimulus/S101	19	35496
35.774	0.001	Stimulus/S222	21	35774
35.776	0.001	Stimulus/S 12	13	35776
36.499	0.001	Stimulus/S101	19	36499
36.763	0.001	Stimulus/S222	21	36763
36.765	0.001	Stimulus/S  5	6	36765
37.501	0.001	Stimulus/S101	19	37501
37.792	0.001	Stimulus/S222	21	37792
37.794	0.001	Stimulus/S 13	14	37794
38.504	0.001	Stimulus/S101	19	38504
38.783	0.001	Stimulus/S222	21	38783
38.785	0.001	Stimulus/S  9	10	38785
39.507	0.001	Stimulus/S101	19	39507
39.781	0.001	Stimulus/S222	21	39781
39.783	0.001	Stimulus/S  4	5	39783
40.509	0.001	Stimulus/S101	19	40509
40.848	0.001	Stimulus/S222	21	40848
40.85	0.001	Stimulus/S200	20	40850
41.368	0.001	Stimulus/S253	22	41368
42.112	0.001	Stimulus/S101	19	42112
42.365	0.001	Stimulus/S222	21	42365
42.367	0.001	Stimulus/S  3	4	42367
43.115	0.001	Stimulus/S101	19	43115
43.381	0.001	Stimulus/S222	21	43381
43.384	0.001	Stimulus/S  1	2	43384
44.117	0.001	Stimulus/S101	19	44117
44.436	0.001	Stimulus/S222	21	44436
44.438	0.001	Stimulus/S 14	15	44438
45.12	0.001	Stimulus/S101	19	45120
45.423	0.001	Stimulus/S222	21	45423
45.425	0.001	Stimulus/S  8	9	45425
46.122	0.001	Stimulus/S101	19	46122
46.388	0.001	Stimulus/S222	21	46388
46.391	0.001	Stimulus/S  9	10	46391
47.125	0.001	Stimulus/S101	19	47125
47.455	0.001	Stimulus/S222	21	47455
47.458	0.001	Stimulus/S200	20	47458
48.17	0.001	Stimulus/S253	22	48170
48.728	0.001	Stimulus/S101	19	48728
48.992	0.001	Stimulus/S222	21	48992
48.995	0.001	Stimulus/S 12	13	48995
49.731	0.001	Stimulus/S101	19	49731
49.985	0.001	Stimulus/S222	21	49985
49.987	0.001	Stimulus/S 16	17	49987
50.733	0.001	Stimulus/S101	19	50733
51.026	0.001	Stimulus/S222	21	51026
51.028	0.001	Stimulus/S  7	8	51028
51.736	0.001	Stimulus/S101	19	51736
51.985	0.001	Stimulus/S222	21	51985
