onset	duration	trial_type	value	sample
0.901	0.0	EYES	5	901
17.684	0.0	CALS	2	17684
47.766	0.0	CALE	1	47766
49.999	0.0	CH04	3	49999
54.582	0.0	ROWS	7	54582
54.95	0.0	ROWE	6	54950
55.01	0.0	ROWS	7	55010
59.049	0.0	ROWE	6	59049
59.117	0.0	ROWS	7	59117
63.316	0.0	ROWE	6	63316
63.38	0.0	ROWS	7	63380
65.833	0.0	ROWE	6	65833
65.9	0.0	ROWS	7	65900
70.033	0.0	ROWE	6	70033
70.16	0.0	ROWS	7	70160
74.349	0.0	ROWE	6	74349
74.422	0.0	ROWS	7	74422
78.249	0.0	ROWE	6	78249
78.303	0.0	ROWS	7	78303
82.499	0.0	ROWE	6	82499
82.555	0.0	ROWS	7	82555
83.749	0.0	ROWE	6	83749
83.81	0.0	ROWS	7	83810
88.033	0.0	ROWE	6	88033
88.108	0.0	ROWS	7	88108
92.366	0.0	ROWE	6	92366
92.439	0.0	ROWS	7	92439
96.766	0.0	ROWE	6	96766
96.831	0.0	ROWS	7	96831
100.948	0.0	ROWE	6	100948
101.016	0.0	ROWS	7	101016
103.881	0.0	ROWE	6	103881
103.943	0.0	ROWS	7	103943
108.048	0.0	ROWE	6	108048
108.116	0.0	ROWS	7	108116
111.481	0.0	ROWE	6	111481
111.541	0.0	ROWS	7	111541
115.7	0.0	ROWE	6	115700
115.761	0.0	ROWS	7	115761
118.215	0.0	ROWE	6	118215
118.271	0.0	ROWS	7	118271
122.398	0.0	ROWE	6	122398
122.453	0.0	ROWS	7	122453
126.631	0.0	ROWE	6	126631
126.693	0.0	ROWS	7	126693
128.814	0.0	ROWE	6	128814
128.876	0.0	ROWS	7	128876
132.998	0.0	ROWE	6	132998
133.055	0.0	ROWS	7	133055
137.197	0.0	ROWE	6	137197
137.258	0.0	ROWS	7	137258
138.447	0.0	ROWE	6	138447
138.512	0.0	ROWS	7	138512
142.647	0.0	ROWE	6	142647
142.705	0.0	ROWS	7	142705
146.881	0.0	ROWE	6	146881
146.947	0.0	ROWS	7	146947
148.564	0.0	ROWE	6	148564
148.623	0.0	ROWS	7	148623
152.813	0.0	ROWE	6	152813
152.88	0.0	ROWS	7	152880
157.146	0.0	ROWE	6	157146
157.217	0.0	ROWS	7	157217
161.13	0.0	ROWE	6	161130
161.2	0.0	ROWS	7	161200
165.479	0.0	ROWE	6	165479
165.552	0.0	ROWS	7	165552
169.88	0.0	ROWE	6	169880
169.95	0.0	ROWS	7	169950
173.78	0.0	ROWE	6	173780
173.85	0.0	ROWS	7	173850
178.147	0.0	ROWE	6	178147
178.201	0.0	ROWS	7	178201
182.346	0.0	ROWE	6	182346
182.404	0.0	ROWS	7	182404
183.597	0.0	ROWE	6	183597
183.657	0.0	ROWS	7	183657
187.814	0.0	ROWE	6	187814
187.863	0.0	ROWS	7	187863
191.878	0.0	ROWE	6	191878
191.929	0.0	ROWS	7	191929
192.282	0.0	ROWE	6	192282
192.335	0.0	ROWS	7	192335
196.313	0.0	ROWE	6	196313
196.386	0.0	ROWS	7	196386
200.712	0.0	ROWE	6	200712
200.782	0.0	ROWS	7	200782
205.047	0.0	ROWE	6	205047
205.119	0.0	ROWS	7	205119
209.445	0.0	ROWE	6	209445
209.517	0.0	ROWS	7	209517
213.763	0.0	ROWE	6	213763
213.835	0.0	ROWS	7	213835
217.746	0.0	ROWE	6	217746
217.817	0.0	ROWS	7	217817
222.079	0.0	ROWE	6	222079
222.137	0.0	ROWS	7	222137
226.264	0.0	ROWE	6	226264
226.32	0.0	ROWS	7	226320
227.945	0.0	ROWE	6	227945
228.006	0.0	ROWS	7	228006
232.178	0.0	ROWE	6	232178
232.246	0.0	ROWS	7	232246
236.511	0.0	ROWE	6	236511
236.58	0.0	ROWS	7	236580
239.545	0.0	ROWE	6	239545
239.611	0.0	ROWS	7	239611
243.728	0.0	ROWE	6	243728
243.796	0.0	ROWS	7	243796
248.13	0.0	ROWE	6	248130
248.203	0.0	ROWS	7	248203
252.461	0.0	ROWE	6	252461
252.538	0.0	ROWS	7	252538
256.894	0.0	ROWE	6	256894
256.954	0.0	ROWS	7	256954
261.061	0.0	ROWE	6	261061
261.116	0.0	ROWS	7	261116
262.328	0.0	ROWE	6	262328
262.379	0.0	ROWS	7	262379
266.461	0.0	ROWE	6	266461
266.527	0.0	ROWS	7	266527
270.227	0.0	ROWE	6	270227
270.29	0.0	ROWS	7	270290
274.477	0.0	ROWE	6	274477
274.54	0.0	ROWS	7	274540
277.811	0.0	ROWE	6	277811
277.877	0.0	ROWS	7	277877
282.011	0.0	ROWE	6	282011
282.066	0.0	ROWS	7	282066
286.277	0.0	ROWE	6	286277
286.336	0.0	ROWS	7	286336
287.945	0.0	ROWE	6	287945
288.001	0.0	ROWS	7	288001
292.176	0.0	ROWE	6	292176
292.241	0.0	ROWS	7	292241
296.36	0.0	ROWE	6	296360
296.427	0.0	ROWS	7	296427
299.293	0.0	ROWE	6	299293
299.36	0.0	ROWS	7	299360
303.477	0.0	ROWE	6	303477
