onset	duration	trial_type
4.459	31.487	am_difficult_text
35.946	8.05	fixation
0	4.459	instruction_text
48.448	31.479	av_easy_image
79.927	8.068	fixation
43.996	4.452	instruction_image
92.43	31.489	am_easy_text
123.919	8.077	fixation
87.995	4.435	instruction_text
167.947	8.048	fixation
131.996	4.454	instruction_image
136.45	31.497	vm_easy_image
212.003	9.996	fixation
175.995	4.438	instruction_text
180.433	31.57	vv_difficult_text
257.985	8.011	fixation
221.999	4.445	instruction_text
226.444	31.541	vv_easy_text
301.92	8.076	fixation
265.996	4.438	instruction_text
270.434	31.486	vm_difficult_text
314.443	31.534	av_difficult_text
345.977	8.019	fixation
309.996	4.447	instruction_text
