onset	duration	trial_type
36.405	8.004	fixation
0	4.566	instruction_image
4.566	31.839	vv_easy_image
48.879	31.69	am_easy_image
80.569	8.003	fixation
44.409	4.47	instruction_image
93.013	31.769	dti
124.782	8.002	fixation
88.572	4.441	instruction_text
168.928	8.003	fixation
132.784	4.444	instruction_image
137.228	31.7	vm_easy_image
181.403	31.759	av_easy_text
213.162	8.005	fixation
176.931	4.472	instruction_text
225.606	31.749	dtc
257.355	8.003	fixation
221.167	4.439	instruction_text
