onset	duration	trial_type
4.576	31.652	am_difficult_image
36.228	8.004	fixation
0	4.576	instruction_image
80.461	8.002	fixation
44.232	4.447	instruction_image
48.679	31.782	vm_difficult_image
92.922	31.635	am_easy_image
124.557	8.003	fixation
88.463	4.459	instruction_image
168.671	8.003	fixation
132.56	4.454	instruction_text
137.014	31.657	vv_difficult_text
181.165	31.666	av_difficult_image
212.831	8.002	fixation
176.674	4.491	instruction_image
257.008	8.002	fixation
220.833	4.437	instruction_image
225.27	31.738	vv_easy_image
269.479	31.666	av_easy_text
301.145	8.003	fixation
265.01	4.469	instruction_text
345.238	8.005	fixation
309.148	4.44	instruction_image
313.588	31.65	vm_easy_image
