onset	duration	sample	type	value
15.0616666666667	n/a	18075	UPPT002	2
24.4733333333333	n/a	29369	UPPT002	2
33.7883333333333	n/a	40547	UPPT002	2
43.1283333333333	n/a	51755	UPPT002	1
52.1266666666667	n/a	62553	UPPT002	1
63.215	n/a	75859	UPPT002	2
71.3016666666667	n/a	85563	UPPT002	8
79.2325	n/a	95080	UPPT002	1
88.4091666666667	n/a	106092	UPPT002	2
97.6525	n/a	117184	UPPT002	1
107.47	n/a	128965	UPPT002	4
114.979166666667	n/a	137976	UPPT002	8
122.275833333333	n/a	146732	UPPT002	1
131.933333333333	n/a	158321	UPPT002	1
140.840833333333	n/a	169010	UPPT002	1
149.998333333333	n/a	179999	UPPT002	2
159.375	n/a	191251	UPPT002	2
168.440833333333	n/a	202130	UPPT002	2
175.66	n/a	210793	UPPT002	2
184.7975	n/a	221758	UPPT002	1
193.693333333333	n/a	232433	UPPT002	1
202.999166666667	n/a	243600	UPPT002	2
212.3425	n/a	254812	UPPT002	2
221.85	n/a	266221	UPPT002	2
231.04	n/a	277249	UPPT002	2
240.996666666667	n/a	289197	UPPT002	2
250.3525	n/a	300424	UPPT002	2
259.405	n/a	311287	UPPT002	1
268.2275	n/a	321874	UPPT002	1
277.4925	n/a	332992	UPPT002	2
286.785833333333	n/a	344144	UPPT002	1
296.408333333333	n/a	355691	UPPT002	1
306.805833333333	n/a	368168	UPPT002	8
314.45	n/a	377341	UPPT002	2
324.970833333333	n/a	389966	UPPT002	2
331.816666666667	n/a	398181	UPPT002	2
341.0325	n/a	409240	UPPT002	1
350.81	n/a	420973	UPPT002	2
359.63	n/a	431557	UPPT002	1
368.925	n/a	442711	UPPT002	2
377.755833333333	n/a	453308	UPPT002	1
387.954166666667	n/a	465546	UPPT002	2
397.6325	n/a	477160	UPPT002	2
