onset	duration	isError	totalError	memError	load	recall_dir	retrieval
    6.5	6	0	0	0	4	B	0
     14	7	1	4	3	4	B	1
   35.5	6	0	0	0	2	B	0
     43	7	0	0	0	2	B	1
   52.5	6	0	0	0	2	B	0
     60	7	0	0	0	2	B	1
   69.5	6	0	0	0	4	F	0
     77	7	0	0	0	4	F	1
   86.5	6	0	0	0	2	F	0
   94.5	6	0	0	0	2	F	0
    102	7	0	0	0	2	F	1
  111.5	6	0	0	0	4	F	0
  119.5	6	0	0	0	4	B	0
139.502	6	0	0	0	6	F	0
    147	7	0	0	0	6	F	1
156.501	6	0	0	0	6	B	0
    164	7	1	1	1	6	B	1
  173.5	6	0	0	0	6	B	0
181.002	7	0	0	0	6	B	1
  202.5	6	0	0	0	4	F	0
    210	7	0	0	0	4	F	1
219.501	6	0	0	0	2	B	0
    227	7	0	0	0	2	B	1
  248.5	6	0	0	0	4	B	0
256.002	7	1	1	0	4	B	1
  265.5	6	0	0	0	2	B	0
273.502	6	0	0	0	2	F	0
    281	7	0	0	0	2	F	1
  290.5	6	0	0	0	4	B	0
    298	7	0	0	0	4	B	1
  307.5	6	0	0	0	6	F	0
    315	7	0	0	0	6	F	1
  324.5	6	0	0	0	6	B	0
  332.5	6	0	0	0	4	F	0
    340	7	1	3	2	4	F	1
  349.5	6	0	0	0	6	F	0
    357	7	1	1	1	6	F	1
  366.5	6	0	0	0	6	F	0
  374.5	6	0	0	0	2	F	0
    382	7	0	0	0	2	F	1
  391.5	6	0	0	0	6	B	0
399.002	7	0	0	0	6	B	1
  6.501	6	0	0	0	2	F	0
 14.002	7	0	0	0	2	F	1
   23.5	6	0	0	0	2	B	0
 31.001	7	0	0	0	2	B	1
   40.5	6	0	0	0	6	B	0
     48	7	1	2	2	6	B	1
 69.502	6	0	0	0	2	B	0
 77.501	6	0	0	0	6	F	0
 85.002	7	0	0	0	6	F	1
  106.5	6	0	0	0	4	B	0
114.001	7	0	0	0	4	B	1
123.502	6	0	0	0	4	F	0
131.501	6	0	0	0	4	F	0
139.001	7	0	0	0	4	F	1
148.501	6	0	0	0	6	B	0
    156	7	1	3	3	6	B	1
165.501	6	0	0	0	4	F	0
    173	7	0	0	0	4	F	1
182.502	6	0	0	0	4	F	0
    190	7	1	1	0	4	F	1
  211.5	6	0	0	0	6	F	0
219.002	7	0	0	0	6	F	1
228.501	6	0	0	0	2	F	0
236.501	6	0	0	0	4	B	0
244.502	6	0	0	0	6	F	0
  252.5	6	0	0	0	6	F	0
260.002	7	1	1	1	6	F	1
269.501	6	0	0	0	2	F	0
277.001	7	0	0	0	2	F	1
286.501	6	0	0	0	2	F	0
294.001	7	1	1	1	2	F	1
  303.5	6	0	0	0	6	B	0
311.501	6	0	0	0	2	B	0
319.001	7	1	1	0	2	B	1
  328.5	6	0	0	0	6	B	0
336.001	7	0	0	0	6	B	1
345.501	6	0	0	0	2	B	0
    353	7	1	1	1	2	B	1
374.502	6	0	0	0	4	B	0
382.002	7	0	0	0	4	B	1
391.501	6	0	0	0	4	B	0
    399	7	0	0	0	4	B	1
    6.5	6	0	0	0	4	F	0
 14.001	7	1	2	2	4	F	1
   35.5	6	0	0	0	4	B	0
 43.001	7	0	0	0	4	B	1
   52.5	6	0	0	0	2	B	0
 60.001	7	0	0	0	2	B	1
 69.501	6	0	0	0	4	F	0
 77.001	7	0	0	0	4	F	1
 86.501	6	0	0	0	4	B	0
   94.5	6	0	0	0	6	B	0
    102	7	1	2	2	6	B	1
111.501	6	0	0	0	2	F	0
119.501	6	0	0	0	6	B	0
    127	7	1	2	2	6	B	1
  136.5	6	0	0	0	4	F	0
144.001	7	0	0	0	4	F	1
153.501	6	0	0	0	6	F	0
161.502	6	0	0	0	6	B	0
169.001	7	1	5	5	6	B	1
  190.5	6	0	0	0	6	B	0
198.502	6	0	0	0	6	F	0
206.001	7	1	3	3	6	F	1
  227.5	6	0	0	0	2	B	0
235.002	7	1	2	2	2	B	1
244.501	6	0	0	0	2	F	0
252.002	7	0	0	0	2	F	1
261.502	6	0	0	0	2	B	0
  269.5	6	0	0	0	2	F	0
277.001	7	0	0	0	2	F	1
286.501	6	0	0	0	4	B	0
294.001	7	0	0	0	4	B	1
303.501	6	0	0	0	4	B	0
    311	7	1	3	2	4	B	1
332.502	6	0	0	0	6	F	0
340.001	7	0	0	0	6	F	1
349.501	6	0	0	0	6	F	0
357.001	7	1	1	1	6	F	1
366.501	6	0	0	0	4	F	0
  374.5	6	0	0	0	2	B	0
382.002	7	0	0	0	2	B	1
  391.5	6	0	0	0	2	F	0
399.002	7	0	0	0	2	F	1
  6.502	6	0	0	0	4	F	0
 14.502	6	0	0	0	4	B	0
 22.001	7	0	0	0	4	B	1
   31.5	6	0	0	0	4	F	0
     39	7	0	0	0	4	F	1
   48.5	6	0	0	0	2	B	0
   68.5	6	0	0	0	2	F	0
 76.001	7	0	0	0	2	F	1
   97.5	6	0	0	0	4	F	0
105.001	7	0	0	0	4	F	1
114.501	6	0	0	0	4	B	0
122.002	7	0	0	0	4	B	1
131.501	6	0	0	0	6	F	0
139.001	7	1	4	4	6	F	1
  148.5	6	0	0	0	6	B	0
  156.5	6	0	0	0	4	B	0
164.001	7	0	0	0	4	B	1
173.502	6	0	0	0	2	F	0
  181.5	6	0	0	0	2	B	0
    189	7	0	0	0	2	B	1
198.502	6	0	0	0	2	F	0
    206	7	0	0	0	2	F	1
  215.5	6	0	0	0	2	F	0
    223	7	0	0	0	2	F	1
  232.5	6	0	0	0	6	F	0
  252.5	6	0	0	0	2	B	0
    260	7	0	0	0	2	B	1
  269.5	6	0	0	0	6	B	0
    277	7	0	0	0	6	B	1
286.501	6	0	0	0	4	F	0
294.002	7	0	0	0	4	F	1
  303.5	6	0	0	0	6	F	0
311.001	7	1	2	2	6	F	1
320.501	6	0	0	0	2	B	0
328.002	7	1	4	2	2	B	1
337.501	6	0	0	0	6	F	0
    345	7	1	3	3	6	F	1
354.502	6	0	0	0	6	B	0
    362	7	1	2	2	6	B	1
383.501	6	0	0	0	6	B	0
    391	7	1	1	1	6	B	1
  400.5	6	0	0	0	4	B	0
