onset	duration	trial_type	response_time	"response"""
8.362	0.2	Congruent	0.457	"Correct"""
10.686	0.2	Congruent	0.379	"Correct"""
13.059	0.2	Incongruent	0.533	"Correct"""
15.567	0.2	Congruent	0.48	"Correct"""
19.964	0.2	Incongruent	0.623	"Commission"""
22.354	0.2	Incongruent	0.435	"Correct"""
26.701	0.2	Incongruent	0.837	"Correct"""
29.141	0.2	Congruent	0.413	"Correct"""
31.615	0.2	Congruent	0.448	"Correct"""
34.006	0.2	Incongruent	0.597	"Correct"""
36.496	0.2	Incongruent	0.483	"Commission"""
38.87	0.2	Congruent	0.413	"Correct"""
41.261	0.2	Incongruent	0.502	"Correct"""
43.584	0.2	Congruent	0.301	"Correct"""
45.824	0.2	Incongruent	0.626	"Correct"""
48.265	0.2	Congruent	0.428	"Correct"""
50.722	0.2	Congruent	0.374	"Correct"""
53.146	0.2	Incongruent	0.412	"Commission"""
55.52	0.2	Congruent	0.602	"Correct"""
57.743	0.2	Incongruent	0.341	"Commission"""
62.106	0.2	Incongruent	0.502	"Correct"""
66.302	0.2	Congruent	0.483	"Correct"""
68.71	0.2	Incongruent	0.506	"Correct"""
73.073	0.2	Incongruent	0.48	"Correct"""
77.402	0.2	Congruent	0.367	"Correct"""
79.692	0.2	Congruent	0.503	"Correct"""
81.983	0.2	Incongruent	0.38	"Commission"""
84.306	0.2	Incongruent	0.463	"Correct"""
86.596	0.2	Congruent	0.398	"Correct"""
89.054	0.2	Congruent	0.449	"Correct"""
91.344	0.2	Incongruent	0.502	"Correct"""
95.49	0.2	Congruent	0.579	"Correct"""
97.813	0.2	Congruent	0.41	"Correct"""
102.059	0.2	Incongruent	0.684	"Correct"""
104.333	0.2	Congruent	0.474	"Correct"""
106.657	0.2	Incongruent	0.496	"Correct"""
117.405	0.2	Congruent	0.654	"Correct"""
119.813	0.2	Congruent	0.414	"Correct"""
122.303	0.2	Incongruent	0.503	"Correct"""
124.661	0.2	Congruent	0.381	"Correct"""
127.068	0.2	Incongruent	0.439	"Correct"""
129.375	0.2	Congruent	0.381	"Correct"""
131.899	0.2	Incongruent	0.392	"Correct"""
136.078	0.2	Incongruent	0.53	"Correct"""
138.318	0.2	Incongruent	0.495	"Correct"""
140.608	0.2	Congruent	0.546	"Correct"""
143.066	0.2	Incongruent	0.481	"Correct"""
145.54	0.2	Incongruent	0.468	"Correct"""
148.014	0.2	Incongruent	0.451	"Correct"""
150.421	0.2	Congruent	0.392	"Correct"""
152.728	0.2	Incongruent	0.367	"Commission"""
156.924	0.2	Incongruent	0.463	"Correct"""
163.059	0.2	Congruent	0.361	"Correct"""
165.349	0.2	Congruent	0.403	"Correct"""
169.629	0.2	Incongruent	0.482	"Correct"""
171.869	0.2	Congruent	0.48	"Correct"""
176.232	0.2	Congruent	0.574	"Correct"""
178.656	0.2	Incongruent	0.575	"Correct"""
180.979	0.2	Incongruent	0.52	"Correct"""
183.353	0.2	Congruent	0.374	"Correct"""
185.794	0.2	Incongruent	0.511	"Correct"""
190.157	0.2	Congruent	0.583	"Correct"""
192.648	0.2	Incongruent	0.738	"Correct"""
194.955	0.2	Congruent	0.419	"Correct"""
197.211	0.2	Congruent	0.448	"Correct"""
199.585	0.2	Congruent	0.32	"Correct"""
201.909	0.2	Incongruent	0.412	"Commission"""
208.111	0.2	Congruent	0.474	"Correct"""
210.468	0.2	Congruent	0.418	"Correct"""
212.958	0.2	Incongruent	0.307	"Commission"""
215.382	0.2	Incongruent	0.626	"Correct"""
217.639	0.2	Congruent	0.461	"Correct"""
226.616	0.2	Incongruent	0.433	"Correct"""
230.996	0.2	Congruent	0.423	"Correct"""
233.453	0.2	Congruent	0.462	"Correct"""
235.827	0.2	Incongruent	0.455	"Correct"""
238.268	0.2	Incongruent	0.46	"Correct"""
240.792	0.2	Congruent	0.378	"Correct"""
243.166	0.2	Incongruent	0.269	"Commission"""
245.473	0.2	Incongruent	0.36	"Commission"""
247.963	0.2	Congruent	0.481	"Correct"""
252.109	0.2	Congruent	0.361	"Correct"""
254.55	0.2	Incongruent	0.513	"Correct"""
256.857	0.2	Incongruent	0.489	"Correct"""
259.247	0.2	Incongruent	0.478	"Correct"""
261.654	0.2	Incongruent	0.25	"Commission"""
263.894	0.2	Congruent	0.449	"Correct"""
266.201	0.2	Incongruent	0.74	"Commission"""
270.531	0.2	Incongruent	0.554	"Correct"""
272.905	0.2	Congruent	0.636	"Correct"""
275.245	0.2	Congruent	0.368	"Correct"""
277.535	0.2	Congruent	0.349	"Correct"""
279.809	0.2	Congruent	0.446	"Correct"""
282.049	0.2	Congruent	0.358	"Correct"""
284.473	0.2	Congruent	0.327	"Correct"""
286.796	0.2	Incongruent	0.495	"Correct"""
289.237	0.2	Congruent	0.362	"Correct"""
297.211	0.2	Incongruent	0.51	"Correct"""
299.501	0.2	Incongruent	0.648	"Correct"""
301.958	0.2	Congruent	0.368	"Correct"""
304.332	0.2	Incongruent	0.294	"Commission"""
306.673	0.2	Congruent	0.352	"Commission"""
308.98	0.2	Congruent	0.416	"Correct"""
311.387	0.2	Congruent	0.506	"Correct"""
315.716	0.2	Congruent	0.59	"Correct"""
318.174	0.2	Incongruent	0.577	"Commission"""
324.309	0.2	Incongruent	0.355	"Correct"""
326.632	0.2	Incongruent	0.569	"Commission"""
