onset	duration	trial_type	response_time	accuracy_binarized	tr_seconds	stimulus_text	stimulus_color
2.0	2.25	con3	n/a	0.0	0.8	blue	blue
4.25	4.5	con1	1.026581048965454	1.0	0.8	red	red
8.75	8.25	inc6	0.6710238456726074	1.0	0.8	green	blue
17.0	8.25	con2	1.046539068222046	1.0	0.8	green	green
25.25	8.25	inc4	1.103807926177979	1.0	0.8	blue	green
33.5	2.25	con1	0.4197151660919189	1.0	0.8	red	red
35.75	2.25	inc3	0.8185999393463135	1.0	0.8	red	green
38.0	8.25	con1	0.5536189079284668	1.0	0.8	red	red
46.25	8.25	con2	0.8893380165100098	1.0	0.8	green	green
54.5	2.25	inc5	1.136856079101562	1.0	0.8	red	blue
56.75	4.5	con3	0.6506521701812744	1.0	0.8	blue	blue
61.25	2.25	con3	0.6191270351409912	1.0	0.8	blue	blue
63.5	8.25	con1	0.7366940975189209	1.0	0.8	red	red
71.75	2.25	con2	0.5702359676361084	1.0	0.8	green	green
74.0	2.25	inc1	0.7510130405426025	1.0	0.8	green	red
76.25	2.25	con2	0.83524489402771	1.0	0.8	green	green
78.5	4.5	con3	0.6035540103912354	1.0	0.8	blue	blue
83.0	4.5	con2	0.6871719360351562	1.0	0.8	green	green
87.5	8.25	inc2	0.8596069812774658	1.0	0.8	blue	red
95.75	8.25	con3	0.7875819206237793	1.0	0.8	blue	blue
104.0	4.5	con1	0.5543959140777588	1.0	0.8	red	red
108.5	4.5	con1	0.6597170829772949	1.0	0.8	red	red
113.0	8.25	inc3	0.5880751609802246	0.0	0.8	red	green
121.25	8.25	con3	0.6664619445800781	1.0	0.8	blue	blue
129.5	2.25	inc4	1.603050947189331	1.0	0.8	blue	green
131.75	8.25	con2	0.6840801239013672	1.0	0.8	green	green
140.0	2.25	con3	0.772136926651001	1.0	0.8	blue	blue
142.25	2.25	con1	1.170845985412598	1.0	0.8	red	red
144.5	8.25	inc1	1.936365127563477	1.0	0.8	green	red
152.75	8.25	con2	0.9213650226593018	1.0	0.8	green	green
161.0	2.25	con2	0.9503250122070312	1.0	0.8	green	green
163.25	8.25	con1	0.5369460582733154	1.0	0.8	red	red
171.5	4.5	inc4	0.6862759590148926	1.0	0.8	blue	green
176.0	8.25	con2	1.139109134674072	1.0	0.8	green	green
184.25	8.25	inc5	0.981243133544922	1.0	0.8	red	blue
192.5	2.25	con3	0.6828310489654541	1.0	0.8	blue	blue
194.75	2.25	inc2	1.021399021148682	1.0	0.8	blue	red
197.0	8.25	con3	0.8900449275970459	1.0	0.8	blue	blue
205.25	2.25	con3	0.7648370265960693	1.0	0.8	blue	blue
207.5	8.25	con2	0.9539840221405028	1.0	0.8	green	green
215.75	2.25	inc6	0.8373270034790039	1.0	0.8	green	blue
218.0	2.25	con1	n/a	0.0	0.8	red	red
220.25	8.25	con1	0.5708150863647461	1.0	0.8	red	red
228.5	2.25	con2	1.185987949371338	1.0	0.8	green	green
230.75	8.25	con1	0.5603969097137451	1.0	0.8	red	red
239.0	4.5	con3	1.121706962585449	1.0	0.8	blue	blue
243.5	8.25	inc4	0.6348099708557129	1.0	0.8	blue	green
251.75	2.25	con3	0.6373929977416992	1.0	0.8	blue	blue
254.0	4.5	inc6	0.7095680236816406	1.0	0.8	green	blue
258.5	2.25	con3	0.570275068283081	1.0	0.8	blue	blue
260.75	2.25	con2	0.8212900161743164	1.0	0.8	green	green
263.0	2.25	con2	0.6693260669708252	1.0	0.8	green	green
265.25	4.5	inc5	0.7527599334716797	1.0	0.8	red	blue
269.75	4.5	con1	0.7203400135040283	1.0	0.8	red	red
274.25	8.25	inc3	0.5759451389312744	1.0	0.8	red	green
282.5	4.5	inc2	0.9207398891448976	1.0	0.8	blue	red
287.0	2.25	con2	0.5871791839599609	1.0	0.8	green	green
289.25	2.25	con3	0.5368711948394775	1.0	0.8	blue	blue
291.5	2.25	inc5	0.5044031143188477	1.0	0.8	red	blue
293.75	4.5	con3	n/a	0.0	0.8	blue	blue
298.25	8.25	con2	0.537956953048706	1.0	0.8	green	green
306.5	4.5	inc1	0.6505210399627686	1.0	0.8	green	red
311.0	8.25	con3	0.683164119720459	1.0	0.8	blue	blue
319.25	8.25	con3	1.621329784393311	0.0	0.8	blue	blue
327.5	4.5	con1	0.584420919418335	1.0	0.8	red	red
332.0	4.5	con2	0.5863440036773682	1.0	0.8	green	green
336.5	4.5	con1	0.5597879886627197	1.0	0.8	red	red
341.0	4.5	inc2	0.6043469905853271	1.0	0.8	blue	red
345.5	4.5	con2	0.6524670124053955	1.0	0.8	green	green
350.0	4.5	inc3	0.786646842956543	1.0	0.8	red	green
354.5	4.5	con2	0.6115550994873047	1.0	0.8	green	green
359.0	8.25	inc1	0.6080408096313477	1.0	0.8	green	red
367.25	4.5	con1	0.7353880405426025	1.0	0.8	red	red
371.75	4.5	con1	n/a	0.0	0.8	red	red
376.25	4.5	inc6	0.9268519878387452	1.0	0.8	green	blue
380.75	4.5	con3	0.9041109085083008	1.0	0.8	blue	blue
385.25	4.5	con1	0.7213561534881592	1.0	0.8	red	red
389.75	8.25	con1	0.5478949546813965	1.0	0.8	red	red
