onset	duration	condition_code	target_code	trial_type
20.0641486	17.5704691	3	2	countdown
37.6346177	0.9631798	3	2	go_cue
55.2659173	17.5688909	4	2	countdown
72.8348082	0.9638316	4	2	go_cue
92.4989409	17.5704399	1	1	countdown
110.0693808	0.9801197	1	1	go_cue
127.2171972	17.5361792	2	4	countdown
144.7533764	0.980143	2	4	go_cue
162.9012884	17.5686453	1	3	countdown
180.4699337	0.981083	1	3	go_cue
199.6349629	17.553249	3	4	countdown
217.1882119	0.9803104	3	4	go_cue
234.8532641	17.5531582	4	4	countdown
252.4064223	0.9628666	4	4	go_cue
271.0861833	17.5701724	2	1	countdown
288.6563557	0.9636469	2	1	go_cue
306.8042684	17.5695564	4	3	countdown
324.3738248	0.9638115	4	3	go_cue
343.0210038	17.5538122	2	2	countdown
360.574816	0.9642516	2	2	go_cue
379.7059824	17.536294	1	2	countdown
397.2422764	0.9637095	1	2	go_cue
415.4064521	17.5703202	3	4	countdown
432.9767723	0.9632519	3	4	go_cue
