onset	duration	trial_type	value	sample
2.8492	0.0	pain	1	28492
4.4224	0.0	pain	1	44224
6.0325	0.0	pain	1	60325
7.7216	0.0	pain	1	77216
9.3337	0.0	pain	1	93337
10.9319	0.0	pain	1	109319
12.5251	0.0	pain	1	125251
14.1102	0.0	pain	1	141102
15.7412	0.0	pain	1	157412
17.3866	0.0	pain	1	173866
19.1219	0.0	pain	1	191219
20.7842	0.0	pain	1	207842
22.4607	0.0	pain	1	224607
24.0637	0.0	pain	1	240637
25.6291	0.0	pain	1	256291
27.3203	0.0	pain	1	273203
29.0332	0.0	pain	1	290332
30.7126	0.0	pain	1	307126
32.4585	0.0	pain	1	324585
34.2097	0.0	pain	1	342097
35.8601	0.0	pain	1	358601
37.451	0.0	pain	1	374510
39.0575	0.0	pain	1	390575
40.7584	0.0	pain	1	407584
42.3989	0.0	pain	1	423989
44.08	0.0	pain	1	440800
45.7459	0.0	pain	1	457459
47.4723	0.0	pain	1	474723
49.1042	0.0	pain	1	491042
50.8484	0.0	pain	1	508484
52.5038	0.0	pain	1	525038
54.1367	0.0	pain	1	541367
55.7898	0.0	pain	1	557898
57.497	0.0	pain	1	574970
59.0492	0.0	pain	1	590492
60.7056	0.0	pain	1	607056
