onset	duration	trial_type	value	sample	token	EEG_trigger_start	EEG_trigger_end	stim_file
47.3299	10	clicks_high	2	473299	0	1	2	clicks_high/clicks_high_000_regress.hdf5
57.3995	10	clicks_mid	1	573995	0	1	2	clicks_mid/clicks_mid_000_regress.hdf5
67.4691	10	clicks_low	0	674691	0	1	2	clicks_low/clicks_low_000_regress.hdf5
77.5387	10	clicks_high	2	775387	1	1	2	clicks_high/clicks_high_001_regress.hdf5
87.6083	10	clicks_low	0	876083	1	1	2	clicks_low/clicks_low_001_regress.hdf5
97.6779	10	clicks_mid	1	976779	1	1	2	clicks_mid/clicks_mid_001_regress.hdf5
107.7475	10	clicks_high	2	1077475	2	1	2	clicks_high/clicks_high_002_regress.hdf5
117.8171	10	clicks_low	0	1178171	2	1	2	clicks_low/clicks_low_002_regress.hdf5
127.8867	10	clicks_mid	1	1278867	2	1	2	clicks_mid/clicks_mid_002_regress.hdf5
137.9563	10	clicks_high	2	1379563	3	1	2	clicks_high/clicks_high_003_regress.hdf5
148.0259	10	clicks_mid	1	1480259	3	1	2	clicks_mid/clicks_mid_003_regress.hdf5
158.0954	10	clicks_low	0	1580954	3	1	2	clicks_low/clicks_low_003_regress.hdf5
168.165	10	clicks_mid	1	1681650	4	1	2	clicks_mid/clicks_mid_004_regress.hdf5
178.2346	10	clicks_high	2	1782346	4	1	2	clicks_high/clicks_high_004_regress.hdf5
188.3042	10	clicks_low	0	1883042	4	1	2	clicks_low/clicks_low_004_regress.hdf5
198.3738	10	clicks_high	2	1983738	5	1	2	clicks_high/clicks_high_005_regress.hdf5
208.4434	10	clicks_low	0	2084434	5	1	2	clicks_low/clicks_low_005_regress.hdf5
218.513	10	clicks_mid	1	2185130	5	1	2	clicks_mid/clicks_mid_005_regress.hdf5
228.5826	10	clicks_low	0	2285826	6	1	2	clicks_low/clicks_low_006_regress.hdf5
238.6522	10	clicks_mid	1	2386522	6	1	2	clicks_mid/clicks_mid_006_regress.hdf5
248.7218	10	clicks_high	2	2487218	6	1	2	clicks_high/clicks_high_006_regress.hdf5
258.7914	10	clicks_low	0	2587914	7	1	2	clicks_low/clicks_low_007_regress.hdf5
268.861	10	clicks_high	2	2688610	7	1	2	clicks_high/clicks_high_007_regress.hdf5
278.9306	10	clicks_mid	1	2789306	7	1	2	clicks_mid/clicks_mid_007_regress.hdf5
289.0002	10	clicks_mid	1	2890002	8	1	2	clicks_mid/clicks_mid_008_regress.hdf5
299.0697	10	clicks_high	2	2990697	8	1	2	clicks_high/clicks_high_008_regress.hdf5
309.1393	10	clicks_low	0	3091393	8	1	2	clicks_low/clicks_low_008_regress.hdf5
319.2089	10	clicks_low	0	3192089	9	1	2	clicks_low/clicks_low_009_regress.hdf5
329.2785	10	clicks_mid	1	3292785	9	1	2	clicks_mid/clicks_mid_009_regress.hdf5
339.3481	10	clicks_high	2	3393481	9	1	2	clicks_high/clicks_high_009_regress.hdf5
