onset	duration	value	response	rt	good	Bd1	Bd2	F	Resp	buena	nt	prob	ttF	ttp	ttr
1.0237	1	10	1	1380.7	1	7	5	0	1	0	1	0.15	18176	14578	15959
4.6215	1	30	2	2654.9	1	7	5	0	1	0	1	0.15	18176	14578	15959
7.9043	1	10	2	228.1	1	7	4	1	2	0	2	0.15	23764	21459	21687
10.209	1	31	-99	-99	1	7	4	1	2	0	2	0.15	23764	21459	21687
13.4089	1	10	2	291.5	1	3	4	1	2	0	3	0.15	29683	26964	27255
16.128	1	31	-99	-99	1	3	4	1	2	0	3	0.15	29683	26964	27255
19.5932	1	10	2	195.2	1	2	7	1	2	0	4	0.15	35685	33148	33343
22.1299	1	31	-99	-99	1	2	7	1	2	0	4	0.15	35685	33148	33343
24.6998	1	10	2	264.6	1	8	4	1	2	0	5	0.15	40775	38255	38519
27.22	1	31	-99	-99	1	8	4	1	2	0	5	0.15	40775	38255	38519
29.8065	1	10	2	245.9	1	7	5	1	2	0	6	0.15	45235	43361	43607
31.68	1	31	-99	-99	1	7	5	1	2	0	6	0.15	45235	43361	43607
34.3328	1	10	2	327.6	1	7	5	1	2	0	7	0.15	50209	47888	48215
36.654	1	31	-99	-99	1	7	5	1	2	0	7	0.15	50209	47888	48215
39.7876	1	10	2	616.8	1	7	4	1	2	0	8	0.15	55879	53342	53959
42.3243	1	31	-99	-99	1	7	4	1	2	0	8	0.15	55879	53342	53959
45.2258	1	10	2	482.6	1	7	5	1	2	0	9	0.15	61483	58781	59263
47.9284	1	31	-99	-99	1	7	5	1	2	0	9	0.15	61483	58781	59263
50.664	1	10	2	836.4	1	2	4	0	2	0	10	0.15	67071	64219	65055
53.5158	1	30	-99	-99	1	2	4	0	2	0	10	0.15	67071	64219	65055
56.5499	1	10	1	318.5	1	7	2	0	1	0	11	0.15	72459	70105	70423
58.9043	1	30	1	2460.1	1	7	2	0	1	0	11	0.15	72459	70105	70423
61.4576	1	10	1	578.8	1	5	3	0	1	0	12	0.15	77284	75012	75591
63.729	1	30	-99	-99	1	5	3	0	1	0	12	0.15	77284	75012	75591
66.4813	1	10	1	115.1	1	6	7	0	1	0	13	0.15	82158	80036	80151
68.6036	1	30	2	2016.8	1	6	7	0	1	0	13	0.15	82158	80036	80151
71.4056	1	10	2	14.8	1	3	5	1	2	0	14	0.15	86552	84960	84975
72.9973	1	31	2	2487.1	1	3	5	1	2	0	14	0.15	86552	84960	84975
75.6003	1	10	2	244.1	1	5	5	1	2	0	15	0.15	91443	89155	89399
77.8883	1	31	2	2580	1	5	5	1	2	0	15	0.15	91443	89155	89399
80.4748	1	10	-99	-99	1	4	7	1	2	0	16	0.15	95572	94030	94023
82.0167	1	31	-99	-99	1	4	7	1	2	0	16	0.15	95572	94030	94023
84.6364	1	10	2	208	1	7	7	1	2	0	17	0.15	100446	98191	98399
86.8912	1	31	2	2801.2	1	7	7	1	2	0	17	0.15	100446	98191	98399
89.8093	1	10	2	1115.1	1	4	8	0	2	0	18	0.15	106780	103364	104479
93.2248	1	30	1	2219.6	1	4	8	0	2	0	18	0.15	106780	103364	104479
95.7615	1	10	1	282.9	1	3	5	1	1	1	19	0.85	111306	109316	109599
97.7511	1	31	-99	-99	1	3	5	1	1	1	19	0.85	111306	109316	109599
100.5034	1	10	1	509	1	4	6	1	1	1	20	0.85	116413	114058	114567
102.8577	1	31	-99	-99	1	4	6	1	1	1	20	0.85	116413	114058	114567
105.6929	1	10	1	599.5	1	2	2	1	1	1	21	0.85	122149	119248	119847
108.5944	1	31	-99	-99	1	2	2	1	1	1	21	0.85	122149	119248	119847
111.612	1	10	1	880.4	1	3	4	1	1	1	22	0.85	127687	125167	126047
114.1321	1	31	-99	-99	1	3	4	1	1	1	22	0.85	127687	125167	126047
116.8844	1	10	1	1688	1	3	7	1	1	1	23	0.85	134203	130439	132127
120.648	1	31	-99	-99	1	3	7	1	1	1	23	0.85	134203	130439	132127
123.4169	1	10	1	2755.5	1	7	5	1	1	1	24	0.85	141365	136972	139727
127.8106	1	31	-99	-99	1	7	5	1	1	1	24	0.85	141365	136972	139727
131.3089	1	10	1	319.5	1	3	3	1	1	1	25	0.85	146804	144864	145183
133.2488	1	31	-99	-99	1	3	3	1	1	1	25	0.85	146804	144864	145183
136.1503	1	10	1	694.1	1	3	4	1	1	1	26	0.85	152656	149705	150399
139.1015	1	31	-99	-99	1	3	4	1	1	1	26	0.85	152656	149705	150399
142.2849	1	10	1	2503.5	1	7	7	0	1	1	27	0.85	160482	155840	158343
146.9273	1	30	2	2885.1	1	7	7	0	1	1	27	0.85	160482	155840	158343
149.8951	1	10	2	453.3	1	3	3	0	2	1	28	0.85	166053	163450	163903
152.4981	1	30	1	2506.3	1	3	3	0	2	1	28	0.85	166053	163450	163903
155.8141	1	10	1	30.3	1	6	7	1	1	1	29	0.85	171292	169369	169399
157.7374	1	31	-99	-99	1	6	7	1	1	1	29	0.85	171292	169369	169399
161.2192	1	10	1	169.2	1	2	8	1	1	1	30	0.85	176896	174774	174943
163.3414	1	31	2	3743	1	2	8	1	1	1	30	0.85	176896	174774	174943
168.4149	1	10	1	1013.5	1	8	5	1	1	0	31	0.75	184921	181970	182983
171.3661	1	31	-99	-99	1	8	5	1	1	0	31	0.75	184921	181970	182983
174.3505	1	10	1	237.9	1	8	5	1	1	0	32	0.75	190260	187905	188143
176.7049	1	31	-99	-99	1	8	5	1	1	0	32	0.75	190260	187905	188143
180.1369	1	10	1	395.4	1	6	5	1	1	0	33	0.75	195665	193692	194087
182.1099	1	31	-99	-99	1	6	5	1	1	0	33	0.75	195665	193692	194087
184.8788	1	10	1	365.6	1	2	2	1	1	0	34	0.75	200655	198434	198799
