onset	duration	trial_type
6.02533806563042	0.75	image_31
7.55840650212667	0.75	image_31
9.05830486362356	0.75	image_52
10.5581231117412	0.75	image_52
12.0579379386454	0.75	image_7
13.557810355951	0.75	image_7
15.0577246831035	0.75	catch
16.5575252549588	0.75	catch
18.0574236164557	0.75	image_2
19.5572840595196	0.75	image_2
21.0571533407128	0.75	image_18
22.5570739400864	0.75	image_18
24.0568214831583	0.75	image_21
25.556644007791	0.75	image_21
27.0565289695387	0.75	image_4
28.5563560557875	0.75	image_4
30.0563427985908	0.75	catch
31.556097184086	0.75	catch
33.0559074493758	0.75	image_61
34.5558511419295	0.75	image_61
36.0556457266648	0.75	image_62
37.5555908447222	0.75	image_62
39.0553147244118	0.75	catch
40.5552213538358	0.75	catch
42.0550820820008	0.75	memoryitem_155
43.5550032515766	0.75	memoryitem_155
45.0548143721699	0.75	image_50
46.5546294841752	0.75	image_50
48.0545104545108	0.75	image_25
49.5543024733361	0.75	image_25
51.05415692928	0.75	catch
52.5540729670374	0.75	catch
54.0539436737381	0.75	image_20
55.5537699046818	0.75	image_20
57.0536297775434	0.75	image_9
58.553755934734	0.75	image_9
60.0533321321072	0.75	image_19
61.5531677713861	0.75	image_19
63.0530883707597	0.75	image_44
64.5529385501868	0.75	image_44
66.0528543028431	0.75	image_59
67.5525867355627	0.75	image_59
69.0524927947845	0.75	catch
70.5523170300239	0.75	catch
72.052152669301	0.75	image_23
73.5520056997393	0.75	image_23
75.0519625069392	0.75	memoryitem_105
76.5517736275306	0.75	memoryitem_105
78.0516303642817	0.75	image_42
79.5515446914342	0.75	image_42
81.0513977218725	0.75	image_14
82.5512758411969	0.75	image_14
84.0510279458849	0.75	image_15
85.5508886740499	0.75	image_15
87.0507821888295	0.75	catch
88.5506343639645	0.75	catch
90.0505173300062	0.75	image_13
91.5504034321602	0.75	image_13
93.0502330843174	0.75	image_17
94.5500946677839	0.75	image_17
96.0498921035287	0.75	image_56
97.5497682271471	0.75	image_56
99.0496982348541	0.75	image_54
100.566023260249	0.75	image_54
102.049316199524	0.75	catch
103.549198025163	0.75	catch
105.049051625803	0.75	image_46
106.548894392605	0.75	image_46
108.065368810921	0.75	memoryitem_136
109.56522241156	0.75	memoryitem_136
111.048489406645	0.75	image_53
112.564972948192	0.75	image_53
114.064774375351	0.75	image_37
115.56466218811	0.75	image_37
117.064532039507	0.75	catch
118.564379082825	0.75	catch
120.064233823869	0.75	image_60
121.564068322743	0.75	image_60
123.063984075399	0.75	image_26
124.563758132863	0.75	image_26
126.063647086026	0.75	image_8
127.563512660907	0.75	image_8
129.063369682759	0.75	catch
130.563354714957	0.75	catch
132.06308543707	0.75	image_27
133.562909957409	0.75	image_27
135.062747022192	0.75	image_29
136.562601478134	0.75	image_29
138.062488720692	0.75	image_16
139.562424145317	0.75	image_16
141.062288864896	0.75	image_45
142.562101696094	0.75	image_45
144.061905404062	0.75	catch
145.561752162277	0.75	catch
147.061590082363	0.75	memoryitem_132
148.561484452444	0.75	memoryitem_132
150.061335772278	0.75	image_51
151.561170556251	0.75	image_51
153.061008191236	0.75	image_12
154.560918241874	0.75	image_12
156.060754451353	0.75	image_36
157.560593511842	0.75	image_36
159.060439129655	0.75	image_35
160.560388239128	0.75	image_35
162.060234427143	0.75	catch
163.56004155632	0.75	catch
165.059880046609	0.75	image_28
166.559749042703	0.75	image_28
168.059632293845	0.75	image_10
169.559426023277	0.75	image_10
171.059254820131	0.75	image_39
172.559164585668	0.75	image_39
174.058981693381	0.75	catch
175.558861238211	0.75	catch
177.058724247183	0.75	image_57
178.558558460956	0.75	image_57
180.058435154777	0.75	image_34
181.558267943044	0.75	image_34
183.074865239889	0.75	catch
184.558107716286	0.75	catch
186.057850697742	0.75	image_22
187.557706864291	0.75	image_22
189.057566452053	0.75	memoryitem_115
190.557389831987	0.75	memoryitem_115
192.057250845253	0.75	catch
193.557140083518	0.75	catch
195.057001666986	0.75	image_11
196.556992971406	0.75	image_11
198.056768169272	0.75	image_47
199.556629467639	0.75	image_47
201.056479361967	0.75	image_49
202.556352919677	0.75	image_49
204.056160333956	0.75	image_32
205.556027334344	0.75	image_32
207.055869530943	0.75	image_63
208.555815219204	0.75	image_63
210.088945807718	0.75	catch
211.555426626552	0.75	catch
213.05531985623	0.75	image_40
214.555143806367	0.75	image_40
216.054982866855	0.75	image_64
217.554850437446	0.75	image_64
219.05466526435	0.75	catch
220.571211243016	0.75	catch
222.07103775906	0.75	image_43
223.570937546061	0.75	image_43
225.070909463613	0.75	image_58
226.570605973608	0.75	image_58
228.070526572981	0.75	image_5
229.570317166301	0.75	image_5
231.070155086387	0.75	memoryitem_153
232.570005265816	0.75	memoryitem_153
234.070006548769	0.75	image_3
235.569760934264	0.75	image_3
237.069599139451	0.75	image_6
238.5695702017	0.75	image_6
240.069284102854	0.75	image_1
241.585934143381	0.75	image_1
243.068999001862	0.75	image_38
244.568883108308	0.75	image_38
246.068749823593	0.75	image_30
247.568560659085	0.75	image_30
249.06844989735	0.75	image_55
250.568250184104	0.75	image_55
252.068172208983	0.75	image_33
253.568008418462	0.75	image_33
255.067929588038	0.75	image_24
256.567841634382	0.75	image_24
258.067657886791	0.75	image_41
259.56742766774	0.75	image_41
261.067261881513	0.75	image_48
262.567153685686	0.75	image_48
