onset	duration	trial_type	value	sample	n_simultaneous_stimuli	snr	EEG_trigger_start	EEG_trigger_end	file_clicks	file_story1	file_story2	file_story3	file_story4	file_story5
375.1396	10	clicks	0	3751396	1	clean	1	2	clicks/clicks_000_regress.hdf5	n/a	n/a	n/a	n/a	n/a
385.2092	10	clicks	0	3852092	1	clean	1	2	clicks/clicks_001_regress.hdf5	n/a	n/a	n/a	n/a	n/a
395.2575	10	clicks	0	3952575	1	clean	1	2	clicks/clicks_002_regress.hdf5	n/a	n/a	n/a	n/a	n/a
405.3271	10	clicks	0	4053271	1	clean	1	2	clicks/clicks_003_regress.hdf5	n/a	n/a	n/a	n/a	n/a
415.3967	10	clicks	0	4153967	1	clean	1	2	clicks/clicks_004_regress.hdf5	n/a	n/a	n/a	n/a	n/a
425.4663	10	clicks	0	4254663	1	clean	1	2	clicks/clicks_005_regress.hdf5	n/a	n/a	n/a	n/a	n/a
435.5358	10	clicks	0	4355358	1	clean	1	2	clicks/clicks_006_regress.hdf5	n/a	n/a	n/a	n/a	n/a
445.5841	10	clicks	0	4455841	1	clean	1	2	clicks/clicks_007_regress.hdf5	n/a	n/a	n/a	n/a	n/a
455.6537	10	clicks	0	4556537	1	clean	1	2	clicks/clicks_008_regress.hdf5	n/a	n/a	n/a	n/a	n/a
465.7233	10	clicks	0	4657233	1	clean	1	2	clicks/clicks_009_regress.hdf5	n/a	n/a	n/a	n/a	n/a
475.7929	10	clicks	0	4757929	1	clean	1	2	clicks/clicks_010_regress.hdf5	n/a	n/a	n/a	n/a	n/a
485.8624	10	clicks	0	4858624	1	clean	1	2	clicks/clicks_011_regress.hdf5	n/a	n/a	n/a	n/a	n/a
495.932	10	clicks	0	4959320	1	clean	1	2	clicks/clicks_012_regress.hdf5	n/a	n/a	n/a	n/a	n/a
505.9803	10	clicks	0	5059803	1	clean	1	2	clicks/clicks_013_regress.hdf5	n/a	n/a	n/a	n/a	n/a
516.0499	10	clicks	0	5160499	1	clean	1	2	clicks/clicks_014_regress.hdf5	n/a	n/a	n/a	n/a	n/a
