onset	duration	trial_type	cue_onset	cue_duration	cue_mean	cue_std	cue_sk	stim_onset	stim_duration	stim_level	stim_value	rating_onset	RT	rating
8.68669277627851	23	pain	8.69963393063153	1.5	0.3	0.05	-1	15.1796319857567	2	2	48	21.692519150256	3.40249560010852	77.3333333333333
31.7239532390668	18.5	pain	31.7331384288009	1.5	0.3	0.05	-1	37.2160667396711	2	1	47	42.2242700667011	3.53582005952921	56.3333333333333
50.2413393091228	21	pain	50.2468111414382	1.5	0.7	0.05	-1	54.2334122240391	2	2	48	62.2390460570132	4.52000874536316	69.3333333333333
71.2587295777012	24	pain	71.2619055972464	1.5	0.7	0.125	-1	78.2508115116616	2	1	47	86.256711561884	2.36839273513033	37.3333333333333
95.2766911559593	22.5	pain	95.29668955542	1.5	0.3	0.125	-1	102.268777132937	2	1	47	110.274371157724	2.25155321903731	62.6666666666667
117.834801312056	20	pain	117.846633124205	1.5	0.7	0.05	0	123.826844370829	2	2	48	130.339033026052	2.41841794180073	79.3333333333333
137.85251533315	20	pain	137.861395430453	1.5	0.7	0.05	0	142.844622147226	2	1	47	150.353897651781	2.20159736569622	85
157.870744683663	24.5	pain	157.875849534259	1.5	0.3	0.05	0	164.862814488566	2	1	47	172.370065684627	2.76858630243805	68.6666666666667
182.421809101706	25	pain	182.427388851531	1.5	0.3	0.125	-1	189.413852782487	2	2	48	196.421121861131	2.13486858167016	84
207.439645035378	20	pain	207.44586047218	1.5	0.7	0.05	-1	212.931693536677	2	1	47	218.937662629225	2.48516165389083	69.6666666666667
227.457052409034	22	pain	227.460245533661	1.5	0.3	0.05	0	233.949106819364	2	2	48	241.954624337792	2.00139421954009	66
249.49719896536	19	pain	249.510233420155	1.5	0.7	0.125	-1	253.489264105243	2	2	48	259.500894668345	2.01810837094672	76.3333333333333
271.025850130263	19	vision	271.042705237978	1.5	0.3	0.05	0	275.028961150507	2	2	0.6	282.034099827611	1.93466730152431	79.6666666666667
290.087526384588	19	vision	290.106614793778	1.5	0.3	0.05	-1	296.594855051113	2	1	0.5	301.581731722552	2.21829721103131	73.3333333333333
309.105756357105	22	vision	309.120746078068	1.5	0.7	0.125	-1	314.107673131744	2	2	0.6	320.112117653593	2.81866126933892	60.3333333333333
331.123790398702	20.5	vision	331.136763897208	1.5	0.3	0.125	-1	336.624301913249	2	2	0.6	344.129801507548	2.71864755417482	73
351.642169496419	19.5	vision	351.652003124196	1.5	0.3	0.125	-1	355.638194348419	2	1	0.5	363.644172107459	2.30154763656174	53.3333333333333
371.160338357149	19	vision	371.16637030309	1.5	0.7	0.05	-1	375.169341922032	2	2	0.6	380.1562885688	2.68532281484659	61.6666666666667
390.178947440443	18.5	vision	390.197066147084	1.5	0.7	0.125	-1	395.184005329818	2	1	0.5	400.187777466512	2.68526807859234	60.6666666666667
408.697434766669	22.5	vision	408.710655822335	1.5	0.7	0.05	0	414.698409206885	2	2	0.6	422.704303617538	1.81788469869571	88.3333333333333
431.222805488182	20.5	vision	431.226941258232	1.5	0.3	0.05	0	437.231665992393	2	1	0.5	444.220102647148	3.06880160875153	51.3333333333333
451.741490300334	20	vision	451.759033032271	1.5	0.7	0.05	0	455.745291743813	2	1	0.5	460.748951608981	2.41831375630863	63.3333333333333
471.760170913964	20	vision	471.77377170241	1.5	0.3	0.05	-1	478.762193740098	2	2	0.6	483.765922647592	3.21899416530141	73.6666666666667
491.778727749013	21	vision	491.788510372549	1.5	0.7	0.05	-1	498.776956357349	2	1	0.5	505.281756198368	3.56925986939677	61
