onset	duration	sample	value	event_code	feedback
0	n/a	0	break cnt	break cnt	n/a
127.988	n/a	63994	contrastChangeB3_start	96	n/a
138.22	n/a	69110	contrastTrial_start	5	n/a
142.624	n/a	71312	left_target	8	n/a
143.412	n/a	71706	left_buttonPress	12	smiley_face
145.05	n/a	72525	contrastTrial_start	5	n/a
151.052	n/a	75526	left_target	8	n/a
152.652	n/a	76326	left_buttonPress	12	smiley_face
153.452	n/a	76726	contrastTrial_start	5	n/a
157.892	n/a	78946	right_target	9	n/a
160.032	n/a	80016	left_buttonPress	12	sad_face
160.292	n/a	80146	contrastTrial_start	5	n/a
164.692	n/a	82346	left_target	8	n/a
166.402	n/a	83201	left_buttonPress	12	smiley_face
167.092	n/a	83546	contrastTrial_start	5	n/a
173.092	n/a	86546	right_target	9	n/a
174.102	n/a	87051	left_buttonPress	12	sad_face
175.492	n/a	87746	contrastTrial_start	5	n/a
175.512	n/a	87756	left_buttonPress	12	non_target
181.492	n/a	90746	right_target	9	n/a
183.764	n/a	91882	left_buttonPress	12	sad_face
183.894	n/a	91947	contrastTrial_start	5	n/a
186.692	n/a	93346	right_target	9	n/a
188.734	n/a	94367	left_buttonPress	12	sad_face
189.092	n/a	94546	contrastTrial_start	5	n/a
193.492	n/a	96746	left_target	8	n/a
195.774	n/a	97887	left_buttonPress	12	smiley_face
195.892	n/a	97946	contrastTrial_start	5	n/a
198.692	n/a	99346	right_target	9	n/a
200.264	n/a	100132	left_buttonPress	12	sad_face
201.094	n/a	100547	contrastTrial_start	5	n/a
207.094	n/a	103547	left_target	8	n/a
208.292	n/a	104146	left_buttonPress	12	smiley_face
209.492	n/a	104746	contrastTrial_start	5	n/a
213.892	n/a	106946	right_target	9	n/a
216.212	n/a	108106	left_buttonPress	12	sad_face
216.292	n/a	108146	contrastTrial_start	5	n/a
220.692	n/a	110346	left_target	8	n/a
222.084	n/a	111042	left_buttonPress	12	smiley_face
223.094	n/a	111547	contrastTrial_start	5	n/a
225.894	n/a	112947	left_target	8	n/a
227.374	n/a	113687	left_buttonPress	12	smiley_face
228.294	n/a	114147	contrastTrial_start	5	n/a
234.294	n/a	117147	right_target	9	n/a
236.694	n/a	118347	contrastTrial_start	5	n/a
242.694	n/a	121347	right_target	9	n/a
244.704	n/a	122352	left_buttonPress	12	sad_face
245.092	n/a	122546	contrastTrial_start	5	n/a
249.494	n/a	124747	right_target	9	n/a
251.354	n/a	125677	left_buttonPress	12	sad_face
251.894	n/a	125947	contrastTrial_start	5	n/a
254.692	n/a	127346	left_target	8	n/a
256.254	n/a	128127	left_buttonPress	12	smiley_face
257.094	n/a	128547	contrastTrial_start	5	n/a
259.892	n/a	129946	right_target	9	n/a
262.024	n/a	131012	left_buttonPress	12	sad_face
262.294	n/a	131147	contrastTrial_start	5	n/a
266.394	n/a	133197	left_buttonPress	12	non_target
268.294	n/a	134147	left_target	8	n/a
269.714	n/a	134857	left_buttonPress	12	smiley_face
270.694	n/a	135347	contrastTrial_start	5	n/a
273.494	n/a	136747	left_target	8	n/a
275.894	n/a	137947	contrastTrial_start	5	n/a
278.694	n/a	139347	right_target	9	n/a
280.114	n/a	140057	left_buttonPress	12	sad_face
281.094	n/a	140547	contrastTrial_start	5	n/a
285.494	n/a	142747	right_target	9	n/a
285.964	n/a	142982	left_buttonPress	12	sad_face
286.804	n/a	143402	left_buttonPress	12	non_target
287.894	n/a	143947	contrastTrial_start	5	n/a
290.692	n/a	145346	left_target	8	n/a
292.664	n/a	146332	left_buttonPress	12	smiley_face
293.094	n/a	146547	contrastTrial_start	5	n/a
299.094	n/a	149547	left_target	8	n/a
299.544	n/a	149772	left_buttonPress	12	smiley_face
301.494	n/a	150747	contrastTrial_start	5	n/a
308.004	n/a	154002	break cnt	break cnt	n/a
338.706	n/a	169353	9999	9999	n/a
