onset	duration	sample	value	event_code	feedback
0	n/a	0	break cnt	break cnt	n/a
184.85	n/a	92425	contrastChangeB2_start	95	n/a
190.666	n/a	95333	contrastTrial_start	5	n/a
193.468	n/a	96734	left_target	8	n/a
195.288	n/a	97644	left_buttonPress	12	smiley_face
195.868	n/a	97934	contrastTrial_start	5	n/a
198.668	n/a	99334	left_target	8	n/a
201.038	n/a	100519	left_buttonPress	12	smiley_face
201.068	n/a	100534	contrastTrial_start	5	n/a
205.468	n/a	102734	left_target	8	n/a
207.228	n/a	103614	left_buttonPress	12	smiley_face
207.868	n/a	103934	contrastTrial_start	5	n/a
210.668	n/a	105334	right_target	9	n/a
213.068	n/a	106534	contrastTrial_start	5	n/a
219.068	n/a	109534	left_target	8	n/a
220.968	n/a	110484	left_buttonPress	12	smiley_face
221.468	n/a	110734	contrastTrial_start	5	n/a
222.488	n/a	111244	left_buttonPress	12	non_target
223.378	n/a	111689	right_buttonPress	13	non_target
227.478	n/a	113739	right_target	9	n/a
229.418	n/a	114709	left_buttonPress	12	sad_face
229.838	n/a	114919	right_buttonPress	13	non_target
229.878	n/a	114939	contrastTrial_start	5	n/a
235.878	n/a	117939	right_target	9	n/a
237.788	n/a	118894	right_buttonPress	13	smiley_face
238.278	n/a	119139	contrastTrial_start	5	n/a
242.678	n/a	121339	right_target	9	n/a
245.08	n/a	122540	contrastTrial_start	5	n/a
251.08	n/a	125540	left_target	8	n/a
252.85	n/a	126425	left_buttonPress	12	smiley_face
253.48	n/a	126740	contrastTrial_start	5	n/a
257.88	n/a	128940	left_target	8	n/a
259.98	n/a	129990	left_buttonPress	12	smiley_face
260.28	n/a	130140	contrastTrial_start	5	n/a
264.68	n/a	132340	left_target	8	n/a
267.07	n/a	133535	left_buttonPress	12	smiley_face
267.08	n/a	133540	contrastTrial_start	5	n/a
269.88	n/a	134940	left_target	8	n/a
271.87	n/a	135935	left_buttonPress	12	smiley_face
272.28	n/a	136140	contrastTrial_start	5	n/a
276.68	n/a	138340	right_target	9	n/a
278.73	n/a	139365	right_buttonPress	13	smiley_face
279.08	n/a	139540	contrastTrial_start	5	n/a
285.08	n/a	142540	left_target	8	n/a
287.32	n/a	143660	left_buttonPress	12	smiley_face
287.48	n/a	143740	contrastTrial_start	5	n/a
291.88	n/a	145940	left_target	8	n/a
294	n/a	147000	left_buttonPress	12	smiley_face
294.28	n/a	147140	contrastTrial_start	5	n/a
297.08	n/a	148540	left_target	8	n/a
299.05	n/a	149525	left_buttonPress	12	smiley_face
299.48	n/a	149740	contrastTrial_start	5	n/a
302.28	n/a	151140	right_target	9	n/a
304.68	n/a	152340	contrastTrial_start	5	n/a
304.69	n/a	152345	right_buttonPress	13	non_target
307.48	n/a	153740	right_target	9	n/a
309.88	n/a	154940	contrastTrial_start	5	n/a
310.1	n/a	155050	left_buttonPress	12	non_target
314.28	n/a	157140	right_target	9	n/a
315.99	n/a	157995	right_buttonPress	13	smiley_face
316.68	n/a	158340	contrastTrial_start	5	n/a
319.48	n/a	159740	right_target	9	n/a
321.88	n/a	160940	contrastTrial_start	5	n/a
326.28	n/a	163140	right_target	9	n/a
328.06	n/a	164030	right_buttonPress	13	smiley_face
328.68	n/a	164340	contrastTrial_start	5	n/a
334.68	n/a	167340	left_target	8	n/a
336.502	n/a	168251	left_buttonPress	12	smiley_face
337.082	n/a	168541	contrastTrial_start	5	n/a
343.082	n/a	171541	right_target	9	n/a
345.482	n/a	172741	contrastTrial_start	5	n/a
345.542	n/a	172771	right_buttonPress	13	non_target
351.482	n/a	175741	right_target	9	n/a
353.372	n/a	176686	right_buttonPress	13	smiley_face
353.882	n/a	176941	contrastTrial_start	5	n/a
360.274	n/a	180137	break cnt	break cnt	n/a
453.092	n/a	226546	9999	9999	n/a
