onset	duration	sample	value	event_code	user_answer	correct_answer	target_count
0	n/a	0	break cnt	break cnt	n/a	n/a	6
96.446	n/a	48223	seqLearning_start	91	n/a	n/a	6
103.754	n/a	51877	learningBlock_1	31	n/a	n/a	6
103.77	n/a	51885	dot_no1_ON	11	n/a	n/a	6
104.328	n/a	52164	dot_no1_OFF	21	n/a	n/a	6
105.642	n/a	52821	dot_no6_ON	16	n/a	n/a	6
106.194	n/a	53097	dot_no6_OFF	26	n/a	n/a	6
107.506	n/a	53753	dot_no4_ON	14	n/a	n/a	6
108.06	n/a	54030	dot_no4_OFF	24	n/a	n/a	6
109.372	n/a	54686	dot_no2_ON	12	n/a	n/a	6
109.924	n/a	54962	dot_no2_OFF	22	n/a	n/a	6
111.238	n/a	55619	dot_no3_ON	13	n/a	n/a	6
111.79	n/a	55895	dot_no3_OFF	23	n/a	n/a	6
113.102	n/a	56551	dot_no5_ON	15	n/a	n/a	6
113.652	n/a	56826	dot_no5_OFF	25	n/a	n/a	6
114.964	n/a	57482	dot_no2_ON	12	n/a	n/a	6
115.516	n/a	57758	dot_no2_OFF	22	6-5-1-4-2-3-6	1-6-4-2-3-5-2	6
141.718	n/a	70859	learningBlock_2	32	n/a	n/a	6
141.726	n/a	70863	dot_no1_ON	11	n/a	n/a	6
142.282	n/a	71141	dot_no1_OFF	21	n/a	n/a	6
143.594	n/a	71797	dot_no6_ON	16	n/a	n/a	6
144.148	n/a	72074	dot_no6_OFF	26	n/a	n/a	6
145.46	n/a	72730	dot_no4_ON	14	n/a	n/a	6
146.014	n/a	73007	dot_no4_OFF	24	n/a	n/a	6
147.326	n/a	73663	dot_no2_ON	12	n/a	n/a	6
147.88	n/a	73940	dot_no2_OFF	22	n/a	n/a	6
149.194	n/a	74597	dot_no3_ON	13	n/a	n/a	6
149.746	n/a	74873	dot_no3_OFF	23	n/a	n/a	6
151.06	n/a	75530	dot_no5_ON	15	n/a	n/a	6
151.61	n/a	75805	dot_no5_OFF	25	n/a	n/a	6
152.924	n/a	76462	dot_no2_ON	12	n/a	n/a	6
153.476	n/a	76738	dot_no2_OFF	22	2-3-5-1-6-4-2	1-6-4-2-3-5-2	6
176.302	n/a	88151	learningBlock_3	33	n/a	n/a	6
176.308	n/a	88154	dot_no1_ON	11	n/a	n/a	6
176.86	n/a	88430	dot_no1_OFF	21	n/a	n/a	6
178.174	n/a	89087	dot_no6_ON	16	n/a	n/a	6
178.728	n/a	89364	dot_no6_OFF	26	n/a	n/a	6
180.04	n/a	90020	dot_no4_ON	14	n/a	n/a	6
180.592	n/a	90296	dot_no4_OFF	24	n/a	n/a	6
181.906	n/a	90953	dot_no2_ON	12	n/a	n/a	6
182.456	n/a	91228	dot_no2_OFF	22	n/a	n/a	6
183.77	n/a	91885	dot_no3_ON	13	n/a	n/a	6
184.322	n/a	92161	dot_no3_OFF	23	n/a	n/a	6
185.634	n/a	92817	dot_no5_ON	15	n/a	n/a	6
186.186	n/a	93093	dot_no5_OFF	25	n/a	n/a	6
187.498	n/a	93749	dot_no2_ON	12	n/a	n/a	6
188.052	n/a	94026	dot_no2_OFF	22	6-4-1-2-3-5-3	1-6-4-2-3-5-2	6
219.874	n/a	109937	learningBlock_4	34	n/a	n/a	6
219.882	n/a	109941	dot_no1_ON	11	n/a	n/a	6
220.434	n/a	110217	dot_no1_OFF	21	n/a	n/a	6
221.748	n/a	110874	dot_no6_ON	16	n/a	n/a	6
222.3	n/a	111150	dot_no6_OFF	26	n/a	n/a	6
223.614	n/a	111807	dot_no4_ON	14	n/a	n/a	6
224.164	n/a	112082	dot_no4_OFF	24	n/a	n/a	6
225.48	n/a	112740	dot_no2_ON	12	n/a	n/a	6
226.032	n/a	113016	dot_no2_OFF	22	n/a	n/a	6
227.344	n/a	113672	dot_no3_ON	13	n/a	n/a	6
227.898	n/a	113949	dot_no3_OFF	23	n/a	n/a	6
229.21	n/a	114605	dot_no5_ON	15	n/a	n/a	6
229.76	n/a	114880	dot_no5_OFF	25	n/a	n/a	6
231.076	n/a	115538	dot_no2_ON	12	n/a	n/a	6
231.628	n/a	115814	dot_no2_OFF	22	1-4-6-3-2-5-2	1-6-4-2-3-5-2	6
246.198	n/a	123099	learningBlock_5	35	n/a	n/a	6
246.206	n/a	123103	dot_no1_ON	11	n/a	n/a	6
246.758	n/a	123379	dot_no1_OFF	21	n/a	n/a	6
248.07	n/a	124035	dot_no6_ON	16	n/a	n/a	6
248.62	n/a	124310	dot_no6_OFF	26	n/a	n/a	6
249.932	n/a	124966	dot_no4_ON	14	n/a	n/a	6
250.486	n/a	125243	dot_no4_OFF	24	n/a	n/a	6
251.8	n/a	125900	dot_no2_ON	12	n/a	n/a	6
252.35	n/a	126175	dot_no2_OFF	22	n/a	n/a	6
253.664	n/a	126832	dot_no3_ON	13	n/a	n/a	6
254.214	n/a	127107	dot_no3_OFF	23	n/a	n/a	6
255.528	n/a	127764	dot_no5_ON	15	n/a	n/a	6
256.082	n/a	128041	dot_no5_OFF	25	n/a	n/a	6
257.396	n/a	128698	dot_no2_ON	12	n/a	n/a	6
257.95	n/a	128975	dot_no2_OFF	22	4-6-1-5-2-3-4	1-6-4-2-3-5-2	6
273.278	n/a	136639	seqLearning_stop	50	n/a	n/a	6
275.205	n/a	137602.5	boundary	boundary	n/a	n/a	6
