onset	duration	accuracy	response_time	image
12.004	2	0	0	-9
18.002	2	1	0.807	10
20.068	2	1	0.942	-11
26.015	2	1	0.876	54
28.081	2	0	1.154	1
34.012	2	1	1.084	2
38.011	2	1	0.654	-4
44.009	2	1	0.634	-21
50.006	2	0	0.531	-22
54.005	2	1	0.862	23
60.003	2	1	0.743	-5
62.068	2	1	1.318	-6
66.017	2	1	0.705	7
70.015	2	1	1.269	-49
74.014	2	1	0.74	17
76.08	2	1	0.731	18
82.011	2	1	0.751	-20
86.009	2	0	0	-50
88.059	2	0	0	13
94.006	2	1	1.917	-14
98.005	2	1	0.599	16
100.071	2	1	0.642	52
106.002	2	1	0.712	-5
112.016	2	0	0	-6
116.015	2	1	0.789	8
120.013	2	1	0.822	-53
122.062	2	1	0.676	-21
124.128	2	0	0.651	-22
128.01	2	1	1.168	24
132.009	2	1	0.761	13
134.074	2	1	0.785	-14
138.006	2	1	0.501	15
144.004	2	0	1.223	17
146.07	2	0	0.024	18
152.018	2	1	0.895	-19
154.083	2	0	0	51
158.015	2	1	1.043	-9
160.081	2	1	0.632	10
162.147	2	0	1.943	-12
164.196	2	1	0.026	1
166.262	2	1	0.758	2
170.011	2	1	0.641	-3
176.008	2	0	0	17
178.058	2	1	1.146	18
182.006	2	1	0.668	-19
184.072	2	0	0	-50
190.003	2	1	0.574	-21
192.069	2	0	0.548	-22
194.135	2	1	0.626	24
196.201	2	1	0.609	51
200.016	2	1	0.723	13
206.014	2	0	0	-14
208.08	2	0	0.62	16
212.011	2	1	0.88	-9
218.009	2	1	0.639	10
222.008	2	1	0.811	-11
224.074	2	1	0.831	54
226.139	2	1	0.798	-5
228.205	2	0	0	-6
230.271	2	1	0.5	7
234.003	2	0	0.967	52
236.069	2	1	0.791	-21
242.017	2	0	0.795	-22
244.099	2	0	0.888	23
246.182	2	0	0	1
252.013	2	1	0.855	2
254.096	2	0	0	-4
256.161	2	0	0.097	13
258.244	2	1	0.591	-14
260.326	2	1	0.829	15
262.409	2	1	0.595	-9
264.492	2	1	0.533	10
268.007	2	1	0.666	-12
274.005	2	0	0.862	1
276.087	2	1	0.85	2
278.17	2	0	0	-3
280.236	2	0	0	-53
286.017	2	1	1.002	17
288.099	2	1	0.673	18
292.014	2	1	0.597	-20
294.097	2	0	0	-49
296.163	2	1	0.496	-5
302.011	2	0	0.719	-6
304.093	2	1	0.694	8
