onset	duration	accuracy	response_time	image
12.013	2	1	0	40
19.011	2	1	0	59
26.008	2	1	0	-22
33.005	2	1	0	32
37.004	2	1	0	-4
42.019	2	1	0	58
48.016	2	1	0	-57
54.014	2	1	0	-36
58.013	2	1	0	-28
63.011	2	1	0	-12
67.009	2	1	0	-60
71.008	2	1	0.995	-14
77.005	2	1	0	2
81.004	2	1	0	-38
86.019	2	1	0	16
90.017	2	1	0	18
94.016	2	1	0	8
101.013	2	1	0	-44
108.01	2	1	0	48
114.008	2	1	0.777	-6
118.007	2	1	0	34
125.004	2	1	0	26
131.018	2	1	0	10
138.016	2	1	0	-30
144.013	2	1	1.78	-38
148.012	2	1	0	-6
152.01	2	1	0	-14
157.008	2	1	0.73	-30
161.007	2	1	0	56
165.005	2	1	0	-20
171.003	2	1	0	24
175.018	2	1	0	-55
179.017	2	1	0	42
186.014	2	1	0	-46
190.012	2	1	0	-30
196.01	2	1	0	-55
200.009	2	1	0	40
204.007	2	1	0	8
208.006	2	1	0	-44
214.003	2	1	0	-38
218.002	2	1	0	56
223.017	2	1	0	58
227.015	2	1	0	-12
232.013	2	1	0	-4
237.011	2	1	0	34
242.009	2	1	0	-20
246.008	2	1	0	-60
250.006	2	1	0	42
254.005	2	1	0	59
261.002	2	1	0	-28
267.017	2	1	0	10
271.015	2	1	0	-22
278.013	2	1	0	16
283.011	2	1	0.663	-4
287.009	2	1	0	-46
291.008	2	1	0	26
295.006	2	1	0	2
299.005	2	1	0	-14
305.002	2	1	0	-57
309.017	2	1	0	24
314.015	2	1	0	48
318.014	2	1	0	-36
323.012	2	1	0	18
329.01	2	1	0	32
333.008	2	1	0	-6
338.006	2	1	0	2
342.005	2	1	1.462	-12
348.003	2	1	0	48
355.017	2	1	0	-44
361.014	2	1	0	32
366.012	2	1	0	16
370.011	2	1	0	-57
376.009	2	1	0	-36
381.007	2	1	0	-22
387.004	2	1	0	56
391.003	2	1	0	-55
397.017	2	1	0	-12
404.015	2	1	0	-30
411.012	2	1	0	18
415.011	2	1	0.671	-28
419.009	2	1	0	-38
425.007	2	1	0	8
431.004	2	1	0	-14
436.002	2	1	0	-20
443.017	2	1	0	24
447.015	2	1	0	58
451.014	2	0	0.75	-46
457.011	2	1	0	-28
461.01	2	1	0	59
465.008	2	1	0	-6
469.007	2	1	0	-60
473.005	2	1	0	34
477.004	2	1	0	40
484.018	2	1	0	42
489.016	2	1	1.139	-36
494.014	2	1	0	-4
500.012	2	1	0	26
506.009	2	1	0	10
513.007	2	0	0	-53
518.005	2	1	0	26
525.002	2	1	0	-38
532.016	2	1	0	-20
539.013	2	1	0	-14
543.012	2	1	0	18
550.009	2	1	0	-6
554.008	2	1	0	40
560.006	2	1	0	-55
567.003	2	1	0	-22
573.017	2	1	0	-28
579.015	2	1	0	42
585.013	2	1	0	16
589.011	2	1	0	24
593.01	2	1	0	8
598.008	2	1	0	-46
605.005	2	1	0	2
609.003	2	1	0.689	-50
613.002	2	1	0	-12
618.017	2	1	0	-30
625.014	2	1	0	58
629.013	2	1	0	-36
634.011	2	1	0	56
639.009	2	1	0	-60
644.007	2	1	0	-4
651.004	2	1	0	48
656.002	2	1	0	-57
660.018	2	1	0	32
667.015	2	1	0	-44
672.013	2	1	0	59
676.011	2	1	0	10
681.01	2	1	0	34
