onset	duration	sample	type	value
0	0.0002	1	New Segment	n/a
44.3786	0.0002	221894	Stimulus	A
44.3786	0.0002	221894	Stimulus	S100
48.4616	0.0002	242309	Stimulus	A
48.4616	0.0002	242309	Stimulus	S100
62.4926	0.0002	312464	Stimulus	A
62.4926	0.0002	312464	Stimulus	S100
66.9904	0.0002	334953	Stimulus	A
66.9904	0.0002	334953	Stimulus	S100
71.9922	0.0002	359962	Stimulus	A
71.9922	0.0002	359962	Stimulus	S100
79.2888	0.0002	396445	Stimulus	A
79.2888	0.0002	396445	Stimulus	S100
84.9374	0.0002	424688	Stimulus	A
84.9374	0.0002	424688	Stimulus	S100
93.2794	0.0002	466398	Stimulus	A
93.2794	0.0002	466398	Stimulus	S100
100.37	0.0002	501851	Stimulus	A
100.37	0.0002	501851	Stimulus	S100
105.111	0.0002	525556	Stimulus	A
105.111	0.0002	525556	Stimulus	S100
112.4864	0.0002	562433	Stimulus	A
112.4864	0.0002	562433	Stimulus	S100
118.9852	0.0002	594927	Stimulus	A
118.9852	0.0002	594927	Stimulus	S100
122.7994	0.0002	613998	Stimulus	A
122.7994	0.0002	613998	Stimulus	S100
126.8962	0.0002	634482	Stimulus	A
126.8962	0.0002	634482	Stimulus	S100
132.6702	0.0002	663352	Stimulus	A
132.6702	0.0002	663352	Stimulus	S100
146.3484	0.0002	731743	Stimulus	A
146.3484	0.0002	731743	Stimulus	S100
154.2896	0.0002	771449	Stimulus	A
154.2896	0.0002	771449	Stimulus	S100
166.387	0.0002	831936	Stimulus	A
166.387	0.0002	831936	Stimulus	S100
182.3676	0.0002	911839	Stimulus	A
182.3676	0.0002	911839	Stimulus	S100
202.0754	0.0002	1010378	Stimulus	A
202.0756	0.0002	1010379	Stimulus	S100
211.1628	0.0002	1055815	Stimulus	A
211.1628	0.0002	1055815	Stimulus	S100
219.9852	0.0002	1099927	Stimulus	A
219.9852	0.0002	1099927	Stimulus	S100
225.918	0.0002	1129591	Stimulus	A
225.918	0.0002	1129591	Stimulus	S100
241.1434	0.0002	1205718	Stimulus	A
241.1434	0.0002	1205718	Stimulus	S100
245.9672	0.0002	1229837	Stimulus	A
245.9672	0.0002	1229837	Stimulus	S100
