onset	duration	sample	type	value
0	0.0002	1	New Segment	n/a
8.2722	0.0002	41362	Stimulus	A
12.1748	0.0002	60875	Stimulus	A
15.8084	0.0002	79043	Stimulus	A
19.1478	0.0002	95740	Stimulus	A
22.4982	0.0002	112492	Stimulus	A
26.225	0.0002	131126	Stimulus	A
30.1228	0.0002	150615	Stimulus	A
34.0106	0.0002	170054	Stimulus	A
37.7916	0.0002	188959	Stimulus	A
41.4344	0.0002	207173	Stimulus	A
44.52	0.0002	222601	Stimulus	A
47.6828	0.0002	238415	Stimulus	A
51.5824	0.0002	257913	Stimulus	A
55.1894	0.0002	275948	Stimulus	A
58.1992	0.0002	290997	Stimulus	A
61.3022	0.0002	306512	Stimulus	A
64.9666	0.0002	324834	Stimulus	A
67.9722	0.0002	339862	Stimulus	A
71.1336	0.0002	355669	Stimulus	A
74.6828	0.0002	373415	Stimulus	A
78.3752	0.0002	391877	Stimulus	A
82.0278	0.0002	410140	Stimulus	A
85.2526	0.0002	426264	Stimulus	A
88.9652	0.0002	444827	Stimulus	A
92.203	0.0002	461016	Stimulus	A
