onset	duration	sample	type	value
0	0.0002	1	New Segment	n/a
1.2534	0.0002	6268	Stimulus	A
4.376	0.0002	21881	Stimulus	A
8.2396	0.0002	41199	Stimulus	A
11.7246	0.0002	58624	Stimulus	A
15.5702	0.0002	77852	Stimulus	A
18.7802	0.0002	93902	Stimulus	A
22.333	0.0002	111666	Stimulus	A
25.9634	0.0002	129818	Stimulus	A
28.996	0.0002	144981	Stimulus	A
32.6118	0.0002	163060	Stimulus	A
35.9748	0.0002	179875	Stimulus	A
39.0256	0.0002	195129	Stimulus	A
42.5164	0.0002	212583	Stimulus	A
45.7096	0.0002	228549	Stimulus	A
48.8332	0.0002	244167	Stimulus	A
52.0396	0.0002	260199	Stimulus	A
55.1874	0.0002	275938	Stimulus	A
58.377	0.0002	291886	Stimulus	A
61.4202	0.0002	307102	Stimulus	A
65.0558	0.0002	325280	Stimulus	A
68.3388	0.0002	341695	Stimulus	A
71.8778	0.0002	359390	Stimulus	A
75.5736	0.0002	377869	Stimulus	A
79.0734	0.0002	395368	Stimulus	A
82.6104	0.0002	413053	Stimulus	A
86.0562	0.0002	430282	Stimulus	A
89.1806	0.0002	445904	Stimulus	A
92.6716	0.0002	463359	Stimulus	A
96.5252	0.0002	482627	Stimulus	A
100.4	0.0002	502001	Stimulus	A
103.671	0.0002	518356	Stimulus	A
106.8802	0.0002	534402	Stimulus	A
110.446	0.0002	552231	Stimulus	A
114.087	0.0002	570436	Stimulus	A
117.5048	0.0002	587525	Stimulus	A
120.7114	0.0002	603558	Stimulus	A
124.6598	0.0002	623300	Stimulus	A
127.7426	0.0002	638714	Stimulus	A
130.8492	0.0002	654247	Stimulus	A
133.9918	0.0002	669960	Stimulus	A
137.159	0.0002	685796	Stimulus	A
140.7806	0.0002	703904	Stimulus	A
144.355	0.0002	721776	Stimulus	A
147.4076	0.0002	737039	Stimulus	A
151.3394	0.0002	756698	Stimulus	A
155.0686	0.0002	775344	Stimulus	A
158.807	0.0002	794036	Stimulus	A
161.871	0.0002	809356	Stimulus	A
165.7326	0.0002	828664	Stimulus	A
169.6682	0.0002	848342	Stimulus	A
173.6538	0.0002	868270	Stimulus	A
177.5136	0.0002	887569	Stimulus	A
181.3	0.0002	906501	Stimulus	A
184.8138	0.0002	924070	Stimulus	A
187.9926	0.0002	939964	Stimulus	A
191.392	0.0002	956961	Stimulus	A
194.5272	0.0002	972637	Stimulus	A
197.5586	0.0002	987794	Stimulus	A
201.4986	0.0002	1007494	Stimulus	A
204.8006	0.0002	1024004	Stimulus	A
208.0966	0.0002	1040484	Stimulus	A
211.4302	0.0002	1057152	Stimulus	A
214.8978	0.0002	1074490	Stimulus	A
218.5466	0.0002	1092734	Stimulus	A
221.5724	0.0002	1107863	Stimulus	A
225.416	0.0002	1127081	Stimulus	A
228.9762	0.0002	1144882	Stimulus	A
232.8308	0.0002	1164155	Stimulus	A
236.1796	0.0002	1180899	Stimulus	A
239.6262	0.0002	1198132	Stimulus	A
242.6814	0.0002	1213408	Stimulus	A
245.859	0.0002	1229296	Stimulus	A
249.5224	0.0002	1247613	Stimulus	A
252.8538	0.0002	1264270	Stimulus	A
256.753	0.0002	1283766	Stimulus	A
259.8718	0.0002	1299360	Stimulus	A
263.861	0.0002	1319306	Stimulus	A
267.4014	0.0002	1337008	Stimulus	A
271.109	0.0002	1355546	Stimulus	A
275.1088	0.0002	1375545	Stimulus	A
278.3976	0.0002	1391989	Stimulus	A
281.8126	0.0002	1409064	Stimulus	A
285.2782	0.0002	1426392	Stimulus	A
289.043	0.0002	1445216	Stimulus	A
292.8618	0.0002	1464310	Stimulus	A
295.9626	0.0002	1479814	Stimulus	A
299.1414	0.0002	1495708	Stimulus	A
302.5016	0.0002	1512509	Stimulus	A
305.559	0.0002	1527796	Stimulus	A
309.0816	0.0002	1545409	Stimulus	A
312.4182	0.0002	1562092	Stimulus	A
315.595	0.0002	1577976	Stimulus	A
318.8046	0.0002	1594024	Stimulus	A
322.7104	0.0002	1613553	Stimulus	A
326.3864	0.0002	1631933	Stimulus	A
329.8554	0.0002	1649278	Stimulus	A
333.7682	0.0002	1668842	Stimulus	A
336.8728	0.0002	1684365	Stimulus	A
340.6192	0.0002	1703097	Stimulus	A
344.356	0.0002	1721781	Stimulus	A
