onset	duration	trial_type	onset_response	response_time	news_no	news_type	value
0.032	4.967	intro&rest	n/a	n/a	n/a	n/a	n/a
5.099	17.9	realrating	23.098	3	108	R	2
26.132	2.169	fixations	n/a	n/a	n/a	n/a	n/a
28.415	17.886	realrating	46.414	3	94	R	3
49.448	1.758	fixations	n/a	n/a	n/a	n/a	n/a
51.314	17.892	realrating	69.314	3	103	R	3
72.347	1.314	fixations	n/a	n/a	n/a	n/a	n/a
73.78	17.881	realrating	91.763	3	28	R	3
94.796	1.399	fixations	n/a	n/a	n/a	n/a	n/a
96.296	17.899	realrating	114.296	3	107	R	4
117.329	2.034	fixations	n/a	n/a	n/a	n/a	n/a
119.462	17.901	realrating	137.462	3	27	R	2
140.495	1.312	fixations	n/a	n/a	n/a	n/a	n/a
141.912	17.895	realrating	159.911	3	24	R	2
162.944	2.049	fixations	n/a	n/a	n/a	n/a	n/a
165.094	17.899	realrating	183.094	3	105	R	2
186.127	1.423	fixations	n/a	n/a	n/a	n/a	n/a
187.66	17.89	realrating	205.66	3	100	R	3
208.693	2.159	fixations	n/a	n/a	n/a	n/a	n/a
210.943	17.909	realrating	228.959	3	104	R	2
231.876	2.555	fixations	n/a	n/a	n/a	n/a	n/a
234.459	4.972	intro&rest	n/a	n/a	n/a	n/a	n/a
239.542	17.889	fakerating	257.542	3	127	F	1
260.575	2.505	fixations	n/a	n/a	n/a	n/a	n/a
263.175	17.905	fakerating	281.174	3	128	F	3
284.208	1.63	fixations	n/a	n/a	n/a	n/a	n/a
285.941	17.897	fakerating	303.94	3	131	F	1
306.974	2.274	fixations	n/a	n/a	n/a	n/a	n/a
309.357	17.891	fakerating	327.356	3	57	F	1
330.39	2.573	fixations	n/a	n/a	n/a	n/a	n/a
333.056	17.907	fakerating	351.056	3	58	F	1
354.089	1.945	fixations	n/a	n/a	n/a	n/a	n/a
356.139	17.895	fakerating	374.138	3	61	F	2
377.172	2.146	fixations	n/a	n/a	n/a	n/a	n/a
379.405	17.913	fakerating	397.421	3	72	F	1
400.454	1.897	fixations	n/a	n/a	n/a	n/a	n/a
402.454	17.897	fakerating	420.454	3	74	F	1
423.487	1.911	fixations	n/a	n/a	n/a	n/a	n/a
425.503	17.895	fakerating	443.503	3	85	F	1
446.536	2.461	fixations	n/a	n/a	n/a	n/a	n/a
449.086	17.911	fakerating	467.086	3	91	F	1
470.119	2.144	fixations	n/a	n/a	n/a	n/a	n/a
472.302	4.961	intro&rest	n/a	n/a	n/a	n/a	n/a
477.369	17.894	fakerating	495.368	3	53	F	2
498.401	1.559	fixations	n/a	n/a	n/a	n/a	n/a
500.068	17.892	fakerating	518.067	3	33	F	1
521.101	2.459	fixations	n/a	n/a	n/a	n/a	n/a
523.667	17.893	fakerating	541.667	3	62	F	2
544.7	2.144	fixations	n/a	n/a	n/a	n/a	n/a
546.933	17.911	fakerating	564.933	3	63	F	2
567.966	2.059	fixations	n/a	n/a	n/a	n/a	n/a
570.116	17.909	fakerating	588.115	3	36	F	1
591.149	1.686	fixations	n/a	n/a	n/a	n/a	n/a
592.932	17.903	fakerating	610.931	3	75	F	1
613.965	2.286	fixations	n/a	n/a	n/a	n/a	n/a
616.348	17.903	fakerating	634.347	3	76	F	1
637.381	1.874	fixations	n/a	n/a	n/a	n/a	n/a
639.347	17.908	fakerating	657.363	3	77	F	1
660.397	1.43	fixations	n/a	n/a	n/a	n/a	n/a
661.93	17.897	fakerating	679.929	3	89	F	1
682.963	2.483	fixations	n/a	n/a	n/a	n/a	n/a
685.546	17.9	fakerating	703.545	3	90	F	1
706.579	1.623	fixations	n/a	n/a	n/a	n/a	n/a
708.229	4.973	intro&rest	n/a	n/a	n/a	n/a	n/a
713.295	17.907	realrating	731.295	3	102	R	4
734.295	2.042	fixations	n/a	n/a	n/a	n/a	n/a
736.444	17.892	realrating	754.444	3	112	R	2
757.444	1.508	fixations	n/a	n/a	n/a	n/a	n/a
759.06	17.891	realrating	777.043	3	121	R	3
780.043	2.601	fixations	n/a	n/a	n/a	n/a	n/a
782.743	17.9	realrating	800.743	3	116	R	2
803.743	2.172	fixations	n/a	n/a	n/a	n/a	n/a
806.01	17.904	realrating	824.025	3	134	R	4
827.025	1.919	fixations	n/a	n/a	n/a	n/a	n/a
829.042	17.901	realrating	847.041	3	114	R	6
850.041	1.712	fixations	n/a	n/a	n/a	n/a	n/a
851.858	17.894	realrating	869.857	3	118	R	2
872.857	2.734	fixations	n/a	n/a	n/a	n/a	n/a
875.69	17.9	realrating	893.69	3	113	R	4
896.69	1.762	fixations	n/a	n/a	n/a	n/a	n/a
898.556	17.895	realrating	916.556	3	115	R	3
919.556	1.479	fixations	n/a	n/a	n/a	n/a	n/a
921.139	17.895	realrating	939.138	3	119	R	2
942.138	2.121	fixations	n/a	n/a	n/a	n/a	n/a
944.288	2.97	intro&rest	n/a	n/a	n/a	n/a	n/a
