onset	duration	trial_type
3.79	0	Gaze_1
10.7	0	Cubes_1
17.07	0	Iris_2
22.37	0	Gaze_3
28.86	0	Cubes_2
35.86	0	Cubes_2
42.92	0	Iris_3
48.44	0	Gaze_1
55.79	0	Iris_2
63.38	0	Gaze_1
67.73	0	Iris_3
74.31	0	Gaze_2
80.14	0	Iris_1
87.74	0	Cubes_3
92.47	0	Iris_3
97.37	0	Gaze_2
103.38	0	Cubes_1
110.48	0	Gaze_3
116.68	0	Iris_1
123.43	0	Iris_3
128.61	0	Iris_1
135.54	0	Cubes_2
141.05	0	Gaze_1
147.07	0	Cubes_3
153.12	0	Iris_2
157.85	0	Gaze_2
164.14	0	Cubes_3
169.59	0	Cubes_2
175.16	0	Iris_3
180.94	0	Gaze_2
186.85	0	Iris_1
194.3	0	Cubes_3
201.81	0	Iris_2
207.01	0	Cubes_1
213.68	0	Cubes_2
220.15	0	Iris_3
227.64	0	Gaze_2
233.33	0	Iris_3
240.73	0	Cubes_1
248.23	0	Gaze_3
253.13	0	Cubes_3
258.82	0	Gaze_3
263.9	0	Cubes_3
270.85	0	Cubes_3
276.62	0	Cubes_2
281.52	0	Cubes_3
288.31	0	Cubes_3
295.41	0	Cubes_2
302.97	0	Iris_2
310.17	0	Iris_1
317.17	0	Gaze_1
323.22	0	Iris_2
330.8	0	Cubes_1
337.21	0	Gaze_1
344.66	0	Gaze_3
350.92	0	Iris_1
355.47	0	Gaze_2
360.57	0	Iris_2
367.87	0	Gaze_2
373.66	0	Iris_1
379.86	0	Gaze_3
385.94	0	Iris_3
391.17	0	Gaze_3
398.04	0	Cubes_1
409.95	0	Gaze_1
414.86	0	Cubes_1
421.26	0	Gaze_1
426.58	0	Cubes_1
433.09	0	Iris_2
439.12	0	Gaze_2
445.87	0	Iris_2
453.35	0	Cubes_2
458.03	0	Iris_1
463.91	0	Gaze_1
469.96	0	Iris_1
475.86	0	Cubes_2
483.34	0	Iris_3
489.62	0	Gaze_3
495.12	0	Gaze_3
501.61	0	Cubes_1
