onset	duration	trial_type
3.67	0	Cubes_2
9.4	0	Cubes_3
14.92	0	Cubes_2
21.83	0	Cubes_1
26.44	0	Cubes_1
31.01	0	Cubes_1
36.94	0	Cubes_1
44.44	0	Cubes_1
49.44	0	Cubes_3
54.52	0	Cubes_2
61.21	0	Cubes_2
67.11	0	Cubes_3
74.14	0	Cubes_1
79.96	0	Cubes_2
84.67	0	Cubes_2
90.89	0	Cubes_2
97.3	0	Cubes_1
104.3	0	Cubes_1
110.83	0	Cubes_3
115.76	0	Cubes_2
122.24	0	Cubes_2
127.22	0	Cubes_1
132.14	0	Cubes_1
139.68	0	Cubes_3
145.6	0	Cubes_1
152.7	0	Cubes_2
158.89	0	Cubes_3
165.81	0	Cubes_1
171.79	0	Cubes_2
177.5	0	Cubes_2
182.8	0	Cubes_1
190.22	0	Cubes_1
197.16	0	Cubes_3
204.18	0	Cubes_2
211.15	0	Cubes_2
216.6	0	Cubes_3
222.42	0	Cubes_3
227.4	0	Cubes_2
234.05	0	Cubes_3
239.63	0	Cubes_2
246.13	0	Cubes_2
253.14	0	Cubes_2
258.16	0	Cubes_1
264.37	0	Cubes_3
270.47	0	Cubes_2
277.58	0	Cubes_1
282.18	0	Cubes_1
287.33	0	Cubes_3
292.91	0	Cubes_1
299.66	0	Cubes_3
306.2	0	Cubes_1
311.32	0	Cubes_2
317.83	0	Cubes_3
324.23	0	Cubes_1
329.63	0	Cubes_3
335.44	0	Cubes_2
340.62	0	Cubes_3
346.24	0	Cubes_3
352.12	0	Cubes_3
358.63	0	Cubes_3
364.83	0	Cubes_2
370.56	0	Cubes_3
376.08	0	Cubes_2
382.97	0	Cubes_1
387.59	0	Cubes_1
392.1	0	Cubes_1
397.8	0	Cubes_1
405.33	0	Cubes_1
410.35	0	Cubes_3
415.46	0	Cubes_2
422.14	0	Cubes_2
428.07	0	Cubes_3
435.19	0	Cubes_1
440.89	0	Cubes_2
445.62	0	Cubes_2
451.78	0	Cubes_2
458.23	0	Cubes_1
465.19	0	Cubes_1
471.71	0	Cubes_3
476.6	0	Cubes_2
483.77	0	Cubes_2
