onset	duration	trial_type
24.259	n/a	Angry Block Beginning
24.259	2.5	Angry Congruent Left
29.511	2.5	Angry Congruent Left
32.131	2.5	Angry Incongruent Left
34.721	2.5	Angry Neutral Left
37.304	2.5	Angry Congruent Left
39.807	2.5	Angry Incongruent Right
42.477	2.5	Angry Incongruent Right
45.063	2.5	Angry Congruent Left
47.566	2.5	Angry Incongruent Right
50.171	2.5	Angry Congruent Right
52.756	2.5	Angry Incongruent Right
55.359	2.5	Angry Incongruent Right
57.862	2.5	Angry Incongruent Left
60.849	2.5	Angry Incongruent Left
63.485	2.5	Angry Neutral Right
66.076	2.5	Angry Incongruent Left
68.696	2.5	Angry Congruent Right
71.295	2.5	Angry Neutral Left
76.467	2.5	Angry Congruent Right
79.071	2.5	Angry Congruent Left
81.69	2.5	Angry Neutral Right
91.803	2.5	Angry Incongruent Left
94.423	2.5	Angry Congruent Right
99.495	2.5	Angry Incongruent Left
102.082	2.5	Angry Neutral Left
104.685	2.5	Angry Neutral Left
107.188	2.5	Angry Congruent Right
109.691	2.5	Angry Congruent Left
112.294	2.5	Angry Incongruent Right
114.797	2.5	Angry Incongruent Left
122.406	2.5	Angry Neutral Left
124.909	2.5	Angry Congruent Left
127.412	2.5	Angry Incongruent Right
129.998	2.5	Angry Congruent Right
132.601	2.5	Angry Neutral Right
135.104	2.5	Angry Congruent Right
140.194	2.5	Angry Incongruent Right
142.78	2.5	Angry Neutral Left
145.367	2.5	Angry Incongruent Right
147.923	2.5	Angry Neutral Left
150.423	2.5	Angry Congruent Left
152.926	2.5	Angry Incongruent Left
155.429	2.5	Angry Congruent Right
158.032	2.5	Angry Neutral Right
160.535	2.5	Angry Congruent Left
165.641	2.5	Angry Neutral Right
170.647	2.5	Angry Congruent Left
175.737	2.5	Angry Congruent Right
178.323	2.5	Angry Neutral Right
180.909	2.5	Angry Neutral Right
183.563	2.5	Angry Incongruent Right
186.066	2.5	Angry Incongruent Left
188.669	2.5	Angry Neutral Left
191.272	2.5	Angry Neutral Right
193.861	2.5	Angry Neutral Right
196.461	2.5	Angry Neutral Right
198.964	2.5	Angry Congruent Left
201.551	2.5	Angry Neutral Right
206.557	2.5	Angry Incongruent Right
211.563	2.5	Angry Incongruent Left
214.116	2.5	Angry Neutral Right
219.222	2.5	Angry Neutral Left
221.792	2.5	Angry Incongruent Left
224.445	2.5	Angry Neutral Left
229.451	2.5	Angry Congruent Right
231.954	2.5	Angry Congruent Right
236.96	2.5	Angry Incongruent Left
239.463	2.5	Angry Congruent Left
241.966	2.5	Angry Congruent Right
247.072	2.5	Angry Neutral Left
249.575	2.5	Angry Incongruent Right
252.162	2.5	Angry Neutral Left
276.674	n/a	Get Ready Blank Screen
278.276	n/a	Happy Block Beginning
278.276	2.5	Happy Congruent Right
283.366	2.5	Happy Congruent Right
288.372	2.5	Happy Neutral Left
290.975	2.5	Happy Incongruent Left
295.981	2.5	Happy Congruent Right
298.484	2.5	Happy Neutral Right
301.088	2.5	Happy Congruent Left
303.59	2.5	Happy Neutral Right
306.16	2.5	Happy Incongruent Left
311.249	2.5	Happy Congruent Right
313.752	2.5	Happy Neutral Left
316.255	2.5	Happy Neutral Left
323.864	2.5	Happy Congruent Left
326.451	2.5	Happy Congruent Left
328.954	2.5	Happy Neutral Right
331.544	2.5	Happy Incongruent Left
334.143	2.5	Happy Congruent Right
336.734	2.5	Happy Incongruent Right
339.286	2.5	Happy Congruent Left
341.786	2.5	Happy Neutral Right
344.289	2.5	Happy Neutral Left
349.295	2.5	Happy Neutral Right
351.864	2.5	Happy Congruent Right
354.368	2.5	Happy Incongruent Right
356.954	2.5	Happy Congruent Right
361.96	2.5	Happy Incongruent Right
366.966	2.5	Happy Incongruent Left
374.475	2.5	Happy Neutral Left
377.078	2.5	Happy Congruent Left
379.581	2.5	Happy Neutral Left
382.084	2.5	Happy Neutral Right
384.587	2.5	Happy Neutral Left
387.09	2.5	Happy Neutral Right
389.593	2.5	Happy Incongruent Right
392.096	2.5	Happy Neutral Right
394.599	2.5	Happy Neutral Right
397.188	2.5	Happy Incongruent Left
399.789	2.5	Happy Incongruent Left
402.292	2.5	Happy Congruent Right
407.431	2.5	Happy Congruent Left
412.437	2.5	Happy Incongruent Left
415.025	2.5	Happy Incongruent Right
417.527	2.5	Happy Neutral Right
420.03	2.5	Happy Neutral Left
422.533	2.5	Happy Neutral Left
425.036	2.5	Happy Congruent Left
427.539	2.5	Happy Congruent Right
430.042	2.5	Happy Incongruent Right
432.545	2.5	Happy Neutral Right
435.131	2.5	Happy Congruent Left
437.634	2.5	Happy Congruent Left
440.137	2.5	Happy Incongruent Right
442.741	2.5	Happy Congruent Left
445.243	2.5	Happy Incongruent Right
447.813	2.5	Happy Incongruent Right
452.819	2.5	Happy Incongruent Left
455.522	2.5	Happy Incongruent Left
460.528	2.5	Happy Incongruent Left
463.031	2.5	Happy Incongruent Left
465.534	2.5	Happy Incongruent Right
468.037	2.5	Happy Neutral Right
473.043	2.5	Happy Congruent Right
475.546	2.5	Happy Neutral Left
480.702	2.5	Happy Incongruent Right
485.708	2.5	Happy Congruent Right
488.211	2.5	Happy Congruent Right
490.714	2.5	Happy Neutral Left
493.217	2.5	Happy Incongruent Right
498.223	2.5	Happy Congruent Left
500.726	2.5	Happy Congruent Left
505.732	2.5	Happy Incongruent Left
508.235	2.5	Happy Neutral Left
510.238	n/a	Rest and Goodbye Text
