onset	duration	trial_type
21.702	2.5	Angry Neutral Left
21.702	n/a	Angry Block Beginning
27.276	2.5	Angry Congruent Left
30.096	2.5	Angry Neutral Right
32.866	2.5	Angry Congruent Left
38.04	2.5	Angry Neutral Right
40.809	2.5	Angry Neutral Right
46.135	2.5	Angry Congruent Right
48.952	2.5	Angry Neutral Right
51.905	2.5	Angry Incongruent Left
54.495	2.5	Angry Congruent Left
59.631	2.5	Angry Congruent Right
62.235	2.5	Angry Neutral Left
67.507	2.5	Angry Neutral Right
75.15	2.5	Angry Neutral Right
77.853	2.5	Angry Neutral Left
82.942	2.5	Angry Neutral Left
85.545	2.5	Angry Congruent Left
88.149	2.5	Angry Congruent Left
93.555	2.5	Angry Incongruent Right
96.195	2.5	Angry Incongruent Left
99.095	2.5	Angry Incongruent Left
101.732	2.5	Angry Congruent Right
104.306	2.5	Angry Neutral Left
106.971	2.5	Angry Congruent Left
112.064	2.5	Angry Neutral Left
114.664	2.5	Angry Incongruent Left
117.3	2.5	Angry Neutral Right
119.803	2.5	Angry Incongruent Left
124.809	2.5	Angry Incongruent Left
127.312	2.5	Angry Incongruent Left
130.066	2.5	Angry Incongruent Right
132.702	2.5	Angry Congruent Left
135.205	2.5	Angry Congruent Right
137.708	2.5	Angry Congruent Left
140.413	2.5	Angry Incongruent Right
143.064	2.5	Angry Incongruent Right
145.567	2.5	Angry Congruent Left
148.07	2.5	Angry Incongruent Right
150.573	2.5	Angry Congruent Right
153.177	2.5	Angry Neutral Right
155.68	2.5	Angry Congruent Right
158.316	2.5	Angry Neutral Right
160.819	2.5	Angry Incongruent Right
164.027	2.5	Angry Incongruent Left
166.896	2.5	Angry Incongruent Left
169.396	2.5	Angry Incongruent Right
174.838	2.5	Angry Neutral Left
179.975	2.5	Angry Incongruent Right
184.981	2.5	Angry Congruent Left
187.618	2.5	Angry Neutral Right
190.121	2.5	Angry Incongruent Right
195.21	2.5	Angry Neutral Left
205.307	2.5	Angry Neutral Right
207.809	2.5	Angry Incongruent Right
210.612	2.5	Angry Neutral Left
213.215	2.5	Angry Incongruent Left
215.969	2.5	Angry Congruent Right
218.739	2.5	Angry Neutral Left
221.242	2.5	Angry Congruent Right
224.195	2.5	Angry Neutral Left
226.798	2.5	Angry Incongruent Left
231.804	2.5	Angry Congruent Right
234.391	2.5	Angry Neutral Left
236.944	2.5	Angry Neutral Right
239.447	2.5	Angry Incongruent Left
241.95	2.5	Angry Congruent Left
244.453	2.5	Angry Congruent Right
246.956	2.5	Angry Congruent Left
249.459	2.5	Angry Congruent Right
251.962	2.5	Angry Congruent Right
254.465	2.5	Angry Incongruent Right
256.968	2.5	Angry Incongruent Right
281.48	n/a	Get Ready Blank Screen
282.982	n/a	Happy Block Beginning
282.982	2.5	Happy Neutral Left
285.736	2.5	Happy Incongruent Left
288.239	2.5	Happy Neutral Left
290.842	2.5	Happy Incongruent Left
293.428	2.5	Happy Congruent Left
298.584	2.5	Happy Incongruent Left
301.406	2.5	Happy Congruent Right
304.008	2.5	Happy Congruent Right
306.511	2.5	Happy Neutral Left
309.014	2.5	Happy Neutral Left
311.517	2.5	Happy Neutral Right
314.02	2.5	Happy Neutral Right
319.446	2.5	Happy Congruent Right
321.946	2.5	Happy Neutral Right
324.449	2.5	Happy Neutral Right
327.052	2.5	Happy Incongruent Right
329.555	2.5	Happy Neutral Left
332.358	2.5	Happy Incongruent Left
337.364	2.5	Happy Neutral Right
339.867	2.5	Happy Neutral Left
342.37	2.5	Happy Neutral Left
344.973	2.5	Happy Incongruent Right
347.476	2.5	Happy Congruent Right
350.063	2.5	Happy Congruent Right
352.668	2.5	Happy Congruent Right
355.536	2.5	Happy Congruent Left
365.648	2.5	Happy Incongruent Right
368.285	2.5	Happy Congruent Left
373.858	2.5	Happy Congruent Right
376.361	2.5	Happy Neutral Left
378.964	2.5	Happy Congruent Right
381.467	2.5	Happy Incongruent Left
386.473	2.5	Happy Incongruent Right
391.946	2.5	Happy Congruent Left
396.952	2.5	Happy Neutral Right
399.772	2.5	Happy Congruent Left
402.375	2.5	Happy Congruent Left
404.878	2.5	Happy Congruent Right
407.466	2.5	Happy Congruent Right
409.968	2.5	Happy Congruent Right
412.471	2.5	Happy Neutral Right
420.397	2.5	Happy Congruent Left
422.9	2.5	Happy Incongruent Left
427.906	2.5	Happy Incongruent Left
430.409	2.5	Happy Neutral Left
432.912	2.5	Happy Incongruent Right
435.415	2.5	Happy Incongruent Right
437.918	2.5	Happy Neutral Right
442.924	2.5	Happy Incongruent Left
450.484	2.5	Happy Incongruent Right
452.986	2.5	Happy Congruent Left
455.489	2.5	Happy Incongruent Left
457.992	2.5	Happy Incongruent Right
460.495	2.5	Happy Incongruent Left
465.501	2.5	Happy Neutral Right
468.138	2.5	Happy Congruent Left
470.641	2.5	Happy Congruent Left
473.144	2.5	Happy Incongruent Right
475.647	2.5	Happy Incongruent Right
478.15	2.5	Happy Neutral Left
480.653	2.5	Happy Neutral Right
483.156	2.5	Happy Incongruent Right
485.659	2.5	Happy Congruent Left
488.162	2.5	Happy Congruent Left
490.665	2.5	Happy Incongruent Left
493.168	2.5	Happy Neutral Right
495.671	2.5	Happy Neutral Right
498.174	2.5	Happy Neutral Right
500.677	2.5	Happy Incongruent Right
508.186	2.5	Happy Incongruent Left
510.689	2.5	Happy Congruent Right
515.695	2.5	Happy Neutral Right
517.697	n/a	Rest and Goodbye Text
