onset	duration	 sample	trial_type	response_time	value
0	0	0	TRIGGER	0	-3
0.8657	0	1	TRIGGER	3.1416	-3
1.5328	1.5171	1	DOT_FLIP	N/A	1
1.7494	0	2	TRIGGER	3.1416	-2
1.8995	0.1666	2	KEYPRESS	0.3824	1
2.6161	0	3	TRIGGER	3.1416	-2
3.3995	1.8756	3	DOT_FLIP	N/A	0
3.4994	0	4	TRIGGER	3.1416	-2
3.6994	0.1333	4	KEYPRESS	0.3068	1
4.3661	0	5	TRIGGER	3.1416	-2
4.9994	1.6044	5	DOT_FLIP	N/A	1
5.2495	0	6	TRIGGER	3.1416	-2
5.2995	0.1500	6	KEYPRESS	0.3024	1
6.1170	0	7	TRIGGER	3.1416	-2
6.2655	1.2600	7	DOT_FLIP	N/A	0
6.5655	0.1667	7	KEYPRESS	0.3084	1
6.9822	0	8	TRIGGER	3.1416	-1
7.8655	0	9	TRIGGER	3.1416	-1
8.2988	2.0359	9	DOT_FLIP	N/A	1
8.7323	0	10	TRIGGER	3.1416	-1
8.5988	0.1667	10	KEYPRESS	0.3058	1
9.5153	1.2134	10	DOT_FLIP	N/A	0
9.5987	0	11	TRIGGER	3.1416	-1
9.8155	0.1334	11	KEYPRESS	0.3091	1
10.4820	0	12	TRIGGER	3.1416	-1
10.9649	1.4423	12	DOT_FLIP	N/A	1
11.3648	0	13	TRIGGER	3.1416	-1
11.2650	0.1500	13	KEYPRESS	0.3163	1
12.2317	0	14	TRIGGER	3.1416	0
12.8473	1.8979	14	DOT_FLIP	N/A	0
13.0983	0	15	TRIGGER	3.1416	0
13.1651	0.1500	15	KEYPRESS	0.3185	1
13.9817	1.1300	15	DOT_FLIP	N/A	1
13.9817	0	16	TRIGGER	3.1416	0
14.2816	0.1667	16	KEYPRESS	0.3051	1
14.8483	0	17	TRIGGER	4.2076	0
15.0318	1.0485	17	DOT_FLIP	N/A	0
15.3502	0.1648	17	KEYPRESS	0.3251	1
15.7316	0	18	TRIGGER	5.3176	0
16.4478	1.4109	18	DOT_FLIP	N/A	1
16.5978	0	19	TRIGGER	0.1228	1
16.7645	0.1499	19	KEYPRESS	0.3286	1
17.4809	0	20	TRIGGER	1.2326	1
18.3478	0	21	TRIGGER	2.3220	1
18.9978	2.5618	21	DOT_FLIP	N/A	0
19.2310	0	22	TRIGGER	3.4319	1
19.2644	0.1500	22	KEYPRESS	0.2667	1
20.0978	0	23	TRIGGER	4.5211	1
20.9806	0	24	TRIGGER	5.6305	1
21.6972	2.6981	24	DOT_FLIP	N/A	1
21.8472	0	25	TRIGGER	0.4363	2
22.0971	0.1501	25	KEYPRESS	0.4014	1
22.6639	0.9592	25	DOT_FLIP	N/A	0
22.7139	0	26	TRIGGER	1.5254	2
22.9806	0.1500	26	KEYPRESS	0.3256	1
23.5972	0	27	TRIGGER	2.6354	2
23.6519	0.9935	27	DOT_FLIP	N/A	1
23.9472	0.1500	27	KEYPRESS	0.2988	1
24.4634	0	28	TRIGGER	3.7240	2
24.8472	1.1853	28	DOT_FLIP	N/A	0
25.1973	0.1333	28	KEYPRESS	0.3635	1
25.3805	0	29	TRIGGER	4.8764	2
26.2133	0	30	TRIGGER	5.9229	2
26.4468	1.6081	30	DOT_FLIP	N/A	1
26.8300	0.1665	30	KEYPRESS	0.3882	1
27.0968	0	31	TRIGGER	0.7500	3
27.8800	1.4270	31	DOT_FLIP	N/A	0
27.9624	0	32	TRIGGER	1.8377	3
28.1800	0.1831	32	KEYPRESS	0.3111	1
28.8466	0	33	TRIGGER	2.9488	3
29.7127	0	34	TRIGGER	4.0372	3
29.9465	2.0722	34	DOT_FLIP	N/A	1
30.2300	0.1333	34	KEYPRESS	0.2889	1
30.5800	0	35	TRIGGER	5.1271	3
31.4627	0	36	TRIGGER	6.2363	3
31.7128	1.7656	36	DOT_FLIP	N/A	0
32.0295	0.1500	36	KEYPRESS	0.3228	1
32.3295	0	37	TRIGGER	1.0424	4
32.9294	1.2073	37	DOT_FLIP	N/A	1
33.1961	0	38	TRIGGER	2.1314	4
33.3133	0.1494	38	KEYPRESS	0.3994	1
34.0794	0	39	TRIGGER	3.2414	4
34.9628	0	40	TRIGGER	4.3514	4
35.4295	2.5068	40	DOT_FLIP	N/A	0
35.8294	0	41	TRIGGER	5.4405	4
35.7294	0.1667	41	KEYPRESS	0.3087	1
36.2621	0.8362	41	DOT_FLIP	N/A	1
36.7120	0	42	TRIGGER	0.2665	5
36.6166	0.1456	42	KEYPRESS	0.3597	1
37.5787	0	43	TRIGGER	1.3555	5
38.4622	0	44	TRIGGER	2.4657	5
38.6455	2.3802	44	DOT_FLIP	N/A	0
38.9288	0.1500	44	KEYPRESS	0.2917	1
39.3290	0	45	TRIGGER	3.5550	5
39.8122	1.1648	45	DOT_FLIP	N/A	1
40.1955	0	46	TRIGGER	4.6439	5
40.1288	0.1833	46	KEYPRESS	0.3268	1
40.7651	0.9557	46	DOT_FLIP	N/A	0
41.0615	0	47	TRIGGER	5.7322	5
41.1448	0.1519	47	KEYPRESS	0.3871	1
41.9448	0	48	TRIGGER	0.5590	6
42.7615	1.9992	48	DOT_FLIP	N/A	1
42.8280	0	49	TRIGGER	1.6688	6
43.0281	0.1333	49	KEYPRESS	0.2712	1
43.6948	0	50	TRIGGER	2.7581	6
43.9948	1.2265	50	DOT_FLIP	N/A	0
44.3282	0.1530	50	KEYPRESS	0.3448	1
44.5782	0	51	TRIGGER	3.8682	6
45.1782	1.1866	51	DOT_FLIP	N/A	1
45.4448	0	52	TRIGGER	4.9572	6
45.5615	0.1167	52	KEYPRESS	0.3916	1
46.3110	0	53	TRIGGER	6.0456	6
47.1943	0	54	TRIGGER	0.8725	7
47.5277	2.3538	54	DOT_FLIP	N/A	0
47.8444	0.1333	54	KEYPRESS	0.3206	1
48.0610	0	55	TRIGGER	1.9616	7
48.6610	1.1342	55	DOT_FLIP	N/A	1
48.9443	0	56	TRIGGER	3.0715	7
48.9768	0.1500	56	KEYPRESS	0.3189	1
49.8110	0	57	TRIGGER	4.1607	7
50.1777	1.5077	57	DOT_FLIP	N/A	0
50.4943	0.1501	57	KEYPRESS	0.3287	1
50.6935	0	58	TRIGGER	5.2697	7
51.5606	0	59	TRIGGER	0.0762	8
52.4265	0	60	TRIGGER	1.1643	8
52.6926	2.5165	60	DOT_FLIP	N/A	1
53.0098	0.1500	60	KEYPRESS	0.3276	1
53.3107	0	61	TRIGGER	2.2754	8
53.8764	1.1844	61	DOT_FLIP	N/A	0
54.1930	0	62	TRIGGER	3.3841	8
54.1460	0.1638	62	KEYPRESS	0.2795	1
55.0598	0	63	TRIGGER	4.4734	8
55.7931	1.9261	63	DOT_FLIP	N/A	1
55.9432	0	64	TRIGGER	5.5835	8
56.0944	0.1648	64	KEYPRESS	0.3019	1
56.8109	0	65	TRIGGER	0.3907	9
57.4592	1.6663	65	DOT_FLIP	N/A	0
57.6771	0	66	TRIGGER	1.4791	9
57.7110	0.1333	66	KEYPRESS	0.2521	1
58.5259	1.0612	66	DOT_FLIP	N/A	1
58.5609	0	67	TRIGGER	2.5897	9
58.8609	0.1340	67	KEYPRESS	0.3408	1
59.4278	0	68	TRIGGER	3.6792	9
60.2942	0	69	TRIGGER	4.7679	9
61.0416	2.5169	69	DOT_FLIP	N/A	0
61.1775	0	70	TRIGGER	5.8779	9
