onset	duration	sample	value
-0.001	14211.066	-0.5	boundary
4.999454545	0.002	2499.7273	TrialStart
8.06330492	0.002	4031.6525	LTO
8.068304796	0.002	4034.1524	LHS
9.243275713	0.002	4621.6379	LTO
9.248275589	0.002	4624.1378	LHS
11.76821321	0.002	5884.1066	LTO
11.77821297	0.002	5889.1065	LHS
12.30319997	0.002	6151.6	LTO
12.31319972	0.002	6156.5999	LHS
13.61816742	0.002	6809.0837	LTO
13.63316705	0.002	6816.5835	LHS
13.75816396	0.002	6879.082	LTO
13.8131626	0.002	6906.5813	LHS
14.11315517	0.002	7056.5776	LTO
14.11815505	0.002	7059.0775	LHS
15.66811668	0.002	7834.0583	LTO
15.68811619	0.002	7844.0581	LHS
15.80811322	0.002	7904.0566	LTO
15.82311284	0.002	7911.5564	LHS
15.87311161	0.002	7936.5558	LTO
15.90311086	0.002	7951.5554	LHS
16.29810109	0.002	8149.0505	LTO
16.30310096	0.002	8151.5505	LHS
17.81306359	0.002	8906.5318	LTO
17.82806322	0.002	8914.0316	LHS
17.97305963	0.002	8986.5298	LTO
17.9780595	0.002	8989.0298	LHS
18.22305344	0.002	9111.5267	LTO
18.23805307	0.002	9119.0265	LHS
18.40804886	0.002	9204.0244	LTO
18.43304824	0.002	9216.5241	LHS
18.82303859	0.002	9411.5193	LTO
18.84803797	0.002	9424.019	LHS
19.10803153	0.002	9554.0158	LTO
19.11803129	0.002	9559.0156	LHS
20.71299181	0.002	10356.4959	LTO
20.73299131	0.002	10366.4957	LHS
20.94298611	0.002	10471.4931	LTO
20.97298537	0.002	10486.4927	LHS
21.06798302	0.002	10533.9915	LTO
21.0729829	0.002	10536.4914	LHS
21.08798253	0.002	10543.9913	LTO
21.11298191	0.002	10556.491	LHS
21.19297993	0.002	10596.49	LTO
21.23797881	0.002	10618.9894	LHS
21.24297869	0.002	10621.4893	LTO
21.25797832	0.002	10628.9892	LHS
21.32797659	0.002	10663.9883	LTO
21.33297646	0.002	10666.4882	LHS
21.41797436	0.002	10708.9872	LTO
21.48297275	0.002	10741.4864	LHS
21.8929626	0.002	10946.4813	LTO
21.93296161	0.002	10966.4808	LHS
22.3129522	0.002	11156.4761	LTO
22.31795208	0.002	11158.976	LHS
22.45794862	0.002	11228.9743	LTO
22.5029475	0.002	11251.4738	LHS
22.72294206	0.002	11361.471	LTO
22.73794168	0.002	11368.9708	LHS
23.11793228	0.002	11558.9661	LTO
23.12793203	0.002	11563.966	LHS
23.13793178	0.002	11568.9659	LTO
23.15293141	0.002	11576.4657	LHS
23.1979303	0.002	11598.9651	LTO
23.22292968	0.002	11611.4648	LHS
23.39792535	0.002	11698.9627	LTO
23.42792461	0.002	11713.9623	LHS
23.65791891	0.002	11828.9595	LTO
23.67291854	0.002	11836.4593	LHS
24.27290369	0.002	12136.4518	LTO
24.28790332	0.002	12143.9517	LHS
25.69786842	0.002	12848.9342	LTO
25.70786817	0.002	12853.9341	LHS
25.77286656	0.002	12886.4333	LTO
25.8278652	0.002	12913.9326	LHS
25.86286433	0.002	12931.4322	LTO
25.89286359	0.002	12946.4318	LHS
25.97786149	0.002	12988.9307	LTO
25.98286136	0.002	12991.4307	LHS
26.13785753	0.002	13068.9288	LTO
26.14785728	0.002	13073.9286	LHS
26.37285171	0.002	13186.4259	LTO
26.43285023	0.002	13216.4251	LHS
26.50284849	0.002	13251.4242	LTO
26.55784713	0.002	13278.9236	LHS
26.57284676	0.002	13286.4234	LTO
26.58284651	0.002	13291.4233	LHS
26.69284379	0.002	13346.4219	LTO
26.7328428	0.002	13366.4214	LHS
26.76784193	0.002	13383.921	LTO
26.77784169	0.002	13388.9208	LHS
27.10783352	0.002	13553.9168	LTO
27.13783278	0.002	13568.9164	LHS
28.01281112	0.002	14006.4056	LTO
28.01781099	0.002	14008.9055	LHS
28.13280815	0.002	14066.4041	LTO
28.16280741	0.002	14081.4037	LHS
28.35780258	0.002	14178.9013	LTO
28.38280196	0.002	14191.401	LHS
28.48779936	0.002	14243.8997	LTO
28.53279825	0.002	14266.3991	LHS
28.55279775	0.002	14276.3989	LTO
28.56779738	0.002	14283.8987	LHS
29.03778575	0.002	14518.8929	LTO
29.05278538	0.002	14526.3927	LHS
29.18778203	0.002	14593.891	LTO
29.19278191	0.002	14596.391	LHS
29.59277201	0.002	14796.386	LTO
29.66777015	0.002	14833.8851	LHS
29.82776619	0.002	14913.8831	LTO
29.84276582	0.002	14921.3829	LHS
29.90776421	0.002	14953.8821	LTO
29.92776372	0.002	14963.8819	LHS
30.09275963	0.002	15046.3798	LTO
30.09775951	0.002	15048.8798	LHS
30.11775902	0.002	15058.8795	LTO
30.15275815	0.002	15076.3791	LHS
30.50774936	0.002	15253.8747	LTO
30.51774911	0.002	15258.8746	LHS
30.93773872	0.002	15468.8694	LTO
30.95773822	0.002	15478.8691	LHS
31.30272968	0.002	15651.3648	LTO
31.3827277	0.002	15691.3639	LHS
31.58272275	0.002	15791.3614	LTO
31.58772263	0.002	15793.8613	LHS
31.59772238	0.002	15798.8612	LTO
31.60272226	0.002	15801.3611	LHS
31.63772139	0.002	15818.8607	LTO
31.66272077	0.002	15831.3604	LHS
31.77271805	0.002	15886.359	LTO
31.7827178	0.002	15891.3589	LHS
31.80271731	0.002	15901.3587	LTO
31.83271657	0.002	15916.3583	LHS
31.91271459	0.002	15956.3573	LTO
31.93771397	0.002	15968.857	LHS
32.12270939	0.002	16061.3547	LTO
