onset	duration	sample	value
-0.001	12493.224	-0.5	boundary
0.024	0.002	12	CGY-T  1
0.12	0.002	60	CGY-T  1
0.1274066413	0.002	63.7033	LHS
0.3019874796	0.002	150.9937	RTO
0.7858258029	0.002	392.9129	RHS
0.9354665215	0.002	467.7333	LTO
1.34	0.002	670	CGY-T  1
1.404340773	0.002	702.1704	LHS
1.53901742	0.002	769.5087	RTO
2.027843767	0.002	1013.9219	RHS
2.18247251	0.002	1091.2363	LTO
2.592	0.002	1296	CGY-T  1
2.641370713	0.002	1320.6854	LHS
2.786023408	0.002	1393.0117	RTO
3.269861731	0.002	1634.9309	RHS
3.399550354	0.002	1699.7752	LTO
3.83	0.002	1915	CGY-T  1
3.882	0.002	1941	CGY-T  1
3.900654144	0.002	1950.3271	LHS
4.051045318	0.002	2025.5227	RTO
4.532297073	0.002	2266.1485	RHS
4.672662168	0.002	2336.3311	LTO
5	0	2500	TrialStart
5.148900884	0.002	2574.4504	LHS
5.309318136	0.002	2654.6591	RTO
5.785556852	0.002	2892.7784	RHS
5.925921948	0.002	2962.961	LTO
6.27	0.002	3135	CGY-T  1
6.412186742	0.002	3206.0934	LHS
6.547538798	0.002	3273.7694	RTO
7.038816632	0.002	3519.4083	RHS
7.194220844	0.002	3597.1104	LTO
7.476	0.002	3738	CGY-T  1
7.705550834	0.002	3852.7754	LHS
7.850928969	0.002	3925.4645	RTO
8.347219841	0.002	4173.6099	RHS
8.502272909	0.002	4251.1365	LTO
8.67	0.002	4335	CGY-T  1
8.951015424	0.002	4475.5077	LHS
9.140484486	0.002	4570.2422	RTO
9.584240973	0.002	4792.1205	RHS
9.674	0.002	4837	CGY-T  1
9.738807839	0.002	4869.4039	LTO
10.18755035	0.002	5093.7752	LHS
10.33713119	0.002	5168.5656	RTO
10.82576193	0.002	5412.881	RHS
10.884	0.002	5442	CGY-T  1
10.9803288	0.002	5490.1644	LTO
11.43904337	0.002	5719.5217	LHS
11.59361023	0.002	5796.8051	RTO
12.07226892	0.002	6036.1345	RHS
12.126	0.002	6063	CGY-T  1
12.196	0.002	6098	CGY-T  1
12.19691962	0.002	6098.4598	LTO
12.68555035	0.002	6342.7752	LHS
12.82017311	0.002	6410.0866	RTO
13.30381782	0.002	6651.9089	RHS
13.44347058	0.002	6721.7353	LTO
13.92424012	0.002	6962.1201	LHS
14.06446457	0.002	7032.2323	RTO
14.5752822	0.002	7287.6411	RHS
14.71550665	0.002	7357.7533	LTO
15.20629222	0.002	7603.1461	LHS
15.36154072	0.002	7680.7704	RTO
15.82227819	0.002	7911.1391	RHS
15.97752669	0.002	7988.7633	LTO
16.46831226	0.002	8234.1561	LHS
16.62356076	0.002	8311.7804	RTO
17.09932228	0.002	8549.6611	RHS
17.25957879	0.002	8629.7894	LTO
17.72031627	0.002	8860.1581	LHS
17.91062088	0.002	8955.3104	RTO
18.3563343	0.002	9178.1672	RHS
18.52618908	0.002	9263.0945	LTO
19.01481981	0.002	9507.4099	LHS
19.18434477	0.002	9592.1724	RTO
19.63807331	0.002	9819.0367	RHS
19.7976262	0.002	9898.8131	LTO
20.25634077	0.002	10128.1704	LHS
20.4208797	0.002	10210.4398	RTO
20.8496781	0.002	10424.839	RHS
20.99427291	0.002	10497.1365	LTO
21.48788968	0.002	10743.9448	LHS
21.62251243	0.002	10811.2562	RTO
22.10117111	0.002	11050.5856	RHS
22.24077989	0.002	11120.3899	LTO
22.69450844	0.002	11347.2542	LHS
22.83910325	0.002	11419.5516	RTO
23.33272001	0.002	11666.36	RHS
23.45251974	0.002	11726.2599	LTO
23.91873238	0.002	11959.3662	LHS
24.06912355	0.002	12034.5618	RTO
24.54536227	0.002	12272.6811	RHS
24.6907404	0.002	12345.3702	LTO
25.18201824	0.002	12591.0091	LHS
25.33742245	0.002	12668.7112	RTO
25.82368724	0.002	12911.8436	RHS
25.97909146	0.002	12989.5457	LTO
26.44029105	0.002	13220.1455	LHS
26.59569527	0.002	13297.8476	RTO
27.04686879	0.002	13523.4344	RHS
27.202273	0.002	13601.1365	LTO
27.6634726	0.002	13831.7363	LHS
27.82890289	0.002	13914.4514	RTO
28.29511553	0.002	14147.5578	RHS
28.46546255	0.002	14232.7313	LTO
28.92055364	0.002	14460.2768	LHS
29.08558668	0.002	14542.7933	RTO
29.55067977	0.002	14775.3399	RHS
29.72571481	0.002	14862.8574	LTO
30.16080189	0.002	15080.4009	LHS
30.33083593	0.002	15165.418	RTO
30.79592902	0.002	15397.9645	RHS
30.93095605	0.002	15465.478	LTO
31.41605314	0.002	15708.0266	LHS
31.58108618	0.002	15790.5431	RTO
32.06618327	0.002	16033.0916	RHS
32.2012103	0.002	16100.6052	LTO
32.6863074	0.002	16343.1537	LHS
32.84133843	0.002	16420.6692	RTO
33.32643553	0.002	16663.2178	RHS
33.45646155	0.002	16728.2308	LTO
33.96156265	0.002	16980.7813	LHS
34.11659368	0.002	17058.2968	RTO
34.59668978	0.002	17298.3449	RHS
34.74171881	0.002	17370.8594	LTO
35.2118129	0.002	17605.9065	LHS
35.37184494	0.002	17685.9225	RTO
35.82193503	0.002	17910.9675	RHS
35.98196706	0.002	17990.9835	LTO
36.43705815	0.002	18218.5291	LHS
36.58708818	0.002	18293.5441	RTO
37.04217927	0.002	18521.0896	RHS
37.2022113	0.002	18601.1057	LTO
37.64730039	0.002	18823.6502	LHS
37.83233743	0.002	18916.1687	RTO
38.28242752	0.002	19141.2138	RHS
38.42743656	0.002	19213.7183	LTO
38.88660939	0.002	19443.3047	LHS
39.03134865	0.002	19515.6743	RTO
39.52046753	0.002	19760.2338	RHS
39.66520679	0.002	19832.6034	LTO
40.15931668	0.002	20079.6583	LHS
40.30904695	0.002	20154.5235	RTO
40.80814785	0.002	20404.0739	RHS
40.9478961	0.002	20473.9481	LTO
41.42204196	0.002	20711.021	LHS
41.57177223	0.002	20785.8861	RTO
42.04591808	0.002	21022.959	RHS
42.1657023	0.002	21082.8511	LTO
42.64483916	0.002	21322.4196	LHS
42.81952448	0.002	21409.7622	RTO
43.25873327	0.002	21629.3666	RHS
43.41846256	0.002	21709.2313	LTO
43.8992321	0.002	21949.6161	LHS
44.05948861	0.002	22029.7443	RTO
44.5252341	0.002	22262.6171	RHS
44.67046657	0.002	22335.2333	LTO
45.18629222	0.002	22593.1461	LHS
45.34654873	0.002	22673.2744	RTO
45.81229422	0.002	22906.1471	RHS
45.95752669	0.002	22978.7633	LTO
46.41826416	0.002	23209.1321	LHS
46.57351266	0.002	23286.7563	RTO
47.01421807	0.002	23507.109	RHS
47.17447459	0.002	23587.2373	LTO
47.61518	0.002	23807.59	LHS
47.76542048	0.002	23882.7102	RTO
48.25620605	0.002	24128.103	RHS
48.41145455	0.002	24205.7273	LTO
48.88201968	0.002	24441.0098	LHS
49.04221206	0.002	24521.106	RTO
49.53280124	0.002	24766.4006	RHS
49.67797559	0.002	24838.9878	LTO
50.13352268	0.002	25066.7613	LHS
50.29872108	0.002	25149.3605	RTO
50.79431627	0.002	25397.1581	RHS
50.91946657	0.002	25459.7333	LTO
51.40504974	0.002	25702.5249	LHS
51.56524212	0.002	25782.6211	RTO
52.06584332	0.002	26032.9217	RHS
52.19099362	0.002	26095.4968	LTO
52.68658881	0.002	26343.2944	LHS
52.83676917	0.002	26418.3846	RTO
53.29231627	0.002	26646.1581	RHS
53.44735874	0.002	26723.6794	LTO
53.9611252	0.002	26980.5626	LHS
54.13071802	0.002	27065.359	RTO
54.60458029	0.002	27302.2901	RHS
54.75920904	0.002	27379.6045	LTO
55.19316712	0.002	27596.5836	LHS
55.33781981	0.002	27668.9099	RTO
55.79671802	0.002	27898.359	RHS
55.96631083	0.002	27983.1554	LTO
56.41523299	0.002	28207.6165	LHS
56.56487371	0.002	28282.4369	RTO
57.05370005	0.002	28526.85	RHS
57.21830484	0.002	28609.1524	LTO
57.68219107	0.002	28841.0955	LHS
57.86175993	0.002	28930.88	RTO
58.36056233	0.002	29180.2812	RHS
58.49072764	0.002	29245.3638	LTO
59.00236619	0.002	29501.1831	LHS
59.16789631	0.002	29583.9482	RTO
59.67953487	0.002	29839.7674	RHS
59.79992041	0.002	29899.9602	LTO
60.30152683	0.002	30150.7634	LHS
60.46204089	0.002	30231.0204	RTO
60.93355093	0.002	30466.7755	RHS
61.05895254	0.002	30529.4763	LTO
61.56055896	0.002	30780.2795	LHS
61.71605696	0.002	30858.0285	RTO
62.1725188	0.002	31086.2594	RHS
62.33303286	0.002	31166.5164	LTO
62.80955896	0.002	31404.7795	LHS
62.98010515	0.002	31490.0526	RTO
63.446302	0.002	31723.151	RHS
63.62070878	0.002	31810.3544	LTO
64.07416641	0.002	32037.0832	LHS
64.22864099	0.002	32114.3205	RTO
64.74189522	0.002	32370.9476	RHS
64.9063359	0.002	32453.168	LTO
65.38969183	0.002	32694.8459	LHS
65.57904777	0.002	32789.5239	RTO
66.0624037	0.002	33031.2018	RHS
66.18697997	0.002	33093.49	LTO
66.680302	0.002	33340.151	LHS
66.83477658	0.002	33417.3883	RTO
67.31813251	0.002	33659.0663	RHS
67.43772573	0.002	33718.8629	LTO
67.94101387	0.002	33970.5069	LHS
68.1104376	0.002	34055.2188	RTO
68.57501679	0.002	34287.5084	RHS
68.73051479	0.002	34365.2574	LTO
69.20704089	0.002	34603.5204	LHS
69.36253888	0.002	34681.2694	RTO
69.83404892	0.002	34917.0245	RHS
69.99456298	0.002	34997.2815	LTO
70.46607302	0.002	35233.0365	LHS
70.64163527	0.002	35320.8176	RTO
71.10812924	0.002	35554.0646	RHS
71.26362724	0.002	35631.8136	LTO
71.73513728	0.002	35867.5686	LHS
71.9006674	0.002	35950.3337	RTO
72.40227382	0.002	36201.1369	RHS
72.56278788	0.002	36281.3939	LTO
73.01423366	0.002	36507.1168	LHS
73.17976378	0.002	36589.8819	RTO
73.65955624	0.002	36829.7781	RHS
73.81901387	0.002	36909.5069	LTO
74.28742065	0.002	37143.7103	LHS
74.44687827	0.002	37223.4391	RTO
74.94518336	0.002	37472.5917	RHS
75.06975963	0.002	37534.8798	LTO
75.55311556	0.002	37776.5578	LHS
75.71257319	0.002	37856.2866	RTO
76.18596302	0.002	38092.9815	RHS
76.33047149	0.002	38165.2357	LTO
76.82877658	0.002	38414.3883	LHS
76.9782681	0.002	38489.1341	RTO
77.44667488	0.002	38723.3374	RHS
77.58620031	0.002	38793.1002	LTO
78.09945455	0.002	39049.7273	LHS
78.24894607	0.002	39124.473	RTO
78.70382729	0.002	39351.9136	RHS
78.84900164	0.002	39424.5008	LTO
79.37963891	0.002	39689.8195	LHS
79.51980725	0.002	39759.9036	RTO
80.02541447	0.002	40012.7072	RHS
80.1655828	0.002	40082.7914	LTO
80.64115394	0.002	40320.577	LHS
80.7913343	0.002	40395.6672	RTO
81.29193551	0.002	40645.9678	RHS
81.44712188	0.002	40723.5609	LTO
81.89766296	0.002	40948.8315	LHS
82.06286136	0.002	41031.4307	RTO
82.55345054	0.002	41276.7253	RHS
82.67860084	0.002	41339.3004	LTO
83.18921406	0.002	41594.607	LHS
83.36442449	0.002	41682.2122	RTO
83.88875524	0.002	41944.3776	RHS
84.01358042	0.002	42006.7902	LTO
84.49290909	0.002	42246.4545	LHS
84.65767832	0.002	42328.8392	RTO
85.11703497	0.002	42558.5175	RHS
85.25184615	0.002	42625.9231	LTO
85.76612587	0.002	42883.0629	LHS
85.91591608	0.002	42957.958	RTO
86.40023776	0.002	43200.1189	RHS
86.55502098	0.002	43277.5105	LTO
87.05931469	0.002	43529.6573	LHS
87.22408392	0.002	43612.042	RTO
87.70840559	0.002	43854.2028	RHS
87.84820979	0.002	43924.1049	LTO
88.32753846	0.002	44163.7692	LHS
88.4675828	0.002	44233.7914	RTO
88.96337639	0.002	44481.6882	RHS
89.11862489	0.002	44559.3124	LTO
89.59939443	0.002	44799.6972	LHS
89.74963491	0.002	44874.8175	RTO
90.24042048	0.002	45120.2102	RHS
90.38565294	0.002	45192.8265	LTO
90.866	0.002	45433	CGY-T  1
90.8714305	0.002	45435.7152	LHS
91.03669503	0.002	45518.3475	RTO
91.51245655	0.002	45756.2283	RHS
91.62764092	0.002	45813.8205	LTO
92.11341847	0.002	46056.7092	LHS
92.26866697	0.002	46134.3335	RTO
92.73942048	0.002	46369.7102	RHS
92.87463691	0.002	46437.3185	LTO
93.36542248	0.002	46682.7112	LHS
93.52548257	0.002	46762.7413	RTO
93.99057567	0.002	46995.2878	RHS
94.1556087	0.002	47077.8043	LTO
94.62570279	0.002	47312.8514	LHS
94.80073783	0.002	47400.3689	RTO
95.28083392	0.002	47640.417	RHS
95.44586696	0.002	47722.9335	LTO
95.89595705	0.002	47947.9785	LHS
96.06099008	0.002	48030.495	RTO
96.50607917	0.002	48253.0396	RHS
96.6761132	0.002	48338.0566	LTO
97.1312043	0.002	48565.6021	LHS
97.27123232	0.002	48635.6162	RTO
97.78633543	0.002	48893.1677	RHS
97.93636546	0.002	48968.1827	LTO
98.41144255	0.002	49205.7213	LHS
98.57137855	0.002	49285.6893	RTO
99.06118255	0.002	49530.5913	RHS
99.20112655	0.002	49600.5633	LTO
99.66594055	0.002	49832.9703	LHS
99.82087855	0.002	49910.4393	RTO
100.3156805	0.002	50157.8403	RHS
100.4406305	0.002	50220.3153	LTO
100.9404305	0.002	50470.2153	LHS
101.0953685	0.002	50547.6843	RTO
101.5951685	0.002	50797.5843	RHS
101.7301145	0.002	50865.0573	LTO
102.2149205	0.002	51107.4603	LHS
102.3798545	0.002	51189.9273	RTO
102.8446685	0.002	51422.3343	RHS
102.9846125	0.002	51492.3063	LTO
103.4947544	0.002	51747.3772	LHS
103.6501587	0.002	51825.0793	RTO
104.1013322	0.002	52050.6661	RHS
104.2567364	0.002	52128.3682	LTO
104.7480142	0.002	52374.0071	LHS
104.9284836	0.002	52464.2418	RTO
105.3746441	0.002	52687.3221	RHS
105.5300483	0.002	52765.0242	LTO
106.0263392	0.002	53013.1696	LHS
106.1867565	0.002	53093.3782	RTO
106.6579821	0.002	53328.9911	RHS
106.8083733	0.002	53404.1867	LTO
107.279599	0.002	53639.7995	LHS
107.4550553	0.002	53727.5277	RTO
