onset	duration	sample	value
-0.001	14769.756	-0.5	boundary
0.156951049	0.002	78.4755	RHS
0.3117342657	0.002	155.8671	LTO
0.8515226135	0.002	425.7613	LHS
1.021556648	0.002	510.7783	RTO
1.471646738	0.002	735.8234	RHS
1.636679771	0.002	818.3399	LTO
2.18178888	0.002	1090.8944	LHS
2.276807899	0.002	1138.4039	RTO
2.741900992	0.002	1370.9505	RHS
2.926938029	0.002	1463.469	LTO
3.312015106	0.002	1656.0076	LHS
3.437040131	0.002	1718.5201	RTO
3.992151242	0.002	1996.0756	RHS
4.157184275	0.002	2078.5921	LTO
4.672287378	0.002	2336.1437	LHS
4.83231941	0.002	2416.1597	RTO
5	0	2500	TrialStart
5.327418509	0.002	2663.7093	RHS
5.487450541	0.002	2743.7253	LTO
6.008758457	0.002	3004.3792	LHS
6.184214826	0.002	3092.1074	RTO
6.720610012	0.002	3360.305	RHS
6.865988146	0.002	3432.9941	LTO
7.35726598	0.002	3678.633	LHS
7.492618036	0.002	3746.309	RTO
8.029013221	0.002	4014.5066	RHS
8.194443512	0.002	4097.2218	LTO
8.750890854	0.002	4375.4454	LHS
8.921334184	0.002	4460.6671	RTO
9.45772937	0.002	4728.8647	RHS
9.588068387	0.002	4794.0342	LTO
10.20968524	0.002	5104.8426	LHS
10.38514161	0.002	5192.5708	RTO
10.89935075	0.002	5449.6754	RHS
11.04893159	0.002	5524.4658	LTO
11.57745055	0.002	5788.7253	LHS
11.72204536	0.002	5861.0227	RTO
12.25056433	0.002	6125.2822	RHS
12.36524297	0.002	6182.6215	LTO
12.87880385	0.002	6439.4019	LHS
13.03835674	0.002	6519.1784	RTO
13.57684776	0.002	6788.4239	RHS
13.71645654	0.002	6858.2283	LTO
14.31477989	0.002	7157.3899	LHS
14.49926293	0.002	7249.6315	RTO
14.92806133	0.002	7464.0307	RHS
15.11254437	0.002	7556.2722	LTO
15.65670304	0.002	7828.3515	LHS
15.82697559	0.002	7913.4878	RTO
16.27769703	0.002	8138.8485	RHS
16.46299362	0.002	8231.4968	LTO
16.94376316	0.002	8471.8816	LHS
17.08899563	0.002	8544.4978	RTO
17.55974913	0.002	8779.8746	RHS
17.72501366	0.002	8862.5068	LTO
18.15570304	0.002	9077.8515	LHS
18.29592749	0.002	9147.9637	RTO
18.82677719	0.002	9413.3886	RHS
18.99704974	0.002	9498.5249	LTO
19.53290745	0.002	9766.4537	LHS
19.71319603	0.002	9856.598	RTO
20.18394954	0.002	10091.9748	RHS
20.2340297	0.002	10117.0148	RTO
20.25906978	0.002	10129.5349	RHS
