onset	duration	sample	value
-0.001	15956.214	-0.5	boundary
0.09809861325	0.002	49.0493	LHS
0.2974206471	0.002	148.7103	RTO
0.7757935285	0.002	387.8968	RHS
0.9601664099	0.002	480.0832	LTO
1.468437596	0.002	734.2188	LHS
1.60796302	0.002	803.9815	RTO
1.616	0.002	808	CGY-T  1
2.131183359	0.002	1065.5917	RHS
2.285657935	0.002	1142.829	LTO
2.778979969	0.002	1389.49	LHS
2.918505393	0.002	1459.2527	RTO
3.401861325	0.002	1700.9307	RHS
3.591707558	0.002	1795.8538	LTO
4.103550931	0.002	2051.7755	LHS
4.264129244	0.002	2132.0646	RTO
4.760918401	0.002	2380.4592	RHS
4.941569003	0.002	2470.7845	LTO
5	0	2500	TrialStart
5.428322015	0.002	2714.161	LHS
5.593918401	0.002	2796.9592	RTO
6.03049069	0.002	3015.2453	RHS
6.306484666	0.002	3153.2423	LTO
6.803273823	0.002	3401.6369	LHS
6.938761774	0.002	3469.3809	RTO
7.420496714	0.002	3710.2484	RHS
7.63125575	0.002	3815.6279	LTO
7.976	0.002	3988	CGY-T  1
8.148117196	0.002	4074.0586	LHS
8.278587076	0.002	4139.2935	RTO
8.818259326	0.002	4409.1297	RHS
9.002522275	0.002	4501.2611	LTO
9.490570083	0.002	4745.285	LHS
9.630012314	0.002	4815.0062	RTO
10.08817965	0.002	5044.0898	RHS
10.30730315	0.002	5153.6516	LTO
10.79037088	0.002	5395.1854	LHS
10.91487287	0.002	5457.4364	RTO
11.41786092	0.002	5708.9305	RHS
11.58718363	0.002	5793.5918	LTO
12.07523144	0.002	6037.6157	LHS
12.19973343	0.002	6099.8667	RTO
12.66288084	0.002	6331.4404	RHS
12.89694459	0.002	6448.4723	LTO
13.38997247	0.002	6694.9862	LHS
13.51447447	0.002	6757.2372	RTO
13.97609912	0.002	6988.0496	RHS
14.1617678	0.002	7080.8839	LTO
14.67361117	0.002	7336.8056	LHS
14.8141172	0.002	7407.0586	RTO
15.28581599	0.002	7642.908	RHS
15.48152081	0.002	7740.7604	LTO
15.95823768	0.002	7979.1188	LHS
16.08368949	0.002	8041.8447	RTO
16.58047864	0.002	8290.2393	RHS
16.76112924	0.002	8380.5646	LTO
17.28802683	0.002	8644.0134	LHS
17.43355093	0.002	8716.7755	RTO
17.92532202	0.002	8962.661	RHS
18.13608105	0.002	9068.0405	LTO
18.52	0.002	9260	CGY-T  1
18.68222378	0.002	9341.1119	LHS
18.79706294	0.002	9398.5315	RTO
18.80205594	0.002	9401.028	RHS
18.80704895	0.002	9403.5245	RTO
19.23145455	0.002	9615.7273	RHS
19.43117483	0.002	9715.5874	LTO
19.9154965	0.002	9957.7483	LHS
20.0553007	0.002	10027.6503	RTO
20.4846993	0.002	10242.3497	RHS
20.75432168	0.002	10377.1608	LTO
21.2686014	0.002	10634.3007	LHS
21.37844755	0.002	10689.2238	RTO
21.88773427	0.002	10943.8671	RHS
22.06248951	0.002	11031.2448	LTO
22.51685315	0.002	11258.4266	LHS
22.66165035	0.002	11330.8252	RTO
23.18591608	0.002	11592.958	RHS
23.37565035	0.002	11687.8252	LTO
23.80545455	0.002	11902.7273	LHS
23.92045455	0.002	11960.2273	RTO
24.44045455	0.002	12220.2273	RHS
24.59545455	0.002	12297.7273	LTO
25.07545455	0.002	12537.7273	LHS
25.22545455	0.002	12612.7273	RTO
25.70545455	0.002	12852.7273	RHS
25.91045455	0.002	12955.2273	LTO
26.41045455	0.002	13205.2273	LHS
26.54545455	0.002	13272.7273	RTO
27.02545455	0.002	13512.7273	RHS
27.25045455	0.002	13625.2273	LTO
27.71545455	0.002	13857.7273	LHS
27.75	0.002	13875	CGY-T  1
27.83545455	0.002	13917.7273	RTO
28.32045455	0.002	14160.2273	RHS
28.51545455	0.002	14257.7273	LTO
29.01174542	0.002	14505.8727	LHS
29.17216267	0.002	14586.0813	RTO
29.6634405	0.002	14831.7203	RHS
29.87398815	0.002	14936.9941	LTO
30.34521382	0.002	15172.6069	LHS
30.47555284	0.002	15237.7764	RTO
30.92672636	0.002	15463.3632	RHS
31.10719577	0.002	15553.5979	LTO
31.55836929	0.002	15779.1846	LHS
31.69873438	0.002	15849.3672	RTO
32.14990791	0.002	16074.954	RHS
32.39554682	0.002	16197.7734	LTO
32.83168123	0.002	16415.8406	LHS
32.9820724	0.002	16491.0362	RTO
33.52840968	0.002	16764.2048	RHS
33.69291616	0.002	16846.4581	LTO
34.20637578	0.002	17103.1879	LHS
34.34595704	0.002	17172.9785	RTO
34.83449143	0.002	17417.2457	RHS
35.05383341	0.002	17526.9167	LTO
35.52242763	0.002	17761.2138	LHS
35.5972033	0.002	17798.6016	RTO
36.10567788	0.002	18052.8389	RHS
36.31504976	0.002	18157.5249	LTO
36.78364398	0.002	18391.822	LHS
36.93319532	0.002	18466.5977	RTO
37.46161008	0.002	18730.805	RHS
37.66101187	0.002	18830.5059	LTO
38.14456123	0.002	19072.2806	LHS
38.27915744	0.002	19139.5787	RTO
38.77941238	0.002	19389.7062	RHS
38.95504491	0.002	19477.5225	LTO
39.40165334	0.002	19700.8267	LHS
39.55721358	0.002	19778.6068	RTO
40.07407503	0.002	20037.0375	RHS
40.28985214	0.002	20144.9261	LTO
40.75151479	0.002	20375.7574	LHS
40.92714732	0.002	20463.5737	RTO
41.39884611	0.002	20699.4231	RHS
41.57949671	0.002	20789.7484	LTO
42.09134009	0.002	21045.67	LHS
42.23184611	0.002	21115.9231	RTO
42.67845455	0.002	21339.2273	RHS
42.91430394	0.002	21457.152	LTO
43.39102081	0.002	21695.5104	LHS
43.5214147	0.002	21760.7074	RTO
44.03436291	0.002	22017.1815	RHS
44.24850634	0.002	22124.2532	LTO
44.73157407	0.002	22365.787	LHS
44.87599638	0.002	22437.9982	RTO
45.41882506	0.002	22709.4125	RHS
45.62798841	0.002	22813.9942	LTO
46.11105614	0.002	23055.5281	LHS
