onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	63.0	70.0
67.4712	0.0002	Stimulus/S128	2	337356	63.0	70.0
73.3048	0.0002	Stimulus/S128	2	366524	63.0	70.0
79.139	0.0002	Stimulus/S128	2	395695	63.0	70.0
84.9732	0.0002	Stimulus/S128	2	424866	63.0	70.0
146.1062	0.0002	Stimulus/S128	2	730531	63.0	70.0
176.4504	0.0002	Stimulus/S128	2	882252	63.0	70.0
183.2846	0.0002	Stimulus/S128	2	916423	63.0	70.0
191.1188	0.0002	Stimulus/S128	2	955594	63.0	70.0
197.9532	0.0002	Stimulus/S128	2	989766	63.0	70.0
203.7872	0.0002	Stimulus/S128	2	1018936	63.0	70.0
211.6216	0.0002	Stimulus/S128	2	1058108	63.0	70.0
217.4556	0.0002	Stimulus/S128	2	1087278	63.0	70.0
223.2896	0.0002	Stimulus/S128	2	1116448	63.0	70.0
231.1242	0.0002	Stimulus/S128	2	1155621	63.0	70.0
238.9624	0.0002	Stimulus/S128	2	1194812	63.0	70.0
244.7994	0.0002	Stimulus/S128	2	1223997	63.0	70.0
251.6336	0.0002	Stimulus/S128	2	1258168	63.0	70.0
257.4678	0.0002	Stimulus/S128	2	1287339	63.0	70.0
265.3022	0.0002	Stimulus/S128	2	1326511	63.0	70.0
273.1364	0.0002	Stimulus/S128	2	1365682	63.0	70.0
280.9708	0.0002	Stimulus/S128	2	1404854	63.0	70.0
286.805	0.0002	Stimulus/S128	2	1434025	63.0	70.0
293.6392	0.0002	Stimulus/S128	2	1468196	63.0	70.0
299.4732	0.0002	Stimulus/S128	2	1497366	63.0	70.0
306.3074	0.0002	Stimulus/S128	2	1531537	63.0	70.0
314.1418	0.0002	Stimulus/S128	2	1570709	63.0	70.0
320.976	0.0002	Stimulus/S128	2	1604880	63.0	70.0
326.81	0.0002	Stimulus/S128	2	1634050	63.0	70.0
332.6442	0.0002	Stimulus/S128	2	1663221	63.0	70.0
340.4784	0.0002	Stimulus/S128	2	1702392	63.0	70.0
346.3126	0.0002	Stimulus/S128	2	1731563	63.0	70.0
353.1468	0.0002	Stimulus/S128	2	1765734	63.0	70.0
358.9808	0.0002	Stimulus/S128	2	1794904	63.0	70.0
366.8152	0.0002	Stimulus/S128	2	1834076	63.0	70.0
373.6498	0.0002	Stimulus/S128	2	1868249	63.0	70.0
381.4838	0.0002	Stimulus/S128	2	1907419	63.0	70.0
388.318	0.0002	Stimulus/S128	2	1941590	63.0	70.0
396.1524	0.0002	Stimulus/S128	2	1980762	63.0	70.0
402.9866	0.0002	Stimulus/S128	2	2014933	63.0	70.0
408.8206	0.0002	Stimulus/S128	2	2044103	63.0	70.0
414.6548	0.0002	Stimulus/S128	2	2073274	63.0	70.0
420.4888	0.0002	Stimulus/S128	2	2102444	63.0	70.0
427.3232	0.0002	Stimulus/S128	2	2136616	63.0	70.0
434.1572	0.0002	Stimulus/S128	2	2170786	63.0	70.0
441.9916	0.0002	Stimulus/S128	2	2209958	63.0	70.0
447.8258	0.0002	Stimulus/S128	2	2239129	63.0	70.0
454.66	0.0002	Stimulus/S128	2	2273300	63.0	70.0
462.4942	0.0002	Stimulus/S128	2	2312471	63.0	70.0
468.3284	0.0002	Stimulus/S128	2	2341642	63.0	70.0
474.1624	0.0002	Stimulus/S128	2	2370812	63.0	70.0
479.9966	0.0002	Stimulus/S128	2	2399983	63.0	70.0
486.8308	0.0002	Stimulus/S128	2	2434154	63.0	70.0
493.665	0.0002	Stimulus/S128	2	2468325	63.0	70.0
501.4994	0.0002	Stimulus/S128	2	2507497	63.0	70.0
508.3336	0.0002	Stimulus/S128	2	2541668	63.0	70.0
516.168	0.0002	Stimulus/S128	2	2580840	63.0	70.0
523.0022	0.0002	Stimulus/S128	2	2615011	63.0	70.0
530.8364	0.0002	Stimulus/S128	2	2654182	63.0	70.0
538.6708	0.0002	Stimulus/S128	2	2693354	63.0	70.0
