onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	63.0	70.0
32.0914	0.0002	Stimulus/S128	2	160457	63.0	70.0
37.932	0.0002	Stimulus/S128	2	189660	63.0	70.0
45.7732	0.0002	Stimulus/S128	2	228866	63.0	70.0
52.6144	0.0002	Stimulus/S128	2	263072	63.0	70.0
58.4556	0.0002	Stimulus/S128	2	292278	63.0	70.0
66.2968	0.0002	Stimulus/S128	2	331484	63.0	70.0
74.138	0.0002	Stimulus/S128	2	370690	63.0	70.0
79.98	0.0002	Stimulus/S128	2	399900	63.0	70.0
87.8204	0.0002	Stimulus/S128	2	439102	63.0	70.0
93.6614	0.0002	Stimulus/S128	2	468307	63.0	70.0
99.5024	0.0002	Stimulus/S128	2	497512	63.0	70.0
105.3434	0.0002	Stimulus/S128	2	526717	63.0	70.0
111.1844	0.0002	Stimulus/S128	2	555922	63.0	70.0
117.026	0.0002	Stimulus/S128	2	585130	63.0	70.0
124.8668	0.0002	Stimulus/S128	2	624334	63.0	70.0
130.7088	0.0002	Stimulus/S128	2	653544	63.0	70.0
137.549	0.0002	Stimulus/S128	2	687745	63.0	70.0
145.3834	0.0002	Stimulus/S128	2	726917	63.0	70.0
153.2252	0.0002	Stimulus/S128	2	766126	63.0	70.0
160.0728	0.0002	Stimulus/S128	2	800364	63.0	70.0
165.9138	0.0002	Stimulus/S128	2	829569	63.0	70.0
172.755	0.0002	Stimulus/S128	2	863775	63.0	70.0
178.596	0.0002	Stimulus/S128	2	892980	63.0	70.0
185.4372	0.0002	Stimulus/S128	2	927186	63.0	70.0
192.2836	0.0002	Stimulus/S128	2	961418	63.0	70.0
199.1264	0.0002	Stimulus/S128	2	995632	63.0	70.0
205.9676	0.0002	Stimulus/S128	2	1029838	63.0	70.0
212.8088	0.0002	Stimulus/S128	2	1064044	63.0	70.0
219.65	0.0002	Stimulus/S128	2	1098250	63.0	70.0
225.491	0.0002	Stimulus/S128	2	1127455	63.0	70.0
233.3252	0.0002	Stimulus/S128	2	1166626	63.0	70.0
241.1666	0.0002	Stimulus/S128	2	1205833	63.0	70.0
247.0076	0.0002	Stimulus/S128	2	1235038	63.0	70.0
253.8488	0.0002	Stimulus/S128	2	1269244	63.0	70.0
260.6904	0.0002	Stimulus/S128	2	1303452	63.0	70.0
268.5312	0.0002	Stimulus/S128	2	1342656	63.0	70.0
274.3722	0.0002	Stimulus/S128	2	1371861	63.0	70.0
281.2134	0.0002	Stimulus/S128	2	1406067	63.0	70.0
289.0548	0.0002	Stimulus/S128	2	1445274	63.0	70.0
296.8964	0.0002	Stimulus/S128	2	1484482	63.0	70.0
303.7372	0.0002	Stimulus/S128	2	1518686	63.0	70.0
309.5782	0.0002	Stimulus/S128	2	1547891	63.0	70.0
316.4194	0.0002	Stimulus/S128	2	1582097	63.0	70.0
323.2606	0.0002	Stimulus/S128	2	1616303	63.0	70.0
329.1014	0.0002	Stimulus/S128	2	1645507	63.0	70.0
334.9426	0.0002	Stimulus/S128	2	1674713	63.0	70.0
341.784	0.0002	Stimulus/S128	2	1708920	63.0	70.0
349.625	0.0002	Stimulus/S128	2	1748125	63.0	70.0
357.4594	0.0002	Stimulus/S128	2	1787297	63.0	70.0
365.3008	0.0002	Stimulus/S128	2	1826504	63.0	70.0
373.142	0.0002	Stimulus/S128	2	1865710	63.0	70.0
380.9834	0.0002	Stimulus/S128	2	1904917	63.0	70.0
387.8244	0.0002	Stimulus/S128	2	1939122	63.0	70.0
393.6656	0.0002	Stimulus/S128	2	1968328	63.0	70.0
