onset	duration
7.007	5.657
22.901	7.083
39.874	9.406
51.847	9.633
69.821	0
88.821	7.635
108.781	8.299
127.754	7.31
139.727	0
155.727	6.153
172.701	0
185.701	5.307
200.661	7.107
219.634	6.318
236.607	6.721
253.581	5.747
264.541	7.331
275.514	5.894
287.487	9.729
297.461	8.435
313.421	8.427
330.394	6.734
347.367	8.345
360.341	6.875
378.3	7.532
390.274	7.054
407.247	9.425
422.22	9.532
433.18	9.676
446.154	0
460.154	7.07
478.127	7.593
490.1	7.908
507.06	0
523.06	3.476
536.034	5.406
551.007	6.761
569.98	8.06
580.94	9.628
590.914	7.782
